debian-faq-ru 5.0.2ubuntu1
debian-faq-zh-cn 5.0.2ubuntu1
debian-handbook 7.20140126
debian-history 2.19
debian-kernel-handbook 1.0.15
debian-policy 3.9.5.0
debian-refcard 5.0.9
debian-reference 2.53
debian-reference-common 2.53
debian-reference-en 2.53
debian-reference-fr 2.53
debian-reference-it 2.53
debian-reference-ja 2.53
debian-reference-pt 2.53
debian-zh-faq-s 1.13
debian-zh-faq-t 1.13
debiandoc-sgml-doc 1.1.22
debiandoc-sgml-doc-pt-br 1.1.11
default-jdk-doc 0.51
denemo-doc 1.1.0-1ubuntu1
derivations 1.1.0-1ubuntu1
developers-reference 3.4.11
developers-reference-de 3.4.11
developers-reference-fr 3.4.11
developers-reference-ja 3.4.11
dhelp 3.4.11
dibbler-doc 1.0.0~rc1-1
dico-doc 2.2-5
diet-doc 2.8.0-1build2
dietlibc-doc 0.33~cvs20120325-4
diffutils-doc 1:3.3-1
digikam-doc 4:3.5.0-0ubuntu10
diploma 1.2.11
dita-ot-doc 1.5.3-1
diveintopython 5.4-2ubuntu2
diveintopython-zh 5.4b-1
diveintopython3 20110517+77958af-1
doc-base 0.10.5
doc-debian 6.1ubuntu1
doc-debian-es 6.1ubuntu1
doc-debian-fr 3.1.3.1
doc-linux-fr-html 2013.01-2
doc-linux-fr-text 2013.01-2
doc-linux-hr 20000416.1
doc-linux-ja-html 2006.05.25-1.1
doc-linux-ja-text 2006.05.25-1.1
doc-linux-pl 2002.06.14-2
doc-linux-pl-html 2002.06.14-2
doc-rfc-experimental 20120225-2
doc-rfc-fyi-bcp 20120225-2
doc-rfc-informational 20120225-2
doc-rfc-misc 20120225-2
doc-rfc-old-std 20120225-2
doc-rfc-others 20120225-2
doc-rfc-std 20120225-2
doc-rfc-std-proposed 20120225-2
docbook-defguide 2.0.17+svn9047-1
docbook-dsssl-doc 1.79-6
docbook-slides-demo 3.4.0-1
docbook-xsl-doc-html 1.78.1-1
docbook-xsl-doc-pdf 1.78.1-1
docbook-xsl-doc-text 1.78.1-1
docutils-doc 0.11-3
dolfin-doc 1.3.0+dfsg-2
doxygen-doc 1.8.6-2
dpkg-www 2.54+nmu1
drgeo-doc 1.5-7
drizzle-dev-doc 1:7.2.3-2ubuntu2
drizzle-doc 1:7.2.3-2ubuntu2
dsdp-doc 5.8-9.1
dspam-doc 3.10.2+dfsg-13
dvdisaster-doc 0.72.4-1
dwww 1.12.1
dx-doc 1:4.4.4-7
dynare-doc 4.4.1-1build1
eb-doc 4.4.3-7
ebook-dev-alp 200407-1
ecasound-doc 2.9.1-3
ecl-doc 13.5.1+dfsg2-4.1ubuntu1
eclipse-gef-doc 3.7.1-1
ekg2-api-docs 1:0.3.1-4
elastix-doc 4.5-4
elektra-doc 0.7.1-1
elinks-doc 0.12~pre6-4ubuntu1
elkdoc 3.99.8-2.1ubuntu2
elmer-doc 2011.09.06-1
emboss-doc 6.6.0-1
engauge-digitizer-doc 5.2-1
enigma-doc 1.20-dfsg.1-2
epigrass-doc 2.3.1-1
epydoc-doc 3.0.1+dfsg-4
eqonomize-doc 0.6-7
erlang-doc 1:16.b.3-dfsg-1ubuntu2.1
erlang-esdl-doc 1.2-2build1
erlang-manpages 1:16.b.3-dfsg-1ubuntu2.1
etoys-doc 4.0.2340-1
euler-doc 1.61.0-10
evolution-data-server-doc 3.10.4-0ubuntu1.5
evolver-doc 2.30c.dfsg-3
exim4-doc-html 4.82-2
exim4-doc-info 4.82-2
expeyes-doc-en 3.1.5-2
expeyes-doc-fr 3.1.5-2
extrema-doc 4.4.5.dfsg-3ubuntu2
fai-doc 3.4.8ubuntu5
