a56 1.3+dfsg-8
lcl-0.9.30.4 1.0.10+dfsg-1
lcl-gtk2 1.0.10+dfsg-1
lcl-gtk2 1.0.10+dfsg-1
lcl-gtk2-0.9.30.4 1.0.10+dfsg-1
lcl-nogui 1.0.10+dfsg-1
lcl-nogui 1.0.10+dfsg-1
lcl-nogui-0.9.30.4 1.0.10+dfsg-1
lcl-qt4 1.0.10+dfsg-1
lcl-qt4 1.0.10+dfsg-1
lcl-qt4-0.9.30.4 1.0.10+dfsg-1
lcl-units 1.0.10+dfsg-1
lcl-units 1.0.10+dfsg-1
lcl-units-0.9.30.4 1.0.10+dfsg-1
lcl-utils 1.0.10+dfsg-1
lcl-utils 1.0.10+dfsg-1
lcl-utils-0.9.30.4 1.0.10+dfsg-1
lcov 1.10-1build1
ldtp 2.3.1-1
leaktracer 2.4-5
lemon 3.8.2-1ubuntu2
libatlas-test 3.10.1-4
libaws-bin 2.10.2-4
libblas-test 1.2.20110419-7
libbtparse-dev 0.66-2
libcfitsio3-dev 3.340-2ubuntu2
libcgal-demo 4.2-5ubuntu1
libckit-smlnj 110.76-1
libckyapplet1-dev 1.1.0-13ubuntu2
libclaws-mail-dev 3.9.3-1ubuntu1
libclthreads-dev 2.4.0-5
libclxclient-dev 3.9.0-1
libcml-smlnj 110.76-1
libcmlutil-smlnj 110.76-1
libcore++-demo 1.7-12
libcorelinux-examples 0.4.32-7.3ubuntu1
libdbusmenu-tools 12.10.3+14.04.20140612-0ubuntu1
libedje-bin 1.7.7-3ubuntu1
libembryo-bin 1.7.7-2
libexene-smlnj 110.76-1
libforms-bin 1.0.93sp1-2ubuntu3
libginspx-dev 1.0.93sp1-2ubuntu3
libglpk-dev 4.52.1-2build1
libgnome-speech-dev 1:0.4.25-5ubuntu2
libgnutls26-dbg 2.12.23-12ubuntu2.2
libgpcl-dev 2.32-1.1
libgsnmp0-dev 0.3.0-2
libgtkada-bin 2.24.1-14
libikvm-native 7.2.4630.5+ds-1
libindicator-tools 7.2.4630.5+ds-1
libindicator3-tools 12.10.2+14.04.20141007.1-0ubuntu1
libjconv-bin 2.8-6
liblapack-test 3.5.0-2ubuntu1
libmdsp-dev 0.11-10
libmed-dev 3.0.6-2ubuntu1
libmedc-dev 3.0.6-2ubuntu1
libmeschach-dev 1.2b-13
libming-util 1:0.4.5-1ubuntu5
libmlnlffi-smlnj 110.76-1
libmlrisctools-smlnj 110.76-1
libnbio-dev 0.30-1ubuntu1
libnfsidmap-dev 0.25-5
libpgraphutil-smlnj 110.76-1
libpoker-eval-dev 138.0-1
libpostscriptbarcode 20080710-1
libqt4-dev-bin 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
libreoffice-dev 1:4.2.7-0ubuntu2
libsary-dev 1:4.2.7-0ubuntu2
libsmlnj-smlnj 110.76-1
libstfl-spl 0.22-1.1
libsvm-tools 3.12-1
libsword-common 1.6.2+dfsg-6build1
libsword-utils 1.6.2+dfsg-6build1
libtasn1-3-bin 3.4-3ubuntu0.2
libtclap-dev 1.2.1-1
libtk-img 1:1.4.2-4ubuntu1
libtk-img-dev 1:1.4.2-4ubuntu1
libtool 2.4.2-1.7ubuntu1
libvanessa-logger-sample 0.0.10-1.1ubuntu1
libvanessa-socket-pipe 0.0.12-1ubuntu1
libwbxml2-dev 0.10.7-1
libxerces-c-samples 3.1.1-5
libzvbi-common 0.2.35-2
licq-dev 1.8.1-2build1
linaro-image-tools 2013.09-2
lintian 2.5.22ubuntu1
linux-kbuild-3.2 2.5.22ubuntu1
linux-libc-dev 3.13.0-49.83
linux-support-3.2.0-4 3.13.0-49.83
linux-tools-3.2 3.13.0-49.83
lisaac 1:0.39~rc1-1
lisaac-common 1:0.39~rc1-1
lisaac-mode 1:0.39~rc1-1
liwc 1.21-1
llvm 1:3.4-0ubuntu1
llvm-2.9 1:3.4-0ubuntu1
llvm-2.9-dev 1:3.4-0ubuntu1
llvm-2.9-runtime 1:3.4-0ubuntu1
llvm-2.9-source 1:3.4-0ubuntu1
llvm-3.0 1:3.4-0ubuntu1
llvm-3.0-dev 1:3.4-0ubuntu1
llvm-3.0-runtime 1:3.4-0ubuntu1
llvm-3.0-source 1:3.4-0ubuntu1
llvm-3.1 1:3.4-0ubuntu1
llvm-3.1-dev 1:3.4-0ubuntu1
llvm-3.1-runtime 1:3.4-0ubuntu1
llvm-3.1-source 1:3.4-0ubuntu1
llvm-dev 1:3.4-0ubuntu1
llvm-runtime 1:3.4-0ubuntu1
lnpd 0.9.0-7
loggerhead 1.19~bzr479-3
lokalize 4:4.13.2-0ubuntu0.1
lttv-dev 4:4.13.2-0ubuntu0.1
lua5.1-policy-dev 33
make 3.81-8.2ubuntu3
makedumpfile 1.5.5-2ubuntu1.1
matlab-support 0.0.19
matlab-support-dev 0.0.19
mauve 20120103-1
mcpp 2.7.2-3ubuntu1
mdbtools-dev 0.7.1-1ubuntu1
menhir 20130116.dfsg-2
mercurial-server 1.2-2
mffm-fftw-dev 1.7-3ubuntu1
mic2 0.24.12-1
mig 0.24.12-1
mingw-w64 3.1.0-1
mingw-w64-dev 3.1.0-1
mingw-w64-i686-dev 3.1.0-1
mingw-w64-tools 3.1.0-1
mingw-w64-x86-64-dev 3.1.0-1
mingw32 4.2.1.dfsg-2ubuntu1
mingw32-binutils 2.20-0.2ubuntu1
mingw32-runtime 3.15.2-0ubuntu1
mini-dinstall 0.6.29ubuntu1
minpack-dev 19961126+dfsg1-2ubuntu1
mkelfimage 2.7-7
mklibs 0.1.39
mklibs-copy 0.1.39
ml-burg 110.76-1
ml-lex 110.76-1
ml-lpt 110.76-1
ml-nlffigen 110.76-1
ml-yacc 110.76-1
mlton 20100608-5.1
mlton-basis 20100608-5.1
mlton-compiler 20100608-5.1
mlton-runtime-arm-linux-gnueabi 20100608-5.1
mlton-runtime-arm-linux-gnueabihf 20100608-5.1
mlton-runtime-i486-kfreebsd-gnu 20100608-5.1
mlton-runtime-i486-linux-gnu 20100608-5.1
mlton-runtime-ia64-linux-gnu 20100608-5.1
mlton-runtime-mips-linux-gnu 20100608-5.1
mlton-runtime-mipsel-linux-gnu 20100608-5.1
mlton-runtime-native 20100608-5.1
mlton-runtime-powerpc-linux-gnu 20100608-5.1
mlton-runtime-s390-linux-gnu 20100608-5.1
mlton-runtime-sparc-linux-gnu 20100608-5.1
mlton-runtime-x86-64-kfreebsd-gnu 20100608-5.1
mlton-runtime-x86-64-linux-gnu 20100608-5.1
mlton-tools 20100608-5.1
mm-common 0.9.6-1
mmake 2.3-5.1
moap 0.2.7-1
mono-2.0-gac 3.2.8+dfsg-4ubuntu1.1
mono-2.0-service 3.2.8+dfsg-4ubuntu1.1
mono-dbg 3.2.8+dfsg-4ubuntu1.1
mono-gac 3.2.8+dfsg-4ubuntu1.1
mono-gmcs 3.2.8+dfsg-4ubuntu1.1
mono-jay 3.2.8+dfsg-4ubuntu1.1
mono-mcs 3.2.8+dfsg-4ubuntu1.1
mono-utils 3.2.8+dfsg-4ubuntu1.1
mono-xbuild 3.2.8+dfsg-4ubuntu1.1
monodevelop-debugger-gdb 4.0.12-1
monodevelop-monogame 2.5.1+dfsg-4
monodoc-base 3.2.8+dfsg-4ubuntu1.1
monodoc-http 2.11+git20131009.5b1ef35-1build1
monodoc-manual 3.2.8+dfsg-4ubuntu1.1
mozart 1.4.0-8ubuntu1
mozart-stdlib 20060615-6
mozilla-devscripts 0.36
mpc-ace 6.0.3+dfsg-0.2
mpich2 3.0.4-6ubuntu1
mscgen 0.20-4
msp430-libc 20120224-1
msp430mcu 20120406-2
mtasc 1.14-3build1
mummy 1.0.3-2
muroard-dev 0.1.14-1
mutextrace 0.1.4-1
mwrap 0.33-1
nana 0.33-1
nant 0.92~rc1+dfsg-3
nasm 2.10.09-1
naturaldocs 1:1.5.1-0ubuntu1
ncc 2.8-1
network-manager-dev 0.9.8.8-0ubuntu7
newlib-m68hc1x 0.9.8.8-0ubuntu7
newlib-source 2.1.0-3
newlib-spu 2.1.0-3
nih-dbus-tool 1.0.3-4ubuntu25
nml 0.2.4-1
notion-dev 3+2012042300-1
noweb 2.11b-7.1ubuntu1
nowebm 2.11b-7.1ubuntu1
nowhere 110.76-1
nqc 3.1.r6-1
nsis 2.46-7
nsis-common 2.46-7
nsis-pluginapi 2.46-7
nunit 2.6.0.12051+dfsg-2
nunit-console 2.6.0.12051+dfsg-2
nunit-gui 2.6.0.12051+dfsg-2
nvidia-cg-toolkit 3.1.0013-1
nvidia-cuda-gdb 5.5.22-3ubuntu1
nvidia-cuda-toolkit 5.5.22-3ubuntu1
nvidia-visual-profiler 5.5.22-3ubuntu1
nypatchy 20061220+dfsg3-4
oathtool 2.0.2-2ubuntu2
ocamlviz 1.01-2build4
ocfs2-tools-dev 1.6.4-3ubuntu1
octave-pkg-dev 1.1.1
ofono-phonesim 1.19-0ubuntu10
ogre-1.8-tools 1.8.1+dfsg-0ubuntu3
ogre-tools 1.8.1+dfsg-0ubuntu3
okteta-dev 4:4.13.3-0ubuntu0.1
omniidl 4.1.6-2
omniorb 4.1.6-2
omniorb-idl 4.1.6-2
omniorb-nameserver 4.1.6-2
opalmod 0.2.1
opari 1.1+dfsg-3
open-cobol 1.1-1build1
open-vm-tools-dev 2:9.4.0-1280544-5ubuntu6.2
openjdk-6-dbg 6b34-1.13.6-1ubuntu0.14.04.1
openjdk-6-demo 6b34-1.13.6-1ubuntu0.14.04.1
openjdk-6-jdk 6b34-1.13.6-1ubuntu0.14.04.1
openjdk-6-source 6b34-1.13.6-1ubuntu0.14.04.1
openscenegraph 3.2.0~rc1-4ubuntu0.1
openscenegraph-examples 3.2.0~rc1-4ubuntu0.1
openscenegraph-plugin-citygml-shared 0.14+svn128-1+3p0p1+4.1
openscenegraph-plugin-citygml-static 0.14+svn128-1+3p0p1+4.1
opt 3.19-1.2
orbit2 1:2.14.19-0.3
orbit2-nameserver 1:2.14.19-0.3
osc 0.143.0-1
osgearth 2.4.0+dfsg-6
osgearth-data 2.4.0+dfsg-6
oss4-dev 4.2-build2007-2.1
pacemaker-dev 1.1.10+git20130802-1ubuntu2.3
pandora-build 0.171.1-0ubuntu1
parrot-devel 5.9.0-1build1
parser3-dev 3.4.3-2
pasmo 0.5.3-6
paxtest 1:0.9.11-2
pbbuttonsd-dev 1:0.9.11-2
pbuilder 0.215ubuntu7.1
pbuilder-uml 0.215ubuntu7.1
pccts 1.33MR33-6
pdebuild-cross 2.2.20
pentium-builder 0.19
perl-byacc 2.0-7
perl-depends 2012.0701+gitb1fd535-1
perlconsole 0.4-4
perltidy 20120701-1
php5-dbg 5.5.9+dfsg-1ubuntu4.7
php5-dev 5.5.9+dfsg-1ubuntu4.7
pida 0.5.1-6
pidgin-dev 1:2.10.9-0ubuntu3.2
piuparts 0.56ubuntu1
piuparts-common 0.56ubuntu1
piuparts-master 0.56ubuntu1
piuparts-slave 0.56ubuntu1
pkg-components 0.6
pkg-config 0.26-1ubuntu4
pkg-kde-tools 0.15.12ubuntu1
pkglab 1.4.2-13build2
pleiades 1.4.0-dfsg-6
plptools-dev 1.0.9-2.4ubuntu1
pmake 20131001-4
pmccabe 2.6
pmk 0.10.4-1
po-debconf 1.0.16+nmu2ubuntu1
portaudio19-dev 19+svn20140130-1
posixtestsuite 1.5.2-4
postfix-dev 2.11.0-1ubuntu1
poxml 4:4.13.0-0ubuntu1
ppl-dev 1:1.1-1ubuntu1
ppp-dev 2.4.5-5.1ubuntu2.1
pps-tools 0.20120406+g0deb9c7e-2
prctl 1.5-1
premake 3.7-1
preprocess 1.1.0+ds-1build1
pretzel 2.0n-2-0.3
proguard 4.8-0.1
protobuf-c-compiler 0.15-1build1
protobuf-compiler 2.5.0-9ubuntu1
protoize 1:4.4.7-8ubuntu1
pstack 1.3.1-1
pvm 3.4.5-12.5ubuntu1
pvm-dev 3.4.5-12.5ubuntu1
pvm-examples 3.4.5-12.5ubuntu1
pxsl-tools 1.0-5.2
pychecker 0.8.19-8
pydb 1.26-1
pythia8-examples 8.1.80-1
pythia8-root-interface 8.1.80-1
python-debian 0.1.21+nmu2ubuntu2
python-plwm 2.6a+20080530-1.1
python-rope 0.9.2-2ubuntu1
python-ropemacs 0.6c2-5
python-sigmask 2.4.1-2
pythoncard 0.8.2-3
pythoncard-tools 0.8.2-3
q-tools 0.8.2-3
qconf 1.5-1
qmtest 2.4.1-2
qt-assistant-compat 4.6.3-6
qt-sdk 2ubuntu3
qt4-designer 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
qt4-dev-tools 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
qt4-linguist-tools 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
qt4-qmake 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
qt4-qmlviewer 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
qtcreator 3.0.1-0ubuntu4
qtscript-tools 0.2.0-1
quantlib-examples 1.4-2
quantlib-refman-html 1.2-1
rabbitsign 2.1+dmca1-1build1
radare2 0.9.6-3.1ubuntu1
radare2-vala 0.9.6-4
ragel 6.8-1build1
ratfor 1.0-15
rcs-blame 1.3.1-2
re2c 0.13.5-1build2
rebuildd 0.4.2
regexxer 0.9-2.1ubuntu1
remake 3.82+dbg0.9+dfsg-1
root-macro-fastjet 3.0.6+dfsg-1
rtai 3.9.1-4
ruby-dev 1:1.9.3.4
ruby-dev 1:1.9.3.4
ruby1.8-dev 1:1.9.3.4
runsnakerun 2.0.4-2
rygel-1.0-dev 2.0.4-2
samba-dbg 2:4.1.6+dfsg-1ubuntu2.14.04.7
samba4-dev 2:4.1.6+dfsg-1ubuntu2.14.04.7
sbuild 0.64.1-1ubuntu4
scala 2.9.2+dfsg-2
scala-library 2.9.2+dfsg-2
scalapack-test-common 1.8.0-9build1
scim-dev 1.4.14-6
scons 2.3.0-2
sdlbasic 0.0.20070714-5
seivot 1.17-1
sfc 1.0.0.dfsg-1.2
sfftw-dev 2.1.5-1build1
shake 1.0.2-1
shapetools 1.4pl6-11
shiboken 1.2.1-3build1
shrinksafe 1.7.2-1.1
shtool 2.0.8-6
shunit2 2.1.6-1
similarity-tester 2.70-1
siscone-examples 2.0.6-1
slimit 0.8.1-1
sloccount 2.26-5.1
sludge-compiler 2.2-1
sludge-devkit 2.2-1
slurm-llnl-basic-plugins-dev 2.6.5-1
smlnj 110.76-1
smlnj-runtime 110.76-1
smoke-dev-tools 4:4.13.0-0ubuntu1
snacc 1.3.1-4
source-highlight 3.1.6-2ubuntu1
spark 2012.0.deb-8
sparse 0.4.5~rc1-1
spectacle 0.22-1
spl-core 1.0~pre6-4ubuntu1
spl-dev 1.0~pre6-4ubuntu1
spl-sdl 1.0~pre6-4ubuntu1
spl-xml 1.0~pre6-4ubuntu1
splint 3.1.2.dfsg1-2
splint-data 3.1.2.dfsg1-2
spyder 2.3.0+dfsg-4~ubuntu14.04.1
squeak-plugins-scratch 1.4.0.2~svn.r83-2
stress 1.0.1-1ubuntu1
styx 2.0.1-1
styx-dev 2.0.1-1
subunit 0.0.18-0ubuntu7
sup 20100519-1
svn-all-fast-export 1.0.10-2
sweep-dev 0.9.3-8
synopsis 0.12-8build2
synopsis-idl 0.12-8build2
sysconftool 0.16-1
sysprof 1.2.0-3
system-tools-backends-dev 2.10.2-1ubuntu1.14.04.1
systemtap 2.3-1ubuntu1
systemtap-client 2.3-1ubuntu1
systemtap-common 2.3-1ubuntu1
systemtap-grapher 2.3-1ubuntu1
systemtap-runtime 2.3-1ubuntu1
systemtap-sdt-dev 2.3-1ubuntu1
systemtap-server 2.3-1ubuntu1
tads2-dev 1:1.2.3-1
tads3-dev 1:1.2.3-1
tau 2.16.4-1.5
tau-examples 2.16.4-1.5
tau-racy 2.16.4-1.5
tcc 0.9.26~git20120612.ad5f375-6
tcl8.4-dev 8.4.20-7
tcl8.5-dev 8.5.15-2ubuntu1
tclx8.4-dev 8.4.0-3.1
teseq 1.1-0.1
tfdocgen 1.0-1
ticgit 1.0.2.17-2
ticgitweb 1.0.2.17-2
tix-dev 8.4.3-4ubuntu1
tk-dev 8.6.0+6ubuntu3
tk8.4-dev 8.4.20-7
tk8.5-dev 8.5.15-2ubuntu3
tkpng 0.9-1ubuntu2
tktreectrl 2.2.8-1ubuntu1
tmake 1.8-1.1
tuxpaint-dev 1:0.9.21-1.1ubuntu1
ubuntu-dev-tools 0.153
ucblogo 5.5-2.1
uclibc-source 5.5-2.1
ufc 2.3.0-1
umbrello 4:4.13.3-0ubuntu0.1
umlet 11.3-5.1
uncrustify 0.59-2
undertaker 1.3b-1.1
undertaker-el 1.3b-1.1
unifdef 2.6-1
universalindentgui 1.2.0-1build2
unixodbc-dev 2.2.14p2-5ubuntu5
ure-dbg 4.2.7-0ubuntu2
uthash-dev 1.9.7-1
uuagc 0.9.42.3-2
uuidcdef 0.3.13-4
vala-dbus-binding-tool 0.4.0-1
vala-gen-project 0.4.0-1
valabind 0.7.4-4ubuntu1
valac 0.22.1-0ubuntu1
valac-0.14 0.14.2-2ubuntu2
valac-0.16 0.16.1-2ubuntu4
valac-0.16-vapi 0.16.1-2ubuntu4
valadoc 0.3.2~git20140116-2
valgrind 1:3.10~20140411-0ubuntu1
valgrind-mpi 1:3.10~20140411-0ubuntu1
valkyrie 2.0.0-1
vdkbuilder2 2.4.0-4.4
vflib3-bin 3.6.14.dfsg-3+nmu2
vim-syntax-go 2:1.2.1-2ubuntu1
virtualbox-ose-dbg 2:1.2.1-2ubuntu1
visual-regexp 3.1-3ubuntu1
vite 1.2+svn1399-1
websvn 2.3.3-1.1
weechat-dev 0.4.2-3
wireshark-dev 1.10.6-1
witty-dev 3.3.0-1build1
witty-dev 3.3.0-1build1
wordnet-dev 1:3.0-32
wx-common 3.0.0-2
wx2.8-examples 2.8.12.1+dfsg-2ubuntu2
wx2.8-headers 2.8.12.1+dfsg-2ubuntu2
wyg 2.8.12.1+dfsg-2ubuntu2
xa65 2.3.5-1
xapt 2.2.20
xaw3dg-dev 1.5+E-18.2
xdeb 0.6.6
xenomai-runtime 2.6.2.1-2ubuntu2
xmhtml1-dev 1.1.7-19
xmlcopyeditor 1.2.0.12-1
xmlindent 0.2.17-3
xmlrpc-api-utils 1.33.06-0ubuntu1
xmltoman 0.4-3
xmpi 2.2.3b8-13.1ubuntu4
xsdcxx 3.3.0.1-1.4
xul-ext-webdeveloper 3.3.0.1-1.4
xviewg-dev 3.2p1.4-28.1
xxgdb 1.12-17
yap 6.2.2-2
yasm 1.2.0-1ubuntu1
z80asm 1.8-1
z80dasm 1.1.3-1
z88dk 1.8.ds1-10
z88dk-bin 1.8.ds1-10
z88dk-data 1.8.ds1-10
zeroc-ice34 1.8.ds1-10
zeroc-icee 1.2.0-6.1ubuntu1
zshdb 0.05+git20101031-2
zzuf 0.13.svn20100215-4
