a56 1.3+dfsg-8
debnest 0.0.4-1.1build2
debomatic 0.11-2
dejagnu 1.5-3build1
delta 2006.08.03-6
deps-tools-cli 0.13-1.1
desktop-file-utils 0.22-1ubuntu1
devhelp 3.8.2-2ubuntu1
devhelp-common 3.8.2-2ubuntu1
device-tree-compiler 1.4.0+dfsg-1
devscripts 2.14.1
dh-ada-library 5.9
dh-apparmor 2.8.95~2430-0ubuntu5.1
dh-autoreconf 9
dh-buildinfo 0.10ubuntu1
dh-consoledata 0.7.88
dh-di 6
dh-exec 0.12
dh-kpatches 0.99.36+nmu1
dh-linktree 0.4
dh-make 0.63
dia2code 0.8.3-4
dictionaries-common-dev 1.20.5
dieharder 3.31.1-4
diffstat 1.58-1
dis51 0.5-1.1
dist 1:3.5-30-3.3
distcc 3.1-6
distcc-pump 3.1-6
distccmon-gnome 3.1-6
distro-info 0.12
distro-info-data 0.18ubuntu0.2
ditrack 0.8-1.2
ditz 0.8-1.2
dmake 0.8-1.2
dmucs 0.6.1-2.1
doclifter 2.11-1
doctorj 5.0.0-5
dose-builddebcheck 3.1.3-7ubuntu0.1
dose-distcheck 3.1.3-7ubuntu0.1
dose-extra 3.1.3-7ubuntu0.1
doxygen 1.8.6-2
doxygen-gui 1.8.6-2
doxygen-latex 1.8.6-2
doxymacs 1.8.0-6
dpkg-awk 1.2
dpkg-sig 0.13.1+nmu1
dput 0.9.6.4ubuntu1.1
drac-dev 1.12-8build1
drizzle-plugin-dev 1:7.2.3-2ubuntu2
drpython 1:3.11.1-2
duma 2.5.15-1.1ubuntu1
dupload 2.7.0ubuntu1
dwz 0.11-1
dzedit 20061220+dfsg3-4
e2fsprogs-dbg 1.42.9-3ubuntu1.2
ecb 2.40+cvs20110608-3
ecl 13.5.1+dfsg2-4.1ubuntu1
eclipse 3.8.1-5.1
eclipse-anyedit 2.4.4-1
eclipse-cdt 8.3.0-1
eclipse-cdt-autotools 8.3.0-1
eclipse-cdt-pkg-config 1.0.0~git20130115-2
eclipse-cdt-valgrind 1.2.1+dfsg-1
eclipse-cdt-valgrind-remote 1.2.1+dfsg-1
eclipse-egit 3.3.1-1
eclipse-egit-mylyn 3.3.1-1
eclipse-gef 3.7.1-1
eclipse-jdt 3.8.1-5.1
eclipse-mercurialeclipse 1.9.4-2
eclipse-mylyn 3.11.0-1
eclipse-mylyn-builds-hudson 3.11.0-1
eclipse-mylyn-context-cdt 3.11.0-1
eclipse-mylyn-context-jdt 3.11.0-1
eclipse-mylyn-context-pde 3.11.0-1
eclipse-mylyn-tasks-bugzilla 3.11.0-1
eclipse-mylyn-tasks-trac 3.11.0-1
eclipse-mylyn-versions-cvs 3.11.0-1
eclipse-mylyn-wikitext 3.11.0-1
eclipse-pde 3.8.1-5.1
eclipse-platform 3.8.1-5.1
eclipse-platform-data 3.8.1-5.1
eclipse-rcp 3.8.1-5.1
edos-debcheck 1.0-9
edos-debcheck 1.0-9
edos-distcheck 1.4.2-13build2
edos-rpmcheck 1.0-9
edos-rpmcheck 1.0-9
eglibc-source 2.19-0ubuntu6.6
electric-fence 2.2.4
elida 0.4+nmu1
elks-libc 0.16.17-3.1ubuntu3
emerillon-dev 0.1.90-1build4
ensymble 0.29-1ubuntu1
environment-modules 3.2.10-8
eperl 2.2.14-20build1
epiphany-browser-dev 2.2.14-20build1
epm 4.2-6
eric 4.5.18-1
eric-api-files 4.5.18-1
erlang-esdl-dev 1.2-2build1
evolution-data-server-dev 3.10.4-0ubuntu1.5
evolution-dev 3.10.4-0ubuntu2
expect-dev 5.45-5ubuntu1
expeyes-firmware-dev 3.1.5-2
explain 0.52.D002-1
eztrace 0.9.1-5
f2c 20100827-1
falconpl-curl 0.9.6.9-git20120606-2
falconpl-dbi 0.9.6.9-git20120606-2
falconpl-dbi-firebird 0.9.6.9-git20120606-2
falconpl-dbi-mysql 0.9.6.9-git20120606-2
falconpl-dbi-postgresql 0.9.6.9-git20120606-2
falconpl-dbi-sqlite3 0.9.6.9-git20120606-2
falconpl-dbus 0.9.6.9-git20120606-2
falconpl-dev 0.9.6.9-git20120606-2
falconpl-dmtx 0.9.6.9-git20120606-2
falconpl-gd2 0.9.6.9-git20120606-2
falconpl-gtk 0.9.6.9-git20120606-2
falconpl-hpdf 0.9.6.9-git20120606-2
falconpl-mongodb 0.9.6.9-git20120606-2
falconpl-sdl 0.9.6.9-git20120606-2
fastdep 0.16-13
fastjet-examples 3.0.6+dfsg-1
fatrat-dev 1.2.0~beta2-0ubuntu8
faucc 20120707-1
fauhdlc 20130704-1
fenix 0.92a.dfsg1-10
fenix-dev 0.92a.dfsg1-10
fenix-plugin-mpeg 0.0.20070803-5.1
fenix-plugins 0.0.20070803-5.1
