iceweasel-l10n-gd 5.2.10~pre2-0ubuntu2
iceweasel-l10n-hr 5.2.10~pre2-0ubuntu2
iceweasel-l10n-hsb 5.2.10~pre2-0ubuntu2
iceweasel-l10n-hy-am 5.2.10~pre2-0ubuntu2
iceweasel-l10n-kk 5.2.10~pre2-0ubuntu2
iceweasel-l10n-km 5.2.10~pre2-0ubuntu2
iceweasel-l10n-lg 5.2.10~pre2-0ubuntu2
iceweasel-l10n-lij 5.2.10~pre2-0ubuntu2
iceweasel-l10n-mai 5.2.10~pre2-0ubuntu2
iceweasel-l10n-ml 5.2.10~pre2-0ubuntu2
iceweasel-l10n-ms 5.2.10~pre2-0ubuntu2
iceweasel-l10n-nso 5.2.10~pre2-0ubuntu2
iceweasel-l10n-or 5.2.10~pre2-0ubuntu2
iceweasel-l10n-rm 5.2.10~pre2-0ubuntu2
iceweasel-l10n-son 5.2.10~pre2-0ubuntu2
iceweasel-l10n-ta 5.2.10~pre2-0ubuntu2
iceweasel-l10n-ta-lk 5.2.10~pre2-0ubuntu2
iceweasel-l10n-vi 5.2.10~pre2-0ubuntu2
iceweasel-l10n-xh 5.2.10~pre2-0ubuntu2
iceweasel-l10n-zu 5.2.10~pre2-0ubuntu2
islamic-menus 1.0.5-1
k3b-i18n 2.0.2-7ubuntu1
kde-l10n-ar 4:4.13.0-0ubuntu1
kde-l10n-bg 4:4.13.0-0ubuntu1
kde-l10n-bs 4:4.13.0-0ubuntu1
kde-l10n-ca 4:4.13.0-0ubuntu1
kde-l10n-cavalencia 4:4.13.0-0ubuntu1
kde-l10n-cs 4:4.13.0-0ubuntu1
kde-l10n-da 4:4.13.0-0ubuntu1
kde-l10n-de 4:4.13.3-0ubuntu0.1
kde-l10n-el 4:4.13.0-0ubuntu1
kde-l10n-engb 4:4.13.0-0ubuntu1
kde-l10n-es 4:4.13.0-0ubuntu1
kde-l10n-et 4:4.13.0-0ubuntu1
kde-l10n-eu 4:4.13.0-0ubuntu1
kde-l10n-fa 4:4.11.97-0ubuntu1
kde-l10n-fi 4:4.13.0-0ubuntu1
kde-l10n-fr 4:4.13.0-0ubuntu1
kde-l10n-ga 4:4.13.0-0ubuntu1
kde-l10n-gl 4:4.13.0-0ubuntu1
kde-l10n-he 4:4.13.0-0ubuntu1
kde-l10n-hr 4:4.13.0-0ubuntu1
kde-l10n-hu 4:4.13.0-0ubuntu1
kde-l10n-ia 4:4.13.0-0ubuntu1
kde-l10n-id 4:4.13.0-0ubuntu1
kde-l10n-is 4:4.13.0-0ubuntu1
kde-l10n-it 4:4.13.0-0ubuntu1
kde-l10n-ja 4:4.13.0-0ubuntu1
kde-l10n-kk 4:4.13.0-0ubuntu1
kde-l10n-km 4:4.13.0-0ubuntu1
kde-l10n-ko 4:4.13.0-0ubuntu1
kde-l10n-lt 4:4.13.0-0ubuntu1
kde-l10n-lv 4:4.13.0-0ubuntu1
kde-l10n-nb 4:4.13.0-0ubuntu1
kde-l10n-nds 4:4.13.0-0ubuntu1
kde-l10n-nl 4:4.13.0-0ubuntu1
kde-l10n-nn 4:4.13.0-0ubuntu1
kde-l10n-pa 4:4.13.0-0ubuntu1
kde-l10n-pl 4:4.13.0-0ubuntu1
kde-l10n-pt 4:4.13.0-0ubuntu1
kde-l10n-ptbr 4:4.13.0-0ubuntu1
kde-l10n-ro 4:4.13.0-0ubuntu1
kde-l10n-ru 4:4.13.0-0ubuntu1
kde-l10n-si 4:4.10.97-0ubuntu1
kde-l10n-sk 4:4.13.0-0ubuntu1
kde-l10n-sl 4:4.13.0-0ubuntu1
kde-l10n-sr 4:4.13.0-0ubuntu1
kde-l10n-sv 4:4.13.0-0ubuntu1
kde-l10n-tg 4:4.11.97-0ubuntu1
kde-l10n-th 4:4.10.97-0ubuntu1
kde-l10n-tr 4:4.13.0-0ubuntu1
kde-l10n-ug 4:4.13.0-0ubuntu1
kde-l10n-uk 4:4.13.0-0ubuntu1
kde-l10n-vi 4:4.13.0-0ubuntu1
kde-l10n-wa 4:4.13.0-0ubuntu1
kde-l10n-zhcn 4:4.13.0-0ubuntu1
kde-l10n-zhtw 4:4.12.97-0ubuntu1
kdevelop-l10n 4:4.6.0-0ubuntu3
kdevelop-php-docs-l10n 1.6.0-0ubuntu1
kdevelop-php-l10n 1.6.0-0ubuntu1
kdevplatform-l10n 1.6.0-0ubuntu1.1
kile-l10n 4:2.1.3-2ubuntu1
krb5-locales 1.12+dfsg-2ubuntu5.1
libclaw-i18n 1.7.3-1
libgammu-i18n 1.33.0-3
libgphoto2-l10n 2.5.3.1-1ubuntu2.2
libktorrent-l10n 1.3.1-3ubuntu1
libparted0-i18n 2.3-19ubuntu1
libqofexpensesobjects-data 2.3-19ubuntu1
libreoffice-l10n-af 1:4.2.7-0ubuntu1
libreoffice-l10n-ar 1:4.2.7-0ubuntu1
libreoffice-l10n-as 1:4.2.7-0ubuntu1
libreoffice-l10n-ast 1:4.2.7-0ubuntu1
libreoffice-l10n-be 1:4.2.7-0ubuntu1
libreoffice-l10n-bg 1:4.2.7-0ubuntu1
libreoffice-l10n-bn 1:4.2.7-0ubuntu1
libreoffice-l10n-br 1:4.2.7-0ubuntu1
libreoffice-l10n-bs 1:4.2.7-0ubuntu1
libreoffice-l10n-ca 1:4.2.7-0ubuntu1
libreoffice-l10n-cs 1:4.2.7-0ubuntu1
libreoffice-l10n-cy 1:4.2.7-0ubuntu1
libreoffice-l10n-da 1:4.2.7-0ubuntu1
libreoffice-l10n-de 1:4.2.7-0ubuntu1
libreoffice-l10n-dz 1:4.2.7-0ubuntu1
libreoffice-l10n-el 1:4.2.7-0ubuntu1
libreoffice-l10n-en-gb 1:4.2.7-0ubuntu1
libreoffice-l10n-en-za 1:4.2.7-0ubuntu1
libreoffice-l10n-eo 1:4.2.7-0ubuntu1
libreoffice-l10n-es 1:4.2.7-0ubuntu1
libreoffice-l10n-et 1:4.2.7-0ubuntu1
libreoffice-l10n-eu 1:4.2.7-0ubuntu1
libreoffice-l10n-fa 1:4.2.7-0ubuntu1
libreoffice-l10n-fi 1:4.2.7-0ubuntu1
libreoffice-l10n-fr 1:4.2.7-0ubuntu1
libreoffice-l10n-ga 1:4.2.7-0ubuntu1
libreoffice-l10n-gl 1:4.2.7-0ubuntu1
libreoffice-l10n-gu 1:4.2.7-0ubuntu1
libreoffice-l10n-he 1:4.2.7-0ubuntu1
libreoffice-l10n-hi 1:4.2.7-0ubuntu1
libreoffice-l10n-hr 1:4.2.7-0ubuntu1
libreoffice-l10n-hu 1:4.2.7-0ubuntu1
libreoffice-l10n-id 1:4.2.7-0ubuntu1
libreoffice-l10n-in 1:4.2.7-0ubuntu2
libreoffice-l10n-is 1:4.2.7-0ubuntu1
libreoffice-l10n-it 1:4.2.7-0ubuntu1
libreoffice-l10n-ja 1:4.2.7-0ubuntu1
libreoffice-l10n-ka 1:4.2.7-0ubuntu1
libreoffice-l10n-km 1:4.2.7-0ubuntu1
libreoffice-l10n-ko 1:4.2.7-0ubuntu1
libreoffice-l10n-ku 1:4.2.7-0ubuntu2
libreoffice-l10n-lt 1:4.2.7-0ubuntu1
libreoffice-l10n-lv 1:4.2.7-0ubuntu1
libreoffice-l10n-mk 1:4.2.7-0ubuntu1
libreoffice-l10n-ml 1:4.2.7-0ubuntu1
libreoffice-l10n-mn 1:4.2.7-0ubuntu1
libreoffice-l10n-mr 1:4.2.7-0ubuntu1
libreoffice-l10n-nb 1:4.2.7-0ubuntu1
libreoffice-l10n-ne 1:4.2.7-0ubuntu1
libreoffice-l10n-nl 1:4.2.7-0ubuntu1
libreoffice-l10n-nn 1:4.2.7-0ubuntu1
libreoffice-l10n-nr 1:4.2.7-0ubuntu1
libreoffice-l10n-nso 1:4.2.7-0ubuntu1
libreoffice-l10n-oc 1:4.2.7-0ubuntu1
libreoffice-l10n-om 1:4.2.7-0ubuntu1
libreoffice-l10n-or 1:4.2.7-0ubuntu1
libreoffice-l10n-pa-in 1:4.2.7-0ubuntu1
libreoffice-l10n-pl 1:4.2.7-0ubuntu1
libreoffice-l10n-pt 1:4.2.7-0ubuntu1
libreoffice-l10n-pt-br 1:4.2.7-0ubuntu1
libreoffice-l10n-ro 1:4.2.7-0ubuntu1
libreoffice-l10n-ru 1:4.2.7-0ubuntu1
libreoffice-l10n-rw 1:4.2.7-0ubuntu1
libreoffice-l10n-si 1:4.2.7-0ubuntu1
libreoffice-l10n-sk 1:4.2.7-0ubuntu1
libreoffice-l10n-sl 1:4.2.7-0ubuntu1
libreoffice-l10n-sr 1:4.2.7-0ubuntu1
libreoffice-l10n-ss 1:4.2.7-0ubuntu1
libreoffice-l10n-st 1:4.2.7-0ubuntu1
libreoffice-l10n-sv 1:4.2.7-0ubuntu1
libreoffice-l10n-ta 1:4.2.7-0ubuntu1
libreoffice-l10n-te 1:4.2.7-0ubuntu1
libreoffice-l10n-tg 1:4.2.7-0ubuntu1
libreoffice-l10n-th 1:4.2.7-0ubuntu1
libreoffice-l10n-tn 1:4.2.7-0ubuntu1
libreoffice-l10n-tr 1:4.2.7-0ubuntu1
libreoffice-l10n-ts 1:4.2.7-0ubuntu1
libreoffice-l10n-ug 1:4.2.7-0ubuntu1
libreoffice-l10n-uk 1:4.2.7-0ubuntu1
libreoffice-l10n-uz 1:4.2.7-0ubuntu1
libreoffice-l10n-ve 1:4.2.7-0ubuntu1
libreoffice-l10n-vi 1:4.2.7-0ubuntu1
libreoffice-l10n-xh 1:4.2.7-0ubuntu1
libreoffice-l10n-za 1:4.2.7-0ubuntu2
libreoffice-l10n-zh-cn 1:4.2.7-0ubuntu1
libreoffice-l10n-zh-tw 1:4.2.7-0ubuntu1
libreoffice-l10n-zu 1:4.2.7-0ubuntu1
menu-l10n 0.20120730
museeq-locales 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-af 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ar 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-as 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ast 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-be-by 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-bg 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-bn 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-br 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-bs 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ca 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-cs 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-cy 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-da 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-de 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-dz 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-el 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-en-gb 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-en-za 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-eo 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-es 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-et 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-eu 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-fa 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-fi 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-fr 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ga 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-gl 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-gu 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-he 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-hi-in 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-hr 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-hu 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-id 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-in 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-it 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ja 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ka 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-km 1:0.2+svn20100315.r1208-2
