a2ps 1:4.14-1.3
dict-freedict-wel-eng 2014.02.17-1
dict-gazetteer2k 1.0.0-5.2
dict-gazetteer2k-counties 1.0.0-5.2
dict-gazetteer2k-places 1.0.0-5.2
dict-gazetteer2k-zips 1.0.0-5.2
dict-gcide 0.48.1
dict-jargon 4.4.7-2ubuntu1
dict-moby-thesaurus 1.0-6.2
dict-vera 1:1.20-1
dict-wn 1:3.0-32
dictd 1.12.1+dfsg-2
dictem 1.0.4-1
diction 1.11-1
dictionaries-common 1.20.5
dictzip 1.12.1+dfsg-2
ding 1.7-2ubuntu1
discount 2.1.7-1
djtools 1.2.7
djvusmooth 0.2.14-1
dl10n 3.00
docbook 4.5-5.1ubuntu1
docbook-dsssl 1.79-7ubuntu1
docbook-ebnf 1.2~cr1-5.1
docbook-html-forms 1.1.0-5
docbook-mathml 1.1CR1-2
docbook-simple 1.1-4.2
docbook-slides 3.4.0-5
docbook-to-man 1:2.0.0-31
docbook-utils 0.6.14-3ubuntu1
docbook-website 2.5.0.0-8
docbook-xml 4.5-7.2
docbook-xsl 1.78.1+dfsg-1
docbook-xsl-ns 1.78.1+dfsg-1
docbook-xsl-saxon 1.00.dfsg.1-5
docbook2odf 0.244-1.1
docbook2x 0.8.8-9
docbook5-xml 5.0-2
docdiff 0.4.0-2
doconce 0.7.3-1
docx2txt 1.2-1.1
dos2unix 6.0.4-1
dtdinst 20131210+dfsg+1-1
e2ps 4.34-4
eblook 1:1.6.1-13
ebnetd 1:1.0.dfsg.1-4.3
ebnetd-common 1:1.0.dfsg.1-4.3
ebview 0.3.6.2-1.3ubuntu1
edict 2012.05.09-1
editmoin 1.17-1
elyxer 1.2.5-1
enamdict 2012.05.09-1
enca 1.15-2
enchant 1.6.0-10ubuntu1
enscript 1.6.5.90-2
expat 2.1.0-4ubuntu1
fbreader 0.12.10dfsg-9
ffe 0.3.4-1
figlet 2.2.5-2
filepp 1.8.0-4
fldiff 1.1+0-2
flip 1.20-2
fntsample 3.2-4
foomatic-db 20140410-0ubuntu1
foomatic-db 20140410-0ubuntu1
foomatic-db-compressed-ppds 20140410-0ubuntu1
foomatic-db-engine 4.0.11-0ubuntu1
foomatic-db-gutenprint 5.2.10~pre2-0ubuntu2
foomatic-filters 4.0.17-1ubuntu1
fop 1:1.1.dfsg-2ubuntu1
g2p-sk 0.4.2-1
gaiksaurus 1.2.1+dev-0.12-6.1ubuntu2
galax 1.1-11
galax-extra 1.1-11
gbgoffice 1.4-8
ghostscript 9.10~dfsg-0ubuntu10.2
ghostscript-cups 9.10~dfsg-0ubuntu10.2
ghostscript-x 9.10~dfsg-0ubuntu10.2
gnome-u2ps 9.10~dfsg-0ubuntu10.2
gnuhtml2latex 0.4-2
gnuvd 1.0.12-1
gnuvd-gnome 1.0.12-1
goldendict-wordnet 1:3.0-32
grap 1.43-2
grc 1.5
groff 1.22.2-5
