0ad 0.0.16-2~ubuntu14.04.1
searchandrescue-data 1.3.0-1
sgt-puzzles 9872-1
simutrans 111.3.1-1
simutrans-data 111.3.1-1
simutrans-makeobj 111.3.1-1
simutrans-pak128.britain 1.09-1
simutrans-pak64 111.3-1
singularity 0.30c-1
singularity-music 007-1
sjeng 11.2-8
sl 3.03-17
slashem 0.0.7E7F3-6
slashem-common 0.0.7E7F3-6
slashem-gtk 0.0.7E7F3-6
slashem-sdl 0.0.7E7F3-6
slashem-x11 0.0.7E7F3-6
slimevolley 2.4.2+dfsg-1
slimevolley-data 2.4.2+dfsg-1
slingshot 0.9-1
sludge-engine 2.2-1
sm 0.20-2
smc 1.9+git20121121-1ubuntu1.1
smc-data 1.9+git20121121-1ubuntu1.1
smc-music 1.9+git20121121-1ubuntu1.1
snake4 1.0.12-15.1
snowballz 0.9.5.1-4
solarwolf 1.5-2
sopwith 1.8.1-3
spacearyarya 1.0.2-7
spacezero 0.80.06-1
spellcast 1.0-21
spout 1.4-2
spring 96.0+dfsg-1
spring-common 96.0+dfsg-1
spring-javaai 96.0+dfsg-1
springlobby 0.169-1build1
starfighter 1.2-2
starfighter-data 1.2-2
starvoyager 0.4.4-5.1build1
starvoyager-data 0.4.4-5.1build1
stax 1.0-13ubuntu5
stockfish 3.0.0+git20130508-2
stormbaancoureur 2.1.6-1build1
stormbaancoureur-data 2.1.6-1build1
sudoku 1.0.1-5
supertransball2 1.5-6
supertransball2-data 1.5-6
supertux 0.3.4-1build1
supertux-data 0.3.4-1build1
supertuxkart 0.8.1-2
supertuxkart-data 0.8.1-2
swell-foop 1:3.8.2-1
tads3-common 1:1.2.3-1
tagua 1.0~alpha2-12
tagua-data 1.0~alpha2-12
tanglet 1.1.1-1.1
tatan 1.0.dfsg1-4
tdfsb 0.0.10-1.1ubuntu1
tecnoballz 0.92-5ubuntu1
tecnoballz-data 0.92-5ubuntu1
teeworlds 0.6.2+dfsg-1
teeworlds-data 0.6.2+dfsg-1
teeworlds-server 0.6.2+dfsg-1
tenace 0.13-1
tenmado 0.10-1
tennix 1.1-3
tetrinet-client 0.11+CVS20070911-1
tetrinet-server 0.11+CVS20070911-1
tetrinetx 1.13.16-14
tetzle 2.0.2.1-3
tf 1:4.0s1-17
thrust 1:4.0s1-17
tictactoe-ng 0.3.2.1-1
tint 0.04+nmu1
tintin++ 2.01.0-1
tinymux 2.6.5.28-1ubuntu2
titanion 0.3.dfsg1-5
titanion-data 0.3.dfsg1-5
tmw 20130201-2
tmw-music 0.3-5
toga2 3.0.0.1SE1-1
tomatoes 1.55-5
tomatoes-data 1.55-5
tome 2.3.5-2ubuntu1
toppler 1.1.6-2
torcs 1.3.3-5ubuntu1
torcs-data 1.3.3-5ubuntu1
torcs-data-cars 1.3.3-5ubuntu1
torcs-data-tracks 1.3.3-5ubuntu1
torus-trooper 0.22.dfsg1-9
torus-trooper-data 0.22.dfsg1-9
torus-trooper-pure 0.22.dfsg1-9
tourney-manager 20070820-4
tpclient-pywx 0.3.1.1-3.1
trackballs 1.1.4-4.1
trackballs-data 1.1.4-4.1
trackballs-music 1.3-1
transcend 0.3.dfsg2-3
trigger-rally 0.6.0-2
trigger-rally-data 0.6.0-1ubuntu1
triplane 1.0.8-1
triplea 1.7.0.3+dfsg-1
trophy 2.0.3-1
trophy-data 2.0.3-1
tumiki-fighters 0.2.dfsg1-6
tumiki-fighters-data 0.2.dfsg1-6
tuxfootball 0.3.1-3ubuntu1
tuxmath 2.0.3-1
tuxpuck 0.8.2-5
tuxtype 1.8.1-6ubuntu2
tuxtype-data 1.8.1-6ubuntu2
tworld 1.3.0-6
tworld-data 1.3.0-6
typespeed 0.6.5-1.1ubuntu1
uligo 0.3-6
unknown-horizons 2013.3+ds1-1
uqm 0.6.2.dfsg-9
uqm-content 0.6.0+deb1-6
uqm-music 0.6.0+deb1-6
uqm-russian 1.0.2-5
uqm-voice 0.6.0+deb1-6
val-and-rick 0.1a.dfsg1-4
val-and-rick-data 0.1a.dfsg1-4
vavoom 0.1a.dfsg1-4
vectoroids 1.1.0-11
viruskiller 1.03-1+dfsg1-1
vodovod 1.10-3
vor 0.5.5-2ubuntu1
warmux 1:11.04.1+repack-5
warmux-data 1:11.04.1+repack-5
warmux-servers 1:11.04.1+repack-5
wesnoth 1:1.10.7-1
wesnoth-1.10 1:1.10.7-1
wesnoth-1.10-aoi 1:1.10.7-1
wesnoth-1.10-core 1:1.10.7-1
wesnoth-1.10-data 1:1.10.7-1
wesnoth-1.10-did 1:1.10.7-1
wesnoth-1.10-dm 1:1.10.7-1
wesnoth-1.10-dw 1:1.10.7-1
wesnoth-1.10-ei 1:1.10.7-1
wesnoth-1.10-httt 1:1.10.7-1
wesnoth-1.10-l 1:1.10.7-1
wesnoth-1.10-low 1:1.10.7-1
wesnoth-1.10-music 1:1.10.7-1
wesnoth-1.10-nr 1:1.10.7-1
wesnoth-1.10-server 1:1.10.7-1
wesnoth-1.10-sof 1:1.10.7-1
wesnoth-1.10-sotbe 1:1.10.7-1
wesnoth-1.10-thot 1:1.10.7-1
wesnoth-1.10-tools 1:1.10.7-1
wesnoth-1.10-trow 1:1.10.7-1
wesnoth-1.10-tsg 1:1.10.7-1
wesnoth-1.10-ttb 1:1.10.7-1
wesnoth-1.10-utbs 1:1.10.7-1
wesnoth-core 1:1.10.7-1
wesnoth-music 1:1.10.7-1
whichwayisup 0.7.9-3
widelands 1:18-2
widelands-data 1:18-2
wing 0.7-30
wing-data 0.7-30
wizznic 0.9.2-preview2+dfsg-1.1
wizznic-data 0.9.2-preview2+dfsg-1.1
wmpuzzle 0.5.2-1
wolf4sdl 1.7+svn262+dfsg1-2
wordplay 7.22-17
xabacus 7.7.1-3
xabacus 7.7.1-3
xball 3.0.1-1.2
xbattle 3.0.1-1.2
xbill 2.1-8ubuntu1
xblast 1:2.10.4-3ubuntu1
xblast 1:2.10.4-3ubuntu1
xblast-tnt 2.10.4-3ubuntu1
xblast-tnt-images 20050106-2
xblast-tnt-levels 20050106-2
xblast-tnt-mini 2.10.4-3ubuntu1
xblast-tnt-mini 2.10.4-3ubuntu1
xblast-tnt-models 20050106-3
xblast-tnt-musics 20050106-2
xblast-tnt-sounds 20040429-2
xboard 4.7.3-1
xboing 4.7.3-1
xbomb 2.2a-2
xbubble 0.5.11.2-3.2
xbubble-data 0.5.11.2-3.2
xchain 1.0.1-6
xcowsay 1.2-1ubuntu1
xdemineur 2.1.1-18
xdesktopwaves 1.3-4
xevil 2.02r2-10
xfireworks 1.3-9
xfishtank 2.5-1
xflip 1.01-25
xfrisk 1.2-3
xgalaga 2.1.1.0-4
xgalaga++ 0.8.4-1
xgammon 0.99.1128-3
xinv3d 1.3.6-6
xjig 2.4-14
xjokes 1.0-14
xjump 2.7.5-6.1
xletters 1.1.1-4.1
xmabacus 7.7.1-3
xmahjongg 3.7-3
xmame-tools 3.7-3
xmess-sdl 3.7-3
xmess-sdl 3.7-3
xmess-x 3.7-3
xmess-x 3.7-3
xmille 2.0-13ubuntu1
xmoto 0.5.10+dfsg-1
xmoto-data 0.5.10+dfsg-1
xmountains 2.9-3
xmpuzzles 7.7.1-1
xonix 1.4-30
xpat2 1.07-18
xpenguins 2.2-9
xphoon 20000613+0-2
xpilot-extra 4.7.2
xpilot-ng 1:4.7.3-2ubuntu2
xpilot-ng-client-sdl 1:4.7.3-2ubuntu2
xpilot-ng-client-x11 1:4.7.3-2ubuntu2
xpilot-ng-common 1:4.7.3-2ubuntu2
xpilot-ng-server 1:4.7.3-2ubuntu2
xpilot-ng-utils 1:4.7.3-2ubuntu2
xpuzzles 7.7.1-1
xqf 1.0.5-3
xracer 0.96.9.1-6
xracer-tools 0.96.9.1-6
xscavenger 1.4.4-9
xscorch 0.2.1-1ubuntu1
xscreensaver-screensaver-dizzy 0.3-2
xshisen 1:1.51-4.1
xshogi 1.4.1-2
xskat 4.0-5
xsnow 1:1.42-9
xsok 1.02-17
xsol 0.31-11
xsoldier 1:1.8-2
xsystem35 1.7.3-pre5-5
xteddy 2.2-2ubuntu1
xtron 1.1a-14
xtux 1.1a-14
xtux-client 1.1a-14
xtux-common 1.1a-14
xtux-levels 1.1a-14
xtux-server 1.1a-14
xvier 1.0-7.5
xwelltris 1.0.1-15
xword 2.0.0~rc2-1
xye 0.12.2+dfsg-2
xye-data 0.12.2+dfsg-2
xzip 1:1.8.2-3
yahtzeesharp 1.1-5
yics 0.1.2-3
zangband 1:2.7.5pre1-9.1
zangband-data 1:2.7.5pre1-9.1
zatacka 0.1.8-3
zaz 1.0.0~dfsg1-2
zaz-data 1.0.0~dfsg1-2
zec 0.12-2
zivot 20013101-3build2
