0ad-dbg 0.0.16-2~ubuntu14.04.1
libg3d-dbg 0.0.8-17ubuntu1
libgadu3-dbg 1:1.11.3-1
libgail-3-0-dbg 3.10.8-0ubuntu1.4
libgail-dbg 2.24.23-0ubuntu1.2
libgammu-dbg 1.33.0-3
libgarcon-1-0-dbg 0.3.0-1ubuntu2
libgavl1-dbg 1.4.0-1
libgbm1-dbg 10.1.3-0ubuntu0.4
libgcc1-dbg 1:4.9.1-0ubuntu1
libgcj12-dbg 1:4.9.1-0ubuntu1
libgcj13-dbg 1:4.9.1-0ubuntu1
libgcu-dbg 0.14.6-1ubuntu1
libgda-5.0-4-dbg 5.2.2-1
libgdcm2.2-dbg 2.2.4-1.1ubuntu4
libgdf0-dbg 0.1.2-2build3
libgdk-pixbuf2-ruby1.8-dbg 0.1.2-2build3
libgdk-pixbuf2-ruby1.8-dbg 0.1.2-2build3
libgdl-3-dbg 3.8.1-2ubuntu1
libgearman-dbg 1.0.6-3
libgee2-dbg 0.6.8-1ubuntu1
libgegl-0.2-0-dbg 0.2.0-4ubuntu1
libgeocode-glib-dbg 3.10.0-1ubuntu1
libgeos-dbg 3.4.2-4ubuntu1
libgetfem++-dbg 4.2.1~beta1~svn4482~dfsg-2build1
libgexiv2-1-dbg 4.2.1~beta1~svn4482~dfsg-2build1
libgfortran3-dbg 4.8.2-19ubuntu1
libgfshare-dbg 1.0.5-3
libginac2-dbg 1.6.2-1ubuntu1
libgirara-dbg 0.1.9-1
libgl1-mesa-dri-dbg 10.1.3-0ubuntu0.4
libgl1-mesa-dri-experimental-dbg 10.1.3-0ubuntu0.4
libgl1-mesa-glx-dbg 10.1.3-0ubuntu0.4
libgl1-mesa-swx11-dbg 10.1.3-0ubuntu0.4
libgl2ps0-dbg 1.3.8-1
libglademm-2.4-dbg 2.6.7-2ubuntu1
libglapi-mesa-dbg 10.1.3-0ubuntu0.4
libglee0d1-dbg 5.4.0-2
libgles1-mesa-dbg 10.1.3-0ubuntu0.4
libgles2-mesa-dbg 10.1.3-0ubuntu0.4
libglib2-ruby1.8-dbg 10.1.3-0ubuntu0.4
libglib2.0-0-dbg 2.40.2-0ubuntu1
libglib2.0-0-refdbg 2.40.2-0ubuntu1
libglibmm-2.4-dbg 2.39.93-0ubuntu1
libgloox-dbg 1.0.9-2
libglpk0-dbg 1.0.9-2
libgmime-2.6-0-dbg 2.6.20-0ubuntu1
libgmlib0-dbg 2.6.20-0ubuntu1
libgmpada-dbg 0.0.20131223-1
libgmtk0-dbg 0.0.20131223-1
libgnadecommon-dbg 1.6.2-9
libgnadeodbc-dbg 1.6.2-9
libgnadesqlite3-dbg 1.6.2-9
libgnat-4.6-dbg 4.6.4-0ubuntu5
libgnatprj4.6-dbg 4.6.4-0ubuntu5
libgnatvsn4.6-dbg 4.6.4-0ubuntu5
libgnelib0-dbg 4.6.4-0ubuntu5
libgnome-keyring0-dbg 3.8.0-2
libgnome2-dbg 2.32.1-4ubuntu1
libgnomeada-dbg 2.24.1-14
libgnomecanvas2-dbg 2.30.3-2
libgnomeui-0-dbg 2.24.5-3
libgnomevfs2-0-dbg 1:2.24.4-1ubuntu6
libgnustep-base1.22-dbg 1:2.24.4-1ubuntu6
libgnustep-gui0.20-dbg 1:2.24.4-1ubuntu6
libgo0-dbg 4.7.3-12ubuntu1
libgoffice-dbg 0.10.9-1
libgomp1-dbg 4.8.2-19ubuntu1
libgoocanvas-ruby1.8-dbg 4.8.2-19ubuntu1
libgoocanvas-ruby1.8-dbg 4.8.2-19ubuntu1
libgoogle-perftools4-dbg 2.1-2ubuntu1
libgooglepinyin0-dbg 0.1.2-1
libgpac-dbg 0.5.0+svn4288~dfsg1-4ubuntu1
libgpds-dbg 1.5.1-6ubuntu2
libgpelaunch0-dbg 1.5.1-6ubuntu2
libgpepimc0-dbg 1.5.1-6ubuntu2
libgpeschedule0-dbg 1.5.1-6ubuntu2
libgpevtype1-dbg 1.5.1-6ubuntu2
libgpewidget1-dbg 1.5.1-6ubuntu2
libgpiv3-dbg 0.6.1-4ubuntu1
libgraphite2-2.0.0-dbg 0.6.1-4ubuntu1
libgraphite3-dbg 1:2.3.1-0.2build1
libgsf-1-114-dbg 1.14.27-2ubuntu2
libgsf-gnome-1-114-dbg 1.14.27-2ubuntu2
libgsl-ruby1.8-dbg 1.14.27-2ubuntu2
libgsl-ruby1.9.1-dbg 1.14.27-2ubuntu2
libgsl0-dbg 1.16+dfsg-1ubuntu1
libgsm0710-dbg 1.2.2-2ubuntu1
libgsm0710mux-dbg 1.2.2-2ubuntu1
libgsm1-dbg 1.0.13-4
libgsnmp0-dbg 0.3.0-2
libgss-dbg 1.0.2-3ubuntu1
libgssdp-1.0-dbg 0.14.7-1ubuntu1
libgst-ruby1.8-dbg 0.14.7-1ubuntu1
libgstreamer0.10-0-dbg 0.10.36-1.2ubuntu3
libgtk-3-0-dbg 3.10.8-0ubuntu1.4
libgtk-vnc-1.0-0-dbg 0.5.3-0ubuntu2
libgtk-vnc-2.0-0-dbg 0.5.3-0ubuntu2
libgtk2-ruby1.8-dbg 0.5.3-0ubuntu2
libgtk2.0-0-dbg 2.24.23-0ubuntu1.2
libgtkada-dbg 2.24.1-14
libgtkglada-dbg 2.24.1-14
libgtkglext1-dbg 1.2.0-3.1fakesync3
libgtkhtml-4.0-dbg 4.6.6-2ubuntu1
libgtkhtml3.14-dbg 1:3.32.2-0ubuntu4
libgtkmm-2.4-dbg 1:2.24.4-1ubuntu1
libgtkmm-3.0-dbg 3.10.1-0ubuntu2
libgtksourceview2-ruby1.8-dbg 3.10.1-0ubuntu2
libgtksourceview2-ruby1.8-dbg 3.10.1-0ubuntu2
libgtksourceviewmm-3.0-dbg 3.2.0-1ubuntu1
libgts-dbg 0.7.6+darcs110121-1.1build1
libguestfs0-dbg 1:1.24.5-1
libguichan-0.8.1-1-dbg 0.8.2-13
libgupnp-1.0-dbg 0.20.10-1ubuntu1
libgupnp-av-1.0-dbg 0.12.5-1ubuntu1
libgupnp-dlna-1.0-dbg 0.12.5-1ubuntu1
libgupnp-igd-1.0-dbg 0.2.2-1
libgvnc-1.0-0-dbg 0.5.3-0ubuntu2
libgwenhywfar60-dbg 4.10.0beta-1
libh323-dbg 1.24.0~dfsg2-1ubuntu1
libhaildb-dbg 2.3.2-1.3
libhandoff0-dbg 2.3.2-1.3
libhangul1-dbg 0.1.0-3
libhawknl-dbg 1.6.8+dfsg2-1
libhdf5-7-dbg 1.8.11-5ubuntu7
libhdf5-mpich2-7-dbg 1.8.11-5ubuntu7
libhdf5-openmpi-7-dbg 1.8.11-5ubuntu7
libhdfeos5-ruby1.8-dbg 1.8.11-5ubuntu7
libhdfeos5-ruby1.9.1-dbg 1.2-1
libhiredis-dbg 0.11.0-3
libhivex0-dbg 1.3.9-2build1
libhkl-dbg 4.0.3-4ubuntu1
libhunspell-1.3-0-dbg 1.3.2-6ubuntu2
libibverbs1-dbg 1.1.7-1ubuntu1
libical-dbg 1.0-0ubuntu1
libicapapi0-dbg 1.0-0ubuntu1
libice6-dbg 2:1.0.8-2
libicu48-dbg 2:1.0.8-2
libidn2-0-dbg 0.9-1
libigstk4-dbg 4.4.0-6
libimobiledevice2-dbg 4.4.0-6
libinfinity-0.5-dbg 0.5.5-1
libinnodb-dbg 1.0.6.6750-1
libinstpatch-1.0-0-dbg 1.0.0-3
libint-dbg 1.1.5-1ubuntu1
libipathverbs1-dbg 1.2-1
libiptcdata0-dbg 1.0.4-3ubuntu3
libirrlicht1.7a-dbg 1.0.4-3ubuntu3
libisl-dbg 0.12.2-1
libisoburn-dbg 1.3.2-1ubuntu1
libisofs-dbg 1.3.4-0ubuntu1
libitm1-dbg 4.8.2-19ubuntu1
libitpp7-dbg 4.8.2-19ubuntu1
libivykis0-dbg 0.36.2-1
libjana0-dbg 0.0.0+git20091215.9ec1da8a-3build1
libjansson-dbg 2.5-2
libjavascriptcoregtk-1.0-0-dbg 2.4.8-1ubuntu1~ubuntu14.04.1
libjavascriptcoregtk-3.0-0-dbg 2.4.8-1ubuntu1~ubuntu14.04.1
libjemalloc1-dbg 3.5.1-2
libjpeg8-dbg 8c-2ubuntu8
libjson-glib-1.0-0-dbg 0.16.2-1ubuntu1
libjson0-dbg 0.16.2-1ubuntu1
libjthread-dbg 1.3.1-3
libkactivities-dbg 4:4.13.3-0ubuntu0.2
libkate1-dbg 0.4.1-1ubuntu1
libkdcraw20-dbg 0.4.1-1ubuntu1
libkdeedu-dbg 4:4.13.0-0ubuntu1
libkexiv2-dbg 4:4.13.0-0ubuntu1
libkibi-dbg 0.1.1-1
libkipi-dbg 4:4.13.0-0ubuntu1
libkms1-dbg 4:4.13.0-0ubuntu1
libksane-dbg 4:4.13.0-0ubuntu1
libktoblzcheck-dbg 1.44-1ubuntu1
libktorrent-dbg 1.3.1-3ubuntu1
libktpcommoninternalsprivate-dbg 0.8.1-0ubuntu0.1
liblastfm-dbg 1.0.8-2
libldb1-dbg 1:1.1.16-1
libldns1-dbg 1.6.17-1
liblinear-dbg 1.8+dfsg-1ubuntu1
liblockdev1-dbg 1.0.3-1.5build1
liblog4ada-dbg 1.2-3
liblog4cplus-dbg 1.0.4-1ubuntu1
liblog4tango4-dbg 1.0.4-1ubuntu1
libloki0.1.7-dbg 0.1.7-3
libloudmouth1-0-dbg 1.4.3-10
liblqr-1-0-dbg 0.4.1-2ubuntu1
liblscp-dbg 0.5.6-7ubuntu1
liblua5.1-0-dbg 5.1.5-5ubuntu0.1
liblua5.2-0-dbg 5.2.3-1
libluabind-dbg 0.9.1+dfsg-8
liblunar-1-0-dbg 2.0.1-2.2ubuntu1
liblunar-date-dbg 2.4.0-2ubuntu1
liblz-dbg 1.3-4
libm17n-0-dbg 1.6.4-2ubuntu1
libmadlib-dbg 1.3.0-2.1ubuntu1
libmarkdown2-dbg 2.1.7-1
libmatio0-dbg 2.1.7-1
libmemcached-dbg 1.0.8-1ubuntu2
libmemphis-0.2-dbg 0.2.3-2
libmercator-0.3-1-dbg 0.3.0-2
libmicrohttpd-dbg 0.9.33-1
libmigemo-dbg 1:1.2+gh0.20140306-1
libmilter1.0.1-dbg 8.14.4-4.1ubuntu1
libmimetic0-dbg 0.9.7-4
libmini18n1-dbg 0.2.1-1
libmlt-dbg 0.9.0-3
libmlx4-1-dbg 1.0.5-1ubuntu1
libmm-dbg 1.4.2-5ubuntu3
libmongo-client0-dbg 0.1.7-1
libmono-2.0-1-dbg 0.1.7-1
libmotif4-dbg 2.3.4-5
libmowgli2-dbg 1.0.0-1ubuntu1
libmozjs17d-dbg 1.0.0-1ubuntu1
libmozjs24d-dbg 1.0.0-1ubuntu1
libmpd1-dbg 0.20.0-1.1ubuntu1
libmpdclient2-dbg 2.9-1ubuntu1
libmpfr4-dbg 3.1.2-1
libmpikmeans-dbg 1.5-1build3
libmrss0-dbg 0.19.2-4
libmsn0.3-dbg 4.2.1-0ubuntu2
libmtbl0-dbg 0.5-1
libmthca1-dbg 1.0.6-1ubuntu1
libmtp-dbg 1.1.6-20-g1b9f164-1ubuntu2
libmudflap0-dbg 1.1.6-20-g1b9f164-1ubuntu2
libmupen64plus2-dbg 2.0-4
libmuroar0-dbg 0.1.12-3
libmx-1.0-2-dbg 1.4.7-0ubuntu3
libn32gcc1-dbg 1.4.7-0ubuntu3
libn32gfortran3-dbg 1.4.7-0ubuntu3
libn32go0-dbg 1.4.7-0ubuntu3
libn32gomp1-dbg 1.4.7-0ubuntu3
libn32mudflap0-dbg 1.4.7-0ubuntu3
libn32objc3-dbg 1.4.7-0ubuntu3
libn32objc4-dbg 1.4.7-0ubuntu3
libn32stdc++6-4.4-dbg 1.4.7-0ubuntu3
libn32stdc++6-4.6-dbg 1.4.7-0ubuntu3
libn32stdc++6-4.7-dbg 1.4.7-0ubuntu3
libnabrit-dbg 0.5.0-2
libnanohttp1-dbg 1.1.0-17.2
libnarray-ruby1.8-dbg 1.1.0-17.2
libnarray-ruby1.8-dbg 1.1.0-17.2
libnarray-ruby1.9.1-dbg 1.1.0-17.2
libnarray-ruby1.9.1-dbg 1.1.0-17.2
libncbi6-dbg 6.1.20120620-7
libncurses5-dbg 5.9+20140118-1ubuntu1
libncursesada-dbg 5.9.20110404-10
libncursesw5-dbg 5.9+20140118-1ubuntu1
libneon27-dbg 0.30.0-1ubuntu1
libneon27-gnutls-dbg 0.30.0-1ubuntu1
libnes1-dbg 1.1.3-1
libnet1-dbg 1.1.6+dfsg-2ubuntu1
libnet6-1.3-0-dbg 1:1.3.14-1ubuntu1
libnetcf1-dbg 1:0.2.3-4ubuntu1
libnetfilter-conntrack3-dbg 1.0.4-1
libnetfilter-cttimeout1-dbg 1.0.0-2ubuntu1
libnetfilter-log1-dbg 1.0.0-1ubuntu1
libnetfilter-queue1-dbg 1.0.2-1
libnfnetlink0-dbg 1.0.1-2
libnfo1-dbg 1.0.1-1
libnice-dbg 0.1.4-1
libnl-3-200-dbg 3.2.21-1
libnpth0-dbg 0.91-3
libnsbmp0-dbg 0.0.1-1.1
libnsgif0-dbg 0.0.1-1.1
libnspr4-dbg 2:4.10.7-0ubuntu0.14.04.1
libnss3-dbg 2:3.17.4-0ubuntu0.14.04.1
libnuma-dbg 2.0.9~rc5-1ubuntu3
libnxml0-dbg 0.18.3-6
libobby-0.4-1-dbg 0.4.8-1ubuntu1
libobjc3-dbg 4.6.4-6ubuntu2
libobjc4-dbg 4.8.2-19ubuntu1
libocas-dbg 0.93-1
libodbc-ruby1.8-dbg 0.93-1
libodbc-ruby1.8-dbg 0.93-1
libodbc-ruby1.9.1-dbg 0.93-1
libodbc-ruby1.9.1-dbg 0.93-1
libofx4-dbg 1:0.9.4-2.1ubuntu1
libogg-dbg 1.3.1-1ubuntu1
liboggplay1-dbg 0.2.1~git20091227-1.2ubuntu1
liboggz2-dbg 1.1.1-2ubuntu1
libogre-1.7.4-dbg 1.1.1-2ubuntu1
libogre-1.8.0-dbg 1.8.1+dfsg-0ubuntu3
liboil0.3-dbg 0.3.17-2ubuntu4
libomnievents-dbg 1:2.6.2-2
libomniorb4-1-dbg 4.1.6-2
libomnithread3c2-dbg 4.1.6-2
libomxil-bellagio0-components-base-dbg 0.9.3-2ubuntu1
libomxil-bellagio0-dbg 0.9.3-2ubuntu1
libonig2-dbg 5.9.1-1ubuntu1
liboobs-1-5-dbg 3.0.0-1ubuntu0.14.04.1
liboop-dbg 1.0-10
libopal-dbg 3.10.10~dfsg-2.1ubuntu3
libopencc-dbg 0.4.3-2build1
libopencore-amrnb0-dbg 0.1.3-2ubuntu1
libopencore-amrwb0-dbg 0.1.3-2ubuntu1
libopencsg1-dbg 1.3.2-2build3
libopenct1-dbg 0.6.20-1.2ubuntu1
libopenigtlink1.9-dbg 0.6.20-1.2ubuntu1
libopenjpeg2-dbg 1.3+dfsg-4.7ubuntu1
libopenmpi-dbg 1.3+dfsg-4.7ubuntu1
libopenraw1-dbg 0.0.9-3.4ubuntu1
libopenscap1-dbg 0.0.9-3.4ubuntu1
libopentoken-dbg 4.0b-4
libopenturns-dbg 1.2-2
libopenvg1-mesa-dbg 10.1.3-0ubuntu0.4
libopus-dbg 1.1-0ubuntu1
liborc-0.4-0-dbg 1:0.4.18-1ubuntu1
liboscpack-dbg 1.0.2-1
libosinfo-1.0-0-dbg 0.2.9-1
libosl1-dbg 0.6.0-3
libosmgpsmap2-dbg 0.7.3-3ubuntu1
libosptk3-dbg 3.4.2-1.1
libotf0-dbg 0.9.13-1ubuntu1
libp11-2-dbg 0.2.8-3ubuntu1
libpango1-ruby1.8-dbg 0.2.8-3ubuntu1
libpango1.0-0-dbg 1.36.3-1ubuntu1.1
libpangomm-1.4-dbg 2.34.0-1ubuntu1
libpar2-0-dbg 2.34.0-1ubuntu1
libpari-dbg 2.5.5-1
libparpack2-dbg 3.1.5-2
libparted0debian1-dbg 2.3-19ubuntu1
libpcap0.8-dbg 1.5.3-2
libpcre3-dbg 1:8.31-2ubuntu2
libpcsclite-dbg 1:8.31-2ubuntu2
libpetsc3.2-dbg 1:8.31-2ubuntu2
libpgm-dbg 5.1.118-1~dfsg-0.1ubuntu3
libphone-ui-20110825-dbg 1:0.0.1+git20110825-3build2
libphone-ui-shr-dbg 0.1+git20130901-2
libphone-utils0-dbg 0.1+git20110523-2.1
libphysfs1-dbg 2.0.3-2
libpigment-dbg 0.3.17-1ubuntu1
libpinyin-dbg 0.9.93+repack1-1ubuntu1
libpion-common-4.0-dbg 4.0.7+dfsg-3.1ubuntu2
libpion-net-4.0-dbg 4.0.7+dfsg-3.1ubuntu2
libpion-net-plugins-dbg 4.0.7+dfsg-3.1ubuntu2
libpixman-1-0-dbg 0.30.2-2ubuntu1
libplayer2-dbg 2.0.1-2.2
libplist-dbg 1.10-1
libplotmm-dbg 0.1.2-2
libpococrypto9-dbg 1.3.6p1-4
libpocodata9-dbg 1.3.6p1-4
libpocofoundation9-dbg 1.3.6p1-4
libpocomysql9-dbg 1.3.6p1-4
libpoconet9-dbg 1.3.6p1-4
libpoconetssl9-dbg 1.3.6p1-4
libpocoodbc9-dbg 1.3.6p1-4
libpocosqlite9-dbg 1.3.6p1-4
libpocoutil9-dbg 1.3.6p1-4
libpocoxml9-dbg 1.3.6p1-4
libpocozip9-dbg 1.3.6p1-4
libpolylib64-8-dbg 5.22.5-3+dfsgubuntu1
libpolyorb-dbg 2.8~20110207-5.1
libpoppler-glib-ruby1.8-dbg 2.8~20110207-5.1
libpqxx-3.1-dbg 1:3.1.1-0ubuntu4
libprelude2-dbg 1.0.0-11ubuntu4
libpresage1-dbg 0.8.8-1ubuntu3
libprison-dbg 1.0+dfsg-1
libpst4-dbg 0.6.59-1build1
libpt-dbg 2.10.10~dfsg-4
libptscotch-dbg 5.1.12b.dfsg-2build1
libpugl-dbg 0~svn32+dfsg0-1
libpulse-mainloop-glib0-dbg 1:4.0-0ubuntu11.1
libpulse0-dbg 1:4.0-0ubuntu11.1
libqca2-dbg 2.0.3-5
libqimageblitz-dbg 1:0.0.6-4build1
libqjson-dbg 0.8.1-3
libqjson0-dbg 0.8.1-3
libqof2-dbg 0.8.7-1ubuntu1
libqofexpensesobjects1-dbg 0.8.7-1ubuntu1
libqt4-dbg 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
libqt4-designer-dbg 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
libqt4-qt3support-dbg 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
libqt4-script-dbg 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
libqt4-xmlpatterns-dbg 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
libqtwebkit4-dbg 2.3.2-0ubuntu7
libquadmath0-dbg 4.8.2-19ubuntu1
libqzeitgeist-dbg 0.7.0-1build1
librabbitmq-dbg 0.4.1-1
libradare2-0.9-dbg 0.4.1-1
librapi2-dbg 0.4.1-1
libraptor1-dbg 1.4.21-10
libraptor2-0-dbg 2.0.13-1
librasqal3-dbg 0.9.32-1
librdmacm1-dbg 1.0.16-1
libreadline5-dbg 5.2+dfsg-2
libreadline6-dbg 6.3-4ubuntu2
libreoffice-dbg 1:4.2.7-0ubuntu2
librep-dbg 0.90.2-1.4ubuntu3
librest-0.7-0-dbg 0.7.90-0ubuntu1
librhash0-dbg 1.3.1-1
librostlab-blast0-dbg 1.0.1-3
librostlab3-dbg 1.0.20-3ubuntu1
librpm-dbg 4.11.1-3ubuntu0.1
librra-dbg 4.11.1-3ubuntu0.1
librsskit0-dbg 0.3-2build1
librsvg2-dbg 2.40.2-1
librsvg2-ruby1.8-dbg 2.40.2-1
librsvg2-ruby1.8-dbg 2.40.2-1
librsync-dbg 0.9.7-10
librtaudio-dbg 4.0.12~ds0-1ubuntu1
librtfcomp-dbg 1.1-5.1ubuntu1
librtfilter1-dbg 1.1-4
librtmidi-dbg 2.0.1~ds0-3ubuntu1
libruby1.9.1-dbg 1.9.3.484-2ubuntu1.2
librxtx-java-dbg 2.2pre2-11
libsane-dbg 1.0.23-3ubuntu3.1
libsane-extras-dbg 1.0.22.3ubuntu1
libscotch-dbg 5.1.12b.dfsg-2build1
libsdl1.2-dbg 1.2.15-8ubuntu1.1
libserf1-dbg 1.3.3-1ubuntu0.1
libsfml1.6-dbg 1.3.3-1ubuntu0.1
libshr-glib-dbg 2011.03.08.2~git20110930-3
libsidplayfp-dbg 1.2.2-1
libsipwitch1-dbg 1.6.1-1build2
libskk-dbg 1.0.0-1
libskstream-0.3-6-dbg 1.0.0-1
libslepc3.2-dbg 1.0.0-1
libsm6-dbg 2:1.2.1-2
libsmi2-dbg 0.4.8+dfsg2-8ubuntu2
libsmokekde4-dbg 4:4.13.0-0ubuntu1
libsmokeqt4-dbg 4:4.13.0-0ubuntu1
libsnmp15-dbg 4:4.13.0-0ubuntu1
libsocialweb-client2-dbg 0.25.20-6
libsocialweb0-dbg 0.25.20-6
libsoil1-dbg 1.07~20080707.dfsg-2
libsope1-dbg 2.1.1-1
libsoprano-dbg 2.9.4+dfsg1-0ubuntu2
libsoundgen-dbg 2.9.4+dfsg1-0ubuntu2
libsoundtouch0-dbg 1.7.1-5
libsoup2.4-dbg 2.44.2-1ubuntu2
libspectre1-dbg 0.2.7-2ubuntu1.1
libspeex-dbg 1.2~rc1.1-1ubuntu1
libspf2-2-dbg 1.2.10-3
libspiro0-dbg 20071029-8ubuntu1
libsqlheavy0.1-dbg 0.1.1-2
libsqlite3-0-dbg 3.8.2-1ubuntu2
libsrecord0-dbg 1.58-1
libss7-dbg 1.0.2-5
libssh-dbg 0.6.1-0ubuntu3.1
libssl1.0.0-dbg 1.0.1f-1ubuntu2.11
libstdc++6-4.4-dbg 4.4.7-8ubuntu1
libstdc++6-4.6-dbg 4.6.4-6ubuntu2
libstdc++6-4.7-dbg 4.7.3-12ubuntu1
libstemmer0d-dbg 0+svn546-2
libstxxl1-dbg 1.3.1-5ubuntu1
libsugarext-dbg 0.98.7-1
libsuitesparse-dbg 1:4.2.1-3ubuntu1
libsuitesparse-metis-dbg 3.1.0-2ubuntu1
libsunpinyin3-dbg 2.0.3+git20130507-1ubuntu1
libsvrcore0-dbg 1:4.0.4-15
libsword-dbg 1.6.2+dfsg-6build1
libsyfi1.0-dbg 1.0.0.dfsg-1.2
libsynce-dbg 1.0.0.dfsg-1.2
libsyncml2-dbg 0.5.4-2.1
libsynthesis-dbg 3.4.0.47.1-1
libsysactivity1-dbg 0.6.5-1
libt1-5-dbg 5.1.2-3.6ubuntu1
libtalloc2-dbg 2.1.0-1
libtango7-dbg 2.1.0-1
libtarantool1-dbg 1.5.1.218.g1a69fd6-1ubuntu1
libtarantoolnet1-dbg 1.5.1.218.g1a69fd6-1ubuntu1
libtarantoolrpl1-dbg 1.5.1.218.g1a69fd6-1ubuntu1
libtarantoolsql1-dbg 1.5.1.218.g1a69fd6-1ubuntu1
libtasn1-3-dbg 1.5.1.218.g1a69fd6-1ubuntu1
libtbb2-dbg 4.2~20130725-1.1ubuntu1
libtcmalloc-minimal4-dbg 2.1-2ubuntu1
libtdb1-dbg 1.2.12-1
libteem2-dbg 1.11.0~svn6057-1ubuntu1
libtelepathy-farstream2-dbg 0.4.0-3ubuntu2
libtelepathy-glib0-dbg 0.22.1-1ubuntu2
libtelepathy-logger-qt4-1-dbg 0.8.0-0ubuntu1
libtelepathy-logger2-dbg 0.8.0-0ubuntu1
libtelepathy-qt4-dbg 0.9.3-3ubuntu1
libtemplates-parser11.6-dbg 11.6-4
libtevent0-dbg 0.9.19-1
libtheora-dbg 1.1.1+dfsg.1-3.2
libthunar-vfs-1-2-dbg 1.1.1+dfsg.1-3.2
libtinfo5-dbg 5.9+20140118-1ubuntu1
libtinyxml2.6.2-dbg 2.6.2-2
libtododb0-dbg 2.6.2-2
libtokyocabinet-dbg 1.4.48-2
libtorrent-rasterbar-dbg 0.16.13-1ubuntu2.1
libtotem-plparser-dbg 3.10.2-0ubuntu1
libts-0.0-0-dbg 1.0-12
libtsk3-3-dbg 3.2.3-2.2
libtumbler-1-dbg 0.1.30-1ubuntu1
libtuxcap4.0-dbg 1.4.0.dfsg2-2.1build1
libucommon5-dbg 1.4.0.dfsg2-2.1build1
libupnp4-dbg 1.8.0~svn20100507-1.2
libupnp6-dbg 1:1.6.17-1.2
liburfkill-glib0-dbg 1:1.6.17-1.2
libusbmuxd1-dbg 1:1.6.17-1.2
libustr-1.0-1-dbg 1.0.4-3ubuntu2
libv8-dbg 1.0.4-3ubuntu2
libv8-i18n0.0.0-dbg 1.0.4-3ubuntu2
libva-intel-vaapi-driver-dbg 1.3.0-1ubuntu1
libva-intel-vaapi-driver-dbg 1.3.0-1ubuntu1
libvala-0.14-0-dbg 0.14.2-2ubuntu2
libvala-0.16-0-dbg 0.16.1-2ubuntu4
libvalhalla2-dbg 0.16.1-2ubuntu4
libvarconf-1.0-7-dbg 0.16.1-2ubuntu4
libvdk2-dbg 2.4.0-5.3ubuntu1
libvibrant6a-dbg 2.4.0-5.3ubuntu1
libview2-dbg 0.6.6-2.1ubuntu1
libvirt-glib-1.0-0-dbg 0.1.6-1ubuntu2
libvirt0-dbg 1.2.2-0ubuntu13.1.10
libvncserver0-dbg 0.9.9+dfsg-1ubuntu1.1
libvorbis-dbg 1.3.2-1.3ubuntu1
libvpb-dbg 4.2.57-1
libvpx1-dbg 1.3.0-2
libvte-ruby1.8-dbg 1.3.0-2
libwacom2-dbg 0.8-1
libwayland0-dbg 0.8-1
libwbxml2-0-dbg 0.10.7-1
libwebcam0-dbg 0.2.4-1
libwebkitgtk-1.0-0-dbg 2.4.8-1ubuntu1~ubuntu14.04.1
libwebkitgtk-3.0-0-dbg 2.4.8-1ubuntu1~ubuntu14.04.1
libweed-dbg 2.2.0~ds0-1
libwfmath-0.3-6-dbg 0.3.12-3ubuntu2
libwfut-0.2-1-dbg 0.2.1-2ubuntu1
libwine-dbg 0.2.1-2ubuntu1
libwt-dbg 3.3.0-1build1
libwxbase2.8-dbg 2.8.12.1+dfsg-2ubuntu2
libwxgtk2.8-dbg 2.8.12.1+dfsg-2ubuntu2
libwxsvg-dbg 2:1.2~dfsg0-1ubuntu1
libx11-6-dbg 2:1.6.2-1ubuntu2
libx11-xcb1-dbg 2:1.6.2-1ubuntu2
libx86-dbg 1.1+ds1-10
libxapian22-dbg 1.2.16-2ubuntu1
libxatracker1-dbg 1.2.16-2ubuntu1
libxau6-dbg 1:1.0.8-1
libxaw7-dbg 2:1.0.12-1
libxcb-composite0-dbg 1.10-2ubuntu1
libxcb-damage0-dbg 1.10-2ubuntu1
libxcb-dpms0-dbg 1.10-2ubuntu1
libxcb-dri2-0-dbg 1.10-2ubuntu1
libxcb-glx0-dbg 1.10-2ubuntu1
libxcb-randr0-dbg 1.10-2ubuntu1
libxcb-record0-dbg 1.10-2ubuntu1
libxcb-render0-dbg 1.10-2ubuntu1
libxcb-res0-dbg 1.10-2ubuntu1
libxcb-screensaver0-dbg 1.10-2ubuntu1
libxcb-shape0-dbg 1.10-2ubuntu1
libxcb-shm0-dbg 1.10-2ubuntu1
libxcb-sync0-dbg 1.10-2ubuntu1
libxcb-xevie0-dbg 1.10-2ubuntu1
libxcb-xf86dri0-dbg 1.10-2ubuntu1
libxcb-xfixes0-dbg 1.10-2ubuntu1
libxcb-xinerama0-dbg 1.10-2ubuntu1
libxcb-xprint0-dbg 1.10-2ubuntu1
libxcb-xtest0-dbg 1.10-2ubuntu1
libxcb-xv0-dbg 1.10-2ubuntu1
libxcb-xvmc0-dbg 1.10-2ubuntu1
libxcb1-dbg 1.10-2ubuntu1
libxcomposite1-dbg 1:0.4.4-1
libxcursor1-dbg 1:1.1.14-1
libxdamage1-dbg 1:1.1.4-1ubuntu1
libxdffileio0-dbg 0.3-1
