0ad-dbg 0.0.16-2~ubuntu14.04.1
empathy-dbg 3.8.6-0ubuntu9.1
enna-dbg 3.8.6-0ubuntu9.1
eog-dbg 3.10.2-0ubuntu5
epiphany-browser-dbg 3.10.3-0ubuntu2
espeak-dbg 1.47.11-1ubuntu1
evince-dbg 3.10.3-0ubuntu10.2
evolution-data-server-dbg 3.10.4-0ubuntu1.5
evolution-dbg 3.10.4-0ubuntu2
evolution-exchange-dbg 3.10.4-0ubuntu2
evolution-mapi-dbg 3.10.2-0ubuntu3
exactimage-dbg 0.8.9-3build1
exim4-daemon-heavy-dbg 4.82-3ubuntu2
exim4-daemon-light-dbg 4.82-3ubuntu2
exim4-dbg 4.82-3ubuntu2
exo-utils-dbg 0.10.2-3ubuntu1.14.04.2
extremetuxracer-dbg 0.4-5ubuntu1
faad2-dbg 2.7-8
falconpl-dbg 0.9.6.9-git20120606-2
fatattr-dbg 1.0.1-11
fcitx-dbg 1:4.2.8.3-3
ffindex-dbg 0.9.9.3-1
ffmpegthumbnailer-dbg 2.0.8-2
firebird2.5-classic-dbg 2.5.2.26540.ds4-9ubuntu1
firebird2.5-super-dbg 2.5.2.26540.ds4-9ubuntu1
fish-dbg 2.0.0-1
fldigi-dbg 3.21.80-1
flwm-dbg 1.02+cvs20080422-10
fontforge-dbg 20120731.b-5
fosfat-dbg 0.4.0-4
foxtrotgps-dbg 1.1.1-5
fraqtive-dbg 0.4.6-3
freecraft-dbg 0.4.6-3
freedink-dfarc-dbg 3.10-1.1
freedink-engine-dbg 1.08.20120427-2.1ubuntu1
freegish-dbg 1.53+git20101011+dfsg-2
freeglut3-dbg 2.8.1-1
freeradius-dbg 2.1.12+dfsg-1.2ubuntu8
freerdp-dbg 1.0.2-2ubuntu1
fso-datad-dbg 0.12.0-1
fso-deviced-dbg 0.12.0-1
fso-gsmd-dbg 0.12.0-1ubuntu2
fso-usaged-dbg 0.12.0-1
fuse-dbg 2.9.2-4ubuntu4
fwbuilder-dbg 5.1.0-4
g3dviewer-dbg 0.2.99.5~svn130-2
gadmin-bind-dbg 0.2.5-2
gadmin-openvpn-client-dbg 0.1.2-4
gadmin-openvpn-server-dbg 0.1.5-3.1
gadmin-proftpd-dbg 1:0.4.2-1
gadmin-rsync-dbg 0.1.7-1
gadmin-samba-dbg 0.3.2-0ubuntu1
gcompris-dbg 13.11-1
gedit-valatoys-plugin-dbg 13.11-1
geeqie-dbg 1:1.1-8
ghostscript-dbg 9.10~dfsg-0ubuntu10.2
giblib1-dbg 1.2.4-9
giflib-dbg 4.1.6-11
gigolo-dbg 0.4.2-1
gimp-dbg 2.8.10-0ubuntu1
glib-networking-dbg 2.40.0-1
globus-authz-callout-error-dbg 2.40.0-1
globus-authz-dbg 2.40.0-1
globus-callout-dbg 2.40.0-1
globus-common-dbg 14.10-2
globus-ftp-client-dbg 14.10-2
globus-ftp-control-dbg 14.10-2
globus-gass-cache-dbg 14.10-2
globus-gass-cache-program-dbg 5.2-3
globus-gass-copy-dbg 8.6-3
globus-gass-server-ez-dbg 4.3-3
globus-gass-transfer-dbg 4.3-3
globus-gatekeeper-dbg 9.15-1
globus-gfork-dbg 3.2-3
globus-gram-client-dbg 3.2-3
globus-gram-client-tools-dbg 10.4-3
globus-gram-job-manager-callout-error-dbg 10.4-3
globus-gram-job-manager-dbg 13.53-1
globus-gram-job-manager-fork-dbg 1.5-4
globus-gram-job-manager-pbs-dbg 1.6-5
globus-gram-job-manager-sge-dbg 1.7-2
globus-gram-protocol-dbg 1.7-2
globus-gridftp-server-control-dbg 1.7-2
globus-gridftp-server-dbg 6.38-1
globus-gridmap-callout-error-dbg 6.38-1
globus-gsi-callback-dbg 6.38-1
globus-gsi-cert-utils-dbg 6.38-1
globus-gsi-credential-dbg 6.38-1
globus-gsi-openssl-error-dbg 6.38-1
globus-gsi-proxy-core-dbg 6.38-1
globus-gsi-proxy-ssl-dbg 6.38-1
globus-gsi-sysconfig-dbg 6.38-1
globus-gss-assist-dbg 6.38-1
globus-gssapi-error-dbg 6.38-1
globus-gssapi-gsi-dbg 6.38-1
globus-io-dbg 6.38-1
globus-openssl-module-dbg 6.38-1
globus-proxy-utils-dbg 5.2-1
globus-rls-client-dbg 5.2-11
globus-rls-server-dbg 4.9-13
globus-rsl-dbg 4.9-13
globus-scheduler-event-generator-dbg 4.7-4
globus-usage-dbg 4.7-4
globus-xio-dbg 4.7-4
globus-xio-gsi-driver-dbg 4.7-4
globus-xio-pipe-driver-dbg 4.7-4
globus-xio-popen-driver-dbg 4.7-4
globus-xioperf-dbg 3.1-3
glusterfs-dbg 3.4.2-1ubuntu1
gmerlin-avdecoder-dbg 1.2.0~dfsg-4
gmerlin-dbg 1.2.0~dfsg+1-1ubuntu1
gmpc-dbg 11.8.16-8
gmpc-plugins-dbg 11.8.16-2
gnash-dbg 0.8.11~git20130903-3ubuntu1
gnat-gps-dbg 5.0-16
gnome-applets-dbg 3.5.92-0ubuntu3
gnome-commander-dbg 1.2.8.17-1
gnome-dbg 1:3.8+4ubuntu3
gnome-hwp-support-dbg 0.1.5-1
gnome-mplayer-dbg 1.0.8-2
gnome-panel-dbg 1:3.8.0-1ubuntu12.2
gnome-shell-dbg 3.10.4-0ubuntu5.2
gnucash-dbg 1:2.6.1-2
gnumach-dbg 1:2.6.1-2
gnumach-image-1.3.99-486-dbg 1:2.6.1-2
gnumach-image-1.3.99-xen-486-dbg 1:2.6.1-2
gnunet-dbg 0.9.3-7build1
gnunet-gtk-dbg 0.9.3-1
gnupg-pkcs11-scd-dbg 0.7.3-1
gnustep-back-dbg 0.22.0-1ubuntu1
gobby-0.4-dbg 0.4.13-2
gobby-0.5-dbg 0.4.94-6
golang-dbg 0.4.94-6
gpac-dbg 0.5.0+svn4288~dfsg1-4ubuntu1
gpicview-dbg 0.2.4-1
gprompter-dbg 0.8.8-1ubuntu3
gpsd-dbg 3.9-3
graphicsmagick-dbg 1.3.18-1ubuntu3
gridsite-dbg 2.0.4-2
grok-dbg 1.20110708.1-1ubuntu1
gsasl-dbg 1.8.0-2ubuntu2
gsoap-dbg 2.8.16-2
gstreamer0.10-ffmpeg-dbg 2.8.16-2
gstreamer0.10-gnonlin-dbg 0.10.17-2ubuntu1
gstreamer0.10-plugins-bad-dbg 0.10.23-7.2ubuntu1.1
gstreamer0.10-plugins-base-dbg 0.10.36-1.1ubuntu2
gstreamer0.10-plugins-good-dbg 0.10.31-3+nmu1ubuntu5
gstreamer0.10-plugins-ugly-dbg 0.10.19-2ubuntu5
gthumb-dbg 3:3.3.1.is.3.2.7-0ubuntu1
gtkam-dbg 0.2.0-2+fakesync
gtkaml-dbg 0.5.91-1ubuntu2
gtkpod-dbg 2.1.4-1ubuntu2
gtrayicon-dbg 1.1-1
guayadeque-dbg 0.3.5~ds0-4ubuntu1
gvfs-dbg 1.20.3-0ubuntu1
gwc-dbg 0.21.19~dfsg0-3
gwenview-dbg 4:4.13.3-0ubuntu0.1
gyoto-dbg 0.1.0-2
hdparm-dbg 9.43-1ubuntu3
heimdal-dbg 1.6~git20131207+dfsg-1ubuntu1.1
hhsuite-dbg 1.6~git20131207+dfsg-1ubuntu1.1
hplip-dbg 3.14.3-0ubuntu3.2
hylafax-client-dbg 3:6.0.6-5
hylafax-server-dbg 3:6.0.6-5
i3-wm-dbg 4.7.2-1
i965-va-driver-dbg 1.3.0-1ubuntu1
icinga-dbg 1.11.5-1~ubuntu14.04.1
ideviceinstaller-dbg 1.0.1-0.2
iftop-dbg 1.0~pre2-5
ifuse-dbg 1.1.2-0.1
imagemagick-dbg 8:6.7.7.10-6ubuntu3
indi-dbg 0.9.7-0ubuntu4
infernal-dbg 1.1~rc4-2
inspircd-dbg 2.0.5-1
ioquake3-dbg 1.36+u20140116+gdde36d9-1
ippl-dbg 1.4.14-12.1
ircd-ratbox-dbg 3.0.8.dfsg-1
irssi-plugin-xmpp-dbg 0.52+git20140102-1
isc-dhcp-client-dbg 4.2.4-7ubuntu12.1
isc-dhcp-relay-dbg 4.2.4-7ubuntu12.1
isc-dhcp-server-dbg 4.2.4-7ubuntu12.1
jovie-dbg 4:4.13.3-0ubuntu0.1
jstest-gtk-dbg 0.1.1~git20090722-2
k3b-dbg 2.0.2-7ubuntu1
kaccessible-dbg 4:4.13.0-0ubuntu1
kaffeine-dbg 1.2.2-2
kalgebra-dbg 4:4.13.3-0ubuntu0.1
kalzium-dbg 4:4.13.1-0ubuntu0.1
kamera-dbg 4:4.13.3-0ubuntu0.1
kate-dbg 4:4.13.3-0ubuntu0.1
kbruch-dbg 4:4.13.0-0ubuntu1
kde-baseapps-dbg 4:4.13.3-0ubuntu0.1
kde-config-telepathy-accounts-dbg 0.8.1-0ubuntu0.1
kde-runtime-dbg 4:4.13.3-0ubuntu0.2
kde-telepathy-approver-dbg 0.8.1-0ubuntu0.1
kde-telepathy-auth-handler-dbg 0.8.1-0ubuntu0.1
kde-telepathy-call-ui-dbg 0.8.1-0ubuntu0.1
kde-telepathy-contact-list-dbg 0.8.1-0ubuntu0.2
kde-telepathy-filetransfer-handler-dbg 0.8.1-0ubuntu0.1
kde-telepathy-integration-module-dbg 0.8.1-0ubuntu0.1
kde-telepathy-send-file-dbg 0.8.1-0ubuntu0.1
kde-telepathy-text-ui-dbg 0.8.1-0ubuntu0.1
kde-workspace-dbg 4:4.11.11-0ubuntu0.2
kdeadmin-dbg 4:4.11.11-0ubuntu0.2
kdeartwork-dbg 4:4.13.3-0ubuntu0.1
kdegames-dbg 4:4.13.3-0ubuntu0.1
kdelibs5-dbg 4:4.13.3-0ubuntu0.2
kdemultimedia-dbg 4:4.13.3-0ubuntu0.2
kdenetwork-dbg 4:4.13.3-0ubuntu0.2
kdenlive-dbg 0.9.6-5ubuntu1
kdepim-dbg 4:4.13.3-0ubuntu0.1
kdepim-runtime-dbg 4:4.13.3-0ubuntu0.1
kdepimlibs-dbg 4:4.13.3-0ubuntu0.2
kdeplasma-addons-dbg 4:4.13.3-0ubuntu0.1
kdesdk-dbg 4:4.13.3-0ubuntu0.1
kdesvn-dbg 1.6.0-2
kdetoys-dbg 1.6.0-2
kdevelop-dbg 4:4.6.0-0ubuntu3
