a2jmidid 8~dfsg0-1
faust 0.9.46-2
faustworks 0.4.0~repack0-1
fbx-playlist 20070531+dfsg.1-3
festival 1:2.1~release-6ubuntu1
festival-czech 0.3-2
festival-freebsoft-utils 0.10-3
festival-hi 0.1-9
festival-mr 0.1-9
festival-te 0.3.3-4
festlex-cmu 1.4.0-6
festlex-ifd 2.0+debian0-3
festlex-oald 1.4.0-3.1
festlex-poslex 1.4.0-5
festvox-czech-dita 1.0.0-2
festvox-czech-krb 1.0.0-2
festvox-czech-machac 1.0.0-2
festvox-czech-ph 0.1-3
festvox-don 1.4.0-4
festvox-ellpc11k 1.4.0-3
festvox-en1 1.95-1
festvox-hi-nsk 0.1-9
festvox-italp16k 2.0+debian0-3
festvox-itapc16k 2.0+debian0-3
festvox-kallpc16k 1.4.0-5
festvox-kallpc8k 1.4.0-4
festvox-kdlpc16k 1.4.0-5
festvox-kdlpc8k 1.4.0-5
festvox-mr-nsk 0.1-9
festvox-rablpc16k 1.4.0-2
festvox-rablpc8k 1.4.0-2
festvox-ru 0.5-6
festvox-suopuhe-common 1.0g-20051204-4
festvox-suopuhe-lj 1.0g-20051204-4
festvox-suopuhe-mv 20041119-2
festvox-te-nsk 0.3.3-4
festvox-us1 1.95-1
festvox-us2 1.95-1
festvox-us3 1.95-1
ffado-dbus-server 2.1.0+svn2240-1ubuntu3
ffado-mixer-qt4 2.1.0+svn2240-1ubuntu3
ffado-tools 2.1.0+svn2240-1ubuntu3
fil-plugins 0.3.0-3
fische 3.2.2-3ubuntu1
flac 1.3.0-2ubuntu0.14.04.1
flactag 2.0.4-1
flake 0.11-2
flashplugin-nonfree-extrasound 0.0.svn2431-3ubuntu1
flite 1.4-release-8
fluid-soundfont-gm 3.1-5
fluid-soundfont-gs 3.1-5
fluidsynth 1.1.6-2
fluidsynth-dssi 1.0.0-6ubuntu1
fmit 0.99.2-1
fmtools 2.0.7
foo-yc20 1.3.0-6
forked-daapd 0.19gcd-3build1
freebirth 0.3.2-9
freebirth-data 0.3.2-9
freepats 20060219-1
freeplayer 20070531+dfsg.1-3
freewheeling 0.6-2
freqtweak 0.7.2-4build1
gbemol 0.3.2-2ubuntu1
gbsplay 0.0.91-1
gcdmaster 0.0.91-1
gdigi 0.4.0-1
gespeaker 0.8.2-1
ghostess 20120105-1
gigedit 0.2.0-1
gimmix 0.5.7.1-4ubuntu2
gjacktransport 0.6.1-1
gjay 0.3.2-1
gkrellm-gkrellmpc 0.1~beta10-3
gkrellm-radio 2.0.4-1.1
gkrellm-volume 2.1.13-1
gkrellxmms2 0.7.1-3
gladish 1+dfsg0-4
gmerlin 1.2.0~dfsg+1-1ubuntu1
gmerlin-data 1.2.0~dfsg+1-1ubuntu1
gmerlin-plugins-base 1.2.0~dfsg+1-1ubuntu1
gmidimonitor 3.6+dfsg0-2
gmod 3.1-14
gmorgan 0.40-1
gmpc 11.8.16-8
gmpc-data 11.8.16-8
gmpc-dev 11.8.16-8
gmpc-plugins 11.8.16-2
gmtp 1.3.4-2
gmusicbrowser 1.1.12+ds0-1
gnac 0.2.4-1
gnomad2 2.9.6-4
gnomeradio 1.8-2ubuntu26
gnupod-tools 0.99.8-2.1
goattracker 2.72-1
gogglesmm 0.12.7-2
gom 0.30.2-6
gpe-mixer 0.30.2-6
gramofile 1.6-9
gramophone2 0.8.13a-3ubuntu1
