alice 0.19-1
libautobox-dump-perl 20090426.1746-2
libautobox-list-util-perl 20090629-2
libautobox-perl 2.82-1
libautodie-perl 2.23-1
libautodie-perl 2.23-1
libautovivification-perl 0.12-1
libb-hooks-endofscope-perl 0.13-1
libb-hooks-op-annotation-perl 0.44-1build3
libb-hooks-op-check-entersubforcv-perl 0.09-1build1
libb-hooks-op-check-perl 0.19-1build2
libb-hooks-op-ppaddr-perl 0.03-1build2
libb-hooks-parser-perl 0.12-1build1
libb-keywords-perl 1.13-1
libb-perlreq-perl 0.82-2build1
libb-utils-perl 0.21-1build1
libbarcode-code128-perl 2.21-1
libbarcode-zbar-perl 0.10+doc-9build1
libbareword-filehandles-perl 0.003-1build1
libbenchmark-apps-perl 0.04-1
libbenchmark-progressbar-perl 0.00001-1
libbenchmark-timer-perl 0.7102-1
libbencode-perl 1.4-1
libberkeleydb-perl 0.54-1
libbest-perl 0.15-1
libbiblio-citation-parser-perl 1.10+dfsg-1
libbiblio-endnotestyle-perl 0.05-1
libbiblio-isis-perl 0.24-1.1
libbind-config-parser-perl 0.01-1
libbind-confparser-perl 0.95-4
libbio-asn1-entrezgene-perl 1.700-1
libbio-chado-schema-perl 0.20000-1
libbio-das-lite-perl 2.04-1.1
libbio-graphics-perl 2.37-1
libbio-mage-perl 20030502.3-3
libbio-mage-utils-perl 20030502.0-2
libbio-perl-perl 1.6.923-1
libbio-perl-run-perl 1.6.9-2
libbio-primerdesigner-perl 0.07-3
libbio-samtools-perl 1.39-1
libbio-scf-perl 1.03-1build4
libbit-vector-minimal-perl 1.3-4
libbit-vector-perl 7.3-1build1
libbloom-filter-perl 1.0-3
libboolean-perl 0.30-1
libbot-basicbot-perl 0.89-1
libbot-training-perl 0.04-1
libboulder-perl 1.30-4
libbrowser-open-perl 0.04-1
libbsd-arc4random-perl 1.50-6
libbsd-resource-perl 1.2907-1build1
libbuffy-perl 0.15ubuntu1
libbusiness-creditcard-perl 0.32-1
libbusiness-edi-perl 0.05-1
libbusiness-isbn-data-perl 20120719.001-1
libbusiness-isbn-perl 2.07-1
libbusiness-issn-perl 0.91-2
libbusiness-onlinepayment-authorizenet-perl 3.22-2
libbusiness-onlinepayment-ippay-perl 0.08-1
libbusiness-onlinepayment-openecho-perl 0.03-3
libbusiness-onlinepayment-payconnect-perl 0.02-2
libbusiness-onlinepayment-payflowpro-perl 1.01-3
libbusiness-onlinepayment-paymentech-perl 2.05-1
libbusiness-onlinepayment-perl 3.02-2
libbusiness-onlinepayment-tclink-perl 1.03-4
libbusiness-onlinepayment-transactioncentral-perl 0.06-3
libbusiness-onlinepayment-viaklix-perl 0.02-1
libbusiness-paypal-api-perl 0.70-1
libbusiness-tax-vat-validation-perl 1.02-1
libbusiness-us-usps-webtools-perl 1.11-2
libcache-cache-perl 1.06-2
