alice 0.19-1
libdbix-class-cursor-cached-perl 1.001002-1
libdbix-class-datetime-epoch-perl 0.10-1
libdbix-class-dynamicdefault-perl 0.04-1
libdbix-class-encodedcolumn-perl 0.00012-1
libdbix-class-helpers-perl 2.019002-1
libdbix-class-htmlwidget-perl 0.16-2
libdbix-class-inflatecolumn-ip-perl 0.02003-1
libdbix-class-introspectablem2m-perl 0.001001-1
libdbix-class-perl 0.08250-2
libdbix-class-resultset-recursiveupdate-perl 0.31-1
libdbix-class-schema-loader-perl 0.07039-1
libdbix-class-timestamp-perl 0.14-1
libdbix-class-tree-nestedset-perl 0.10-1
libdbix-connector-perl 0.53-1
libdbix-contextualfetch-perl 1.03-3
libdbix-datasource-perl 0.02-4
libdbix-dbschema-perl 0.44-1
libdbix-dbstag-perl 0.12-1
libdbix-dr-perl 0.26-1
libdbix-easy-perl 0.17-1
libdbix-fulltextsearch-perl 0.73-10
libdbix-oo-perl 0.0.9-4
libdbix-password-perl 1.9-1
libdbix-profile-perl 1.0-4
libdbix-recordset-perl 0.26-2
libdbix-safe-perl 1.2.5-1
libdbix-searchbuilder-perl 1.65-1
libdbix-sequence-perl 1.5-2
libdbix-simple-perl 1.32-1
libdbix-xml-rdb-perl 0.05-12
libdbix-xmlmessage-perl 0.05-10
libdbm-deep-perl 2.0011-1
libdebian-copyright-perl 0.2-1
libdebian-dpkgcross-perl 2.6.11ubuntu1
libdebian-package-html-perl 0.1-2
libdebian-packages-compare-perl 0.1-2
libdebug-client-perl 0.29-1
libdebug-trace-perl 0.05-1
libdelimmatch-perl 1.06a-4
libdeps-perl 0.13-1.1
libdeps-renderer-dot-perl 0.13-1.1
libdeps-renderer-tulip-perl 0.13-1.1
libdesktop-notify-perl 0.03-1
libdevel-argnames-perl 0.03-1
libdevel-backtrace-perl 0.12-1
libdevel-beginlift-perl 0.001003-1build1
libdevel-bt-perl 0.001003-1build1
libdevel-caller-ignorenamespaces-perl 1.0-1
libdevel-caller-perl 2.06-1build1
libdevel-calltrace-perl 1.2-1
libdevel-checklib-perl 1.01-1
libdevel-cover-perl 1.08-1ubuntu2
libdevel-cycle-perl 1.11-2
libdevel-declare-perl 0.006015-1
libdevel-dprof-perl 20110802.00-2build1
libdevel-dprof-perl 20110802.00-2build1
libdevel-dumpvar-perl 1.06-1
libdevel-ebug-perl 0.55-1
libdevel-findref-perl 1.422-1build3
libdevel-gdb-perl 2.02-1
libdevel-globaldestruction-perl 0.12-1
libdevel-hide-perl 0.0009-1
libdevel-leak-perl 0.03-2build3
libdevel-lexalias-perl 0.05-1build1
libdevel-nytprof-perl 5.06-1
libdevel-partialdump-perl 0.17-1
libdevel-patchperl-perl 1.16-1
libdevel-pragma-perl 0.60-1
libdevel-profile-perl 1.05-2
libdevel-ptkdb-perl 1.1091-2
libdevel-refactor-perl 0.05-1
libdevel-refcount-perl 0.10-1build1
libdevel-repl-perl 1.003025-1
libdevel-simpletrace-perl 0.08-1
libdevel-size-perl 0.79-1build1
libdevel-stacktrace-ashtml-perl 0.14-1
libdevel-stacktrace-perl 1.3000-1
libdevel-stacktrace-withlexicals-perl 0.10-1
libdevel-symdump-perl 2.11-2
libdevel-trace-perl 0.12-1
libdevice-cdio-perl 0.3.0-2build1
libdevice-gsm-perl 1.60-1
libdevice-modem-perl 1.47-2.1
libdevice-serialport-perl 1.04-2build3
libdevice-usb-pcsensor-hidtemper-perl 2:0.04-1
libdevice-usb-perl 0.36-1
libdigest-bubblebabble-perl 0.02-2
libdigest-crc-perl 0.18-1build1
libdigest-hmac-perl 1.03+dfsg-1
libdigest-jhash-perl 0.06-1build3
libdigest-md2-perl 2.03+dfsg-1build3
libdigest-md4-perl 1.9+dfsg-1build1
libdigest-md5-file-perl 0.08-1
libdigest-perl 1.17-1
libdigest-perl 1.17-1
libdigest-sha-perl 5.86-1
libdigest-sha-perl 5.86-1
libdigest-whirlpool-perl 1.09-1build1
libdir-purge-perl 1.02-2
libdir-self-perl 0.11-1
libdirectory-scratch-perl 0.15-1
libdirectory-scratch-structured-perl 0.04-1
libdist-metadata-perl 0.925-1
libdist-zilla-perl 5.008-1
libdist-zilla-plugin-changelogfromgit-perl 0.015-1
libdist-zilla-plugin-git-perl 2.019-1
libdist-zilla-plugin-podspellingtests-perl 1.111520-1
libdist-zilla-plugin-podweaver-perl 4.005-1
libdist-zilla-plugin-prepender-perl 1.112280-1
libdist-zilla-plugin-run-perl 0.020-1
libdist-zilla-plugins-cjm-perl 4.20-1
libdistro-info-perl 0.12
libdns-zoneparse-perl 1.10-1
libdpkg-log-perl 1.20-2
libdpkg-perl 1.17.5ubuntu5.4
libdpm-perl 1.8.7-3
libdr-tarantool-perl 0.42-1ubuntu1
libdublincore-record-perl 0.03-2
libebook-tools-perl 0.4.9-1
libelixirfm-perl 1.1.976-2
libemail-abstract-perl 3.007-1
libemail-address-perl 1.900-1
libemail-date-format-perl 1.004-1
libemail-date-perl 1.104-1
libemail-filter-perl 1.034-1
libemail-find-perl 0.10-dfsg-3
libemail-folder-perl 0.857-1
libemail-foldertype-perl 0.813-1
libemail-localdelivery-perl 1.200-1
libemail-messageid-perl 1.402-1
libemail-mime-contenttype-perl 1.017-1
libemail-mime-createhtml-perl 1.030-2
libemail-mime-encodings-perl 1.315-1
libemail-mime-perl 1.925-1
libemail-outlook-message-perl 0.914-1
libemail-received-perl 1.00-1
libemail-send-io-perl 2.201-1
libemail-send-perl 2.198-4
libemail-sender-perl 1.300010-1
libemail-sender-transport-smtp-tls-perl 0.15-1
libemail-simple-perl 2.201-1
libemail-thread-perl 0.712-1
libemail-valid-loose-perl 0.05-3
libemail-valid-perl 1.192-1
libemboss-acd-perl 2.2.0-8
libencode-arabic-perl 1.9-1
libencode-detect-perl 1.01-2build3
libencode-eucjpms-perl 0.07-3build1
libencode-hanextra-perl 0.23-2build3
libencode-imaputf7-perl 1.05-2
libencode-jis2k-perl 0.02-1build3
libencode-locale-perl 1.03-1
libencode-perl 2.57-1
libencode-perl 2.57-1
libend-perl 2009110401-1
libenv-path-perl 0.19-1
libenv-ps1-perl 0.06-1
libenv-sanctify-perl 1.10-1
liberror-perl 0.17-1.1
libev-perl 4.15-1
libeval-closure-perl 0.11-1
libeval-context-perl 0.09.11-2
libevent-perl 1.21-1build1
libevent-rpc-perl 1.04-2
libexactimage-perl 0.8.9-3build1
libexcel-template-perl 0.34-1
libexcel-template-plus-perl 0.05-1
libexcel-writer-xlsx-perl 0.76-1
libexception-class-dbi-perl 1.00-1
libexception-class-perl 1.37-1
libexception-class-trycatch-perl 1.12-1
libexception-handler-perl 1.004-1
libexpect-perl 1.21-1
libexpect-simple-perl 0.04-2
libexporter-easy-perl 0.16-1
libexporter-lite-perl 0.02-2
libexporter-renaming-perl 1.19-1
libexporter-tidy-perl 0.07-2
libextutils-autoinstall-perl 0.63-2
libextutils-cbuilder-perl 0.280212-1
libextutils-cbuilder-perl 0.280212-1
libextutils-cchecker-perl 0.09-1
libextutils-depends-perl 0.305-1
libextutils-f77-perl 1.17-1
libextutils-libbuilder-perl 0.04-1
libextutils-parsexs-perl 3.210000-1
libextutils-parsexs-perl 3.210000-1
libextutils-pkgconfig-perl 1.15-1
libextutils-xsbuilder-perl 0.28-2
libextutils-xspp-perl 0.1800-1
libfax-hylafax-client-perl 1.02-2
libfcgi-perl 0.74-1build2
libfcgi-procmanager-perl 0.24-1
libfeed-find-perl 0.07-1
libfile-basedir-perl 0.03-1fakesync1
libfile-bom-perl 0.14-1
libfile-cache-perl 0.16-10
libfile-changenotify-perl 0.24-1
libfile-chdir-perl 0.1008-1
libfile-chmod-perl 0.40-1
libfile-copy-link-perl 0.113-1
libfile-copy-recursive-perl 0.38-1
libfile-counterfile-perl 1.04-5
libfile-countlines-perl 0.0.3-1
libfile-desktopentry-perl 0.07-1
libfile-dircompare-perl 0.7-1
libfile-fcntllock-perl 0.14-2build1
libfile-find-object-perl 0.2.8-1
libfile-find-object-rule-perl 0.0301-1
libfile-find-rule-perl 0.33-1
libfile-find-rule-perl-perl 1.13-1
libfile-find-rule-vcs-perl 1.08-1
libfile-find-wanted-perl 1.00-1
libfile-finder-perl 0.53-1
libfile-flat-perl 1.04-4
libfile-flock-perl 2013.11-1
libfile-fnmatch-perl 0.02-1build3
libfile-fu-perl 0.0.8-1
libfile-homedir-perl 1.00-1
libfile-inplace-perl 0.20-1
libfile-keepass-perl 2.03-1
libfile-libmagic-perl 1.00-1
libfile-listing-perl 6.04-1
libfile-localizenewlines-perl 1.12-1
libfile-mimeinfo-perl 0.22-1
libfile-mmagic-perl 1.30-1
libfile-mmagic-xs-perl 0.09006-5build1
libfile-modified-perl 0.07-3
libfile-ncopy-perl 0.36-1
libfile-next-perl 1.12-1
libfile-nfslock-perl 1.21-1
libfile-path-expand-perl 1.02-2
libfile-path-tiny-perl 0.7-1
libfile-pid-perl 1.01-1
libfile-policy-perl 1.005-1
libfile-pushd-perl 1.005-1
libfile-queue-perl 1.01a-1
libfile-read-perl 0.0801-3
libfile-readbackwards-perl 1.05-1
libfile-remove-perl 1.52-1
libfile-rsync-perl 0.43-1
libfile-rsyncp-perl 0.70-1ubuntu3
libfile-scan-perl 1.43-2
libfile-searchpath-perl 0.06-2
libfile-sharedir-install-perl 0.07-1
libfile-sharedir-par-perl 0.06-1
libfile-sharedir-perl 1.03-1
libfile-slurp-perl 9999.19-4
libfile-slurp-unicode-perl 0.7.1-1
libfile-spec-native-perl 1.003-1
libfile-spec-perl 3.4000-1ubuntu2
libfile-spec-perl 3.4000-1ubuntu2
libfile-sync-perl 0.11-1build1
libfile-tail-perl 0.99.3-5
libfile-touch-perl 0.08-1
libfile-type-perl 0.22-2
libfile-type-webimages-perl 1.01-1
libfile-userconfig-perl 0.06-2
libfile-util-perl 4.132140-1
libfile-which-perl 1.09-1
libfile-wildcard-perl 0.11-2
libfilehandle-fmode-perl 0.13-1build1
libfilehandle-unget-perl 0.1623-1
libfilesys-df-perl 0.92-4build2
libfilesys-diskspace-perl 0.05-16
libfilesys-notify-simple-perl 0.12-1
libfilesys-smbclient-perl 3.2-2
libfilesys-statvfs-perl 0.82-2build2
libfilter-eof-perl 0.04-2
libfilter-perl 1.49-2
libfilter-template-perl 1.043-1
libfinance-bank-ie-permanenttsb-perl 0.4-2
libfinance-qif-perl 3.02-1
libfinance-quote-perl 1.18-2
libfinance-quotehist-perl 1.20-1
libfinance-streamer-perl 1.10-2
libfinance-yahooquote-perl 0.24
libfind-lib-perl 1.04-1
libfindbin-libs-perl 1.80-1
libflickr-api-perl 1.08-1
libflickr-upload-perl 1.32-2
libfont-afm-perl 1.20-1
libfont-freetype-perl 0.03-1build4
libfont-ttf-perl 1.04-1
libforest-perl 0.10-1
libforks-perl 0.34-1build3
libformat-human-bytes-perl 0.06-1
libformvalidator-simple-perl 0.29-1
libfortune-perl 0.2-8
libfreezethaw-perl 0.5001-1
libfrontier-rpc-perl 0.07b4-6
libfuse-perl 0.16.1-1
libfusioninventory-agent-task-deploy-perl 1:2.3.5.1-1
libfusioninventory-agent-task-esx-perl 1:2.3.5.1-1
libg20-perl 0.72-5
libgd-barcode-perl 1.15-5ubuntu1
libgd-gd2-noxpm-perl 1:2.46-2.1build1
libgd-gd2-perl 1:2.46-3.1build1
libgd-graph-perl 1.44-6
libgd-graph3d-perl 0.63-8
libgd-securityimage-perl 1.72-1
libgd-svg-perl 0.33-1
libgd-text-perl 0.86-8
libgdal-perl 1.10.1+dfsg-5ubuntu1
libgearman-client-perl 1.11-3
libgedcom-perl 1.19-1
libgenders-perl 1.20-1build1
libgeo-coder-googlev3-perl 0.13-1
libgeo-coordinates-itm-perl 0.02-1
libgeo-coordinates-utm-perl 0.11-1
libgeo-distance-perl 0.20-1
libgeo-distance-xs-perl 0.11-1build1
libgeo-google-mapobject-perl 0.06-1
libgeo-googleearth-pluggable-perl 0.15-2
libgeo-helmerttransform-perl 1.14-1
libgeo-ip-perl 1.43-1
libgeo-ipfree-perl 1.132870-1
libgeo-metar-perl 1.15-1
libgeo-osm-tiles-perl 0.04-2
libgeo-point-perl 0.94-1
libgeo-postcode-perl 0.17+dfsg1-1
libgeo-proj4-perl 1.05-1
libgeography-countries-perl 2009041301-2
libgeography-nationalgrid-perl 2009041301-2
libgeometry-primitive-perl 0.22-1
libgetargs-long-perl 1.1003-3
libgetopt-argvfile-perl 1.11-1
libgetopt-declare-perl 1.14-1
libgetopt-euclid-perl 0.4.4-1
libgetopt-long-descriptive-perl 0.096-1
libgetopt-lucid-perl 1.05-1
libgetopt-mixed-perl 1.008-10
libgetopt-simple-perl 1.52-4
libgetopt-tabular-perl 0.3-1
libgetopt-usaginator-perl 0.0012-1
libgit-pure-perl 0.0012-1
libgit-repository-perl 1.310-1
libgit-wrapper-perl 0.030-1
libglib-object-introspection-perl 0.019-1ubuntu1
libglib-perl 3:1.304-1
libgnome2-canvas-perl 1.002-2build4
libgnome2-gconf-perl 1.044-4build1
libgnome2-perl 1.044-1
libgnome2-vfs-perl 1.082-1
libgnome2-wnck-perl 0.16-2build3
libgnupg-interface-perl 0.46-3
libgnupg-perl 0.19-1
libgo-perl 0.15-1
libgoo-canvas-perl 0.06-1build3
libgosa-perl 0.2-2
libgps-point-perl 0.20-1
libgraph-easy-as-svg-perl 0.23-1
libgraph-easy-perl 0.73-1
libgraph-perl 1:0.96-1.1
libgraph-readwrite-perl 2.05-1
libgraph-writer-graphviz-perl 0.11-1
libgraphics-color-perl 0.29-1
libgraphics-colornames-perl 2.11-4
libgraphics-colornames-www-perl 1.13-1
libgraphics-colorobject-perl 0.5.0-5
libgraphics-gnuplotif-perl 1.6-1
libgraphics-libplot-perl 2.2.2-5build3
libgraphics-magick-perl 1.3.18-1ubuntu3
libgraphics-primitive-driver-cairo-perl 0.44-1
libgraphics-primitive-perl 0.61-1
libgraphviz-perl 2.14-1
libgravatar-url-perl 1.06-1
libgssapi-perl 0.28-2build1
libgstreamer-interfaces-perl 0.06-2build1
libgstreamer-perl 0.19-1
libgtk2-ex-entry-pango-perl 0.09-1
libgtk2-ex-podviewer-perl 0.18-1
libgtk2-ex-printdialog-perl 0.03-3
libgtk2-ex-simple-list-perl 0.50-2
libgtk2-ex-volumebutton-perl 0.07-2
libgtk2-gladexml-perl 1.007-1build3
libgtk2-gladexml-simple-perl 0.32-2
libgtk2-imageview-perl 0.05-1build3
libgtk2-notify-perl 0.05-3build2
libgtk2-perl 2:1.249-2
libgtk2-perl-doc 2:1.249-2
libgtk2-sourceview2-perl 0.10-1build3
libgtk2-spell-perl 1.04-1build1
libgtk2-trayicon-perl 0.06-1build3
libgtk2-traymanager-perl 0.05-2build3
libgtk2-unique-perl 0.05-1build3
libgtk3-perl 0.015-2
libguard-perl 1.022-1build2
libguestfs-perl 1:1.24.5-1
libgv-perl 2.36.0-0ubuntu3.1
libhamlib2-perl 1.2.15.3-1ubuntu4
libhash-asobject-perl 0.13-2
libhash-case-perl 1.020-1
libhash-fieldhash-perl 0.14-1build1
libhash-flatten-perl 1.19-1
libhash-merge-perl 0.200-1
libhash-merge-simple-perl 0.051-1
libhash-moreutils-perl 0.05-1
libhash-multivalue-perl 0.15-1
libhash-util-fieldhash-compat-perl 0.03-2
libhash-withdefaults-perl 0.05-1
libhdate-perl 1.6-2ubuntu3
libheap-perl 0.80-2
libheimdal-kadm5-perl 0.08-4build1
libhighlight-perl 3.9-1build1
libhook-lexwrap-perl 0.24-1
libhook-wrapsub-perl 0.03-2
libhtml-auto-perl 0.04-1
libhtml-autopagerize-perl 0.02-1
libhtml-calendarmonth-perl 1.26-1
libhtml-calendarmonthsimple-perl 1.25-1
libhtml-clean-perl 0.8-11
libhtml-copy-perl 1.31-1
libhtml-defang-perl 1.04-1
libhtml-diff-perl 0.561-1
libhtml-display-perl 0.40-1
libhtml-element-extended-perl 1.18-1
libhtml-embedded-turtle-perl 0.404-1
libhtml-encoding-perl 0.61-1
libhtml-entities-numbered-perl 0.04-1
libhtml-fillinform-perl 2.20-1
libhtml-form-perl 6.03-1
libhtml-format-perl 2.11-1
libhtml-formattext-withlinks-andtables-perl 0.02-1
libhtml-formattext-withlinks-perl 0.14-1
libhtml-formfu-model-dbic-perl 1.00-1
libhtml-formfu-perl 1.00000-1
libhtml-formhandler-perl 0.40050-2
libhtml-fromtext-perl 2.07-1
libhtml-highlight-perl 0.20-6
libhtml-html5-entities-perl 0.003-2
libhtml-html5-microdata-parser-perl 0.100-1
libhtml-html5-outline-perl 0.006-1
libhtml-html5-parser-perl 0.301-1
libhtml-html5-sanity-perl 0.104-1
libhtml-html5-writer-perl 0.201-1
libhtml-linkextractor-perl 0.130-6
libhtml-lint-perl 2.20+dfsg-1
libhtml-mason-perl 1:1.52-1
libhtml-mason-psgihandler-perl 0.52-1
libhtml-microformats-perl 0.105-2
libhtml-packer-perl 1.004001-1
libhtml-parser-perl 3.71-1build1
libhtml-popuptreeselect-perl 1.6-7
libhtml-prototype-perl 1.48-4
libhtml-quoted-perl 0.03-1
libhtml-rewriteattributes-perl 0.05-1
libhtml-scrubber-perl 0.11-1
libhtml-selector-xpath-perl 0.16-1
libhtml-simpleparse-perl 0.12-2
libhtml-stream-perl 1.60-1
libhtml-strip-perl 1.06-1build3
libhtml-stripscripts-parser-perl 1.03-1
libhtml-stripscripts-perl 1.05-1
libhtml-table-perl 2.08a-3
libhtml-tableextract-perl 2.11-1
libhtml-tableparser-perl 0.38-1
libhtml-tagcloud-perl 0.38-1
libhtml-tagfilter-perl 1.03-3
libhtml-tagset-perl 3.20-2
libhtml-template-compiled-perl 1.001-1
libhtml-template-dumper-perl 0.1-1
libhtml-template-expr-perl 0.07-2
libhtml-template-perl 2.95-1
libhtml-template-pluggable-perl 0.17-1
libhtml-template-pro-perl 0.9510-1build1
libhtml-tidy-perl 1.56-1
libhtml-tiny-perl 1.05-2
libhtml-toc-perl 1.12-1
libhtml-tokeparser-simple-perl 3.16-1
libhtml-tree-perl 5.03-1
libhtml-treebuilder-libxml-perl 0.23-1
libhtml-treebuilder-xpath-perl 0.14-1
libhtml-widget-perl 1.11-4
libhtml-widgets-navmenu-perl 1.0702-1
libhtml-widgets-selectlayers-perl 0.07-2
libhtml-wikiconverter-dokuwiki-perl 0.53-2
libhtml-wikiconverter-kwiki-perl 0.51-1
libhtml-wikiconverter-markdown-perl 0.02-6
libhtml-wikiconverter-mediawiki-perl 0.59-1
libhtml-wikiconverter-moinmoin-perl 0.53-4
libhtml-wikiconverter-oddmuse-perl 0.52-1
libhtml-wikiconverter-perl 0.68-2
libhtml-wikiconverter-phpwiki-perl 0.51-2
libhtml-wikiconverter-pmwiki-perl 0.51-1
libhtml-wikiconverter-snipsnap-perl 0.50-1
libhtml-wikiconverter-tikiwiki-perl 0.50-1
libhtml-wikiconverter-usemod-perl 0.50-2
libhtml-wikiconverter-wakkawiki-perl 0.50-1
libhtml-wikiconverter-wikkawiki-perl 0.50-1
libhttp-async-perl 0.23-1
libhttp-body-perl 1.19-1
libhttp-browserdetect-perl 1.68-1
libhttp-cache-transparent-perl 1.1-1
libhttp-cookies-perl 6.00-2
libhttp-daemon-perl 6.01-1
libhttp-daemon-ssl-perl 1.04-3
libhttp-date-perl 6.02-1
libhttp-dav-perl 0.44-1
libhttp-exception-perl 0.04004-2
libhttp-link-parser-perl 0.200-1
libhttp-lite-perl 2.42-1
libhttp-lrdd-perl 0.106-2
libhttp-message-perl 6.06-1
libhttp-negotiate-perl 6.00-2
libhttp-oai-perl 3.27-1
libhttp-parser-perl 0.06-1
libhttp-parser-xs-perl 0.16-1build1
libhttp-proxy-perl 0.300-1
libhttp-recorder-perl 0.07-1
libhttp-request-ascgi-perl 1.2-2
libhttp-request-params-perl 1.01-7
libhttp-response-encoding-perl 0.05-2
libhttp-server-simple-authen-perl 0.04-1
libhttp-server-simple-mason-perl 0.14-1
libhttp-server-simple-perl 0.44-1
libhttp-server-simple-psgi-perl 0.16-2
libhttp-server-simple-recorder-perl 0.03-1
libhttp-server-simple-static-perl 0.09-1
libhttp-tiny-perl 0.039-1
libhttp-tiny-perl 0.039-1
libi18n-acceptlanguage-perl 1.04-2
libi18n-charset-perl 1.412-1
libical-parser-html-perl 1.07-1
libical-parser-perl 1.20-1
libical-parser-sax-perl 1.09-2
libicon-famfamfam-silk-perl 0.002001003-1
libidna-punycode-perl 1.100-1
libifeffit-perl 2:1.2.11d-9.1
libima-dbi-perl 0.35-1
libimage-base-bundle-perl 1.0.7-3
libimage-exif-perl 2.01-1build1
libimage-exiftool-perl 9.46-1
libimage-imlib2-perl 2.03-1build2
libimage-info-perl 1.28-1
libimage-librsvg-perl 0.07-6build2
libimage-math-constrain-perl 1.02-1
libimage-metadata-jpeg-perl 0.153-1
libimage-seek-perl 0.02-1build3
libimage-size-perl 3.232-1
libimager-perl 0.98+dfsg-2
libimager-qrcode-perl 0.033-1.2
libimap-admin-perl 1.6.7-1
libimvirt-perl 0.9.6-1
libindirect-perl 0.31-1
libinline-files-perl 0.68-1
libinline-perl 0.53-1
libinternals-perl 1.1-1build2
libintl-perl 1.23-1build1
libintl-xs-perl 1.23-1build1
libio-aio-perl 4.18-1
libio-all-lwp-perl 0.14-1
libio-all-perl 0.54-1
libio-async-loop-epoll-perl 0.16-1
libio-async-loop-glib-perl 0.21-1
libio-async-perl 0.61-1
libio-bufferedselect-perl 1.0-1
libio-capture-perl 0.05-2
libio-captureoutput-perl 1.1102-1
libio-compress-perl 2.063-1
libio-compress-perl 2.063-1
libio-digest-perl 0.11-1
libio-dirent-perl 0.05-1build1
libio-epoll-perl 0.03-1build1
libio-file-withpath-perl 0.08-1
libio-handle-util-perl 0.01-1
libio-html-perl 1.00-1
libio-interactive-perl 0.0.6-1
libio-interface-perl 1.06-1build2
libio-lcdproc-perl 0.037-1
libio-lockedfile-perl 0.23+d030220-3
libio-multiplex-perl 1.13-1
libio-prompt-perl 0.997002-1
libio-prompter-perl 0.004010-1
libio-pty-easy-perl 0.09-1
libio-pty-perl 1:1.08-1build4
libio-socket-inet6-perl 2.71-1
libio-socket-ip-perl 0.25-3
libio-socket-multicast-perl 1.12-1build3
libio-socket-multicast6-perl 0.03-2
libio-socket-socks-perl 0.62-1
libio-socket-ssl-perl 1.965-1ubuntu1
libio-string-perl 1.08-3
libio-stringy-perl 2.110-5
libio-stty-perl 0.03-1
libio-tee-perl 0.64-2
libio-tiecombine-perl 1.003-1
libipc-pubsub-perl 0.29-1
libipc-run-perl 0.92-1
libipc-run-safehandles-perl 0.02-1
libipc-run3-perl 0.046-1
libipc-shareable-perl 0.61-1
libipc-sharedcache-perl 1.3-8
libipc-sharelite-perl 0.17-3build1
libipc-signal-perl 1.00-6
libipc-system-simple-perl 1.25-2
libiptables-chainmgr-perl 1.2-1
libiptables-ipv4-ipqueue-perl 1.2-1
libiptables-parse-perl 1.1-1
libirc-formatting-html-perl 0.29-1
libirc-utils-perl 0.12-1
libjavascript-beautifier-perl 0.17-1
libjavascript-minifier-perl 1.05-1
libjavascript-minifier-xs-perl 0.09-2build1
libjavascript-packer-perl 1.006003-1
libjavascript-rpc-perl 0.10-1.1
libjcode-perl 2.13-2
libjcode-pm-perl 2.06-1
libje-perl 0.060-1
libjifty-dbi-perl 0.77-1
libjifty-perl 1.10518+dfsg-3ubuntu1
libjifty-plugin-authentication-bitcard-perl 0.053-1
libjifty-plugin-authentication-cas-perl 1.00-1
libjifty-plugin-authentication-facebook-perl 0.90000-1
libjifty-plugin-authentication-ldap-perl 1.01-1
libjifty-plugin-authzldap-perl 0.90000-1
libjifty-plugin-chart-perl 1.01+dfsg-2
libjifty-plugin-comment-perl 1.00-2
libjifty-plugin-googlemap-perl 1.00-1
libjifty-plugin-oauth-perl 0.04-2
libjifty-plugin-openid-perl 1.02-1
libjifty-plugin-sitenews-perl 0.90000-1
libjifty-plugin-userpic-perl 0.90000-1
libjifty-plugin-wikitoolbar-perl 1.00-2
libjira-client-perl 0.40-1
libjson-any-perl 1.32-1
libjson-perl 2.61-1
libjson-pp-perl 2.27203-1
libjson-pp-perl 2.27203-1
libjson-rpc-perl 1.03-2
libjson-xs-perl 2.340-1build1
libkinosearch1-perl 1.00-1build3
libkiokudb-backend-dbi-perl 1.22-1
libkiokudb-perl 0.56-1
libkwargs-perl 0.01-1
libkwiki-cache-perl 0.11-2
libkwiki-perl 0.39-2
liblasso-perl 2.4.0-2build1
liblatex-decode-perl 0.03-2
liblatex-driver-perl 0.12-1
liblatex-encode-perl 0.08-2
liblatex-table-perl 1.0.6-2
liblatex-tom-perl 1.00-1
liblayout-manager-perl 0.34-1
liblchown-perl 1.01-1build3
liblemonldap-ng-conf-perl 1.2.5-1
liblemonldap-ng-handler-perl 1.2.5-1
liblemonldap-ng-manager-perl 1.2.5-1
liblemonldap-ng-portal-perl 1.2.5-1
liblexical-persistence-perl 1.022-1
liblexical-sealrequirehints-perl 0.007-1build1
liblfc-perl 1.8.7-3
liblib-abs-perl 0.93-1
liblibrary-callnumber-lc-perl 0.22-1
liblingua-de-ascii-perl 0.11-1
liblingua-en-inflect-number-perl 1.1-5
liblingua-en-inflect-perl 1.895-1
liblingua-en-inflect-phrase-perl 0.18-1
liblingua-en-namecase-perl 1.15-1
liblingua-en-nameparse-perl 1.32-1
liblingua-en-numbers-ordinate-perl 1.02-4
liblingua-en-tagger-perl 0.24-1
liblingua-en-words2nums-perl 0.18
liblingua-es-numeros-perl 0.09-1
liblingua-ga-gramadoir-perl 0.7-2
liblingua-identify-perl 0.56-1
liblingua-ispell-perl 0.07-6
liblingua-preferred-perl 0.2.4-4
liblingua-pt-stemmer-perl 0.01-3
liblingua-stem-perl 0.84-1
liblingua-stem-snowball-da-perl 1.01-4
liblingua-stem-snowball-perl 0.952-2build3
liblingua-stopwords-perl 0.09-1
liblinux-distribution-packages-perl 0.05-2
liblinux-distribution-perl 0.21-1
liblinux-dvb-perl 1.01-2build3
liblinux-inotify2-perl 1:1.22-0.2build2
liblinux-kernelsort-perl 0.01-3
liblinux-lvm-perl 0.17-1
liblinux-usermod-perl 0.69-1
liblist-allutils-perl 0.03-1
liblist-compare-perl 0.37-2
liblist-maker-perl 0.0.5-1
liblist-moreutils-perl 0.33-1build3
liblist-utilsby-perl 0.09-1
liblivejournal-perl 1.3-5
libload-perl 0.23-1
liblocal-lib-perl 1.008023-1
liblocale-currency-format-perl 1.30-1
liblocale-gettext-perl 1.05-7build3
liblocale-hebrew-perl 1.04-1build3
liblocale-maketext-fuzzy-perl 0.11-1
liblocale-maketext-gettext-perl 1.28-1
liblocale-maketext-lexicon-perl 0.98-1
liblocale-msgfmt-perl 0.15-1
liblocale-po-perl 0.23-1
liblocale-subcountry-perl 1.62-1
liblocale-us-perl 2.112150-1
liblocales-perl 0.32-1
liblockdev1-perl 1.0.3-1.5build1
liblockfile-simple-perl 0.208-1
liblog-agent-logger-perl 0.1.1-6
liblog-agent-perl 1.000-1
liblog-agent-rotate-perl 0.104-2
liblog-any-adapter-dispatch-perl 0.06-1
liblog-any-adapter-perl 0.11-1
liblog-any-perl 0.15-1
liblog-contextual-perl 0.006000-1
liblog-dispatch-array-perl 1.002-1
liblog-dispatch-config-perl 1.04-1
liblog-dispatch-configurator-any-perl 1.122640-1
liblog-dispatch-filerotate-perl 1.19-1
liblog-dispatch-perl 2.41-1
liblog-dispatchouli-perl 2.009-1
liblog-handler-perl 0.82-1
liblog-log4perl-perl 1.41-1.1ubuntu1
liblog-loglite-perl 0.82-7
liblog-report-perl 0.998-1
liblog-trace-perl 1.070-2
liblog-tracemessages-perl 1.4-3
liblogfile-rotate-perl 1.04-4
liblogger-syslog-perl 1.1-3
liblucene-queryparser-perl 1.04-2
liblwp-authen-negotiate-perl 0.08-2
liblwp-authen-oauth-perl 1.01-1
