atfs-dev 1.4pl6-11
libdbusmenu-gtk-dev 12.10.3+14.04.20140612-0ubuntu1
libdbusmenu-gtk3-dev 12.10.3+14.04.20140612-0ubuntu1
libdbusmenu-jsonloader-dev 12.10.3+14.04.20140612-0ubuntu1
libdbusmenu-qt-dev 0.9.3+14.04.20140314-0ubuntu1
libdc-dev 0.3.24~svn3121-2
libdc1394-22-dev 2.2.1-2ubuntu2
libdca-dev 0.0.5-6ubuntu1
libdcerpc-dev 0.0.5-6ubuntu1
libdcerpc-server-dev 0.0.5-6ubuntu1
libdcmtk2-dev 3.6.0-15
libdconf-dbus-1-dev 0.20.0-1
libdconf-dev 0.20.0-1
libddccontrol-dev 0.20.0-1
libdds-dev 2.4.2+ddd105-1
libdebconf-kde-dev 0.3-1
libdebconfclient0-dev 0.187ubuntu1
libdebian-installer4-dev 0.88ubuntu5
libdebug0-dev 0.4.4-1.1
libdecodeqr-dev 0.9.3-6.2build1
libdee-dev 1.2.7+14.04.20140324-0ubuntu1
libdesktop-agnostic-dev 0.3.92+dfsg-1
libdessert0.87-dev 0.87.2-1build1
libdevhelp-dev 3.8.2-2ubuntu1
libdevil-dev 1.7.8-7ubuntu3
libdevmapper-dev 2:1.02.77-6ubuntu2
libdevstat-dev 2:1.02.77-6ubuntu2
libdhash-dev 0.3.0.1-4
libdiagnostics-dev 0.3.3-9
libdianewcanvas2-dev 0.6.10-5.4
libdieharder-dev 3.31.1-4
libdiet-admin2.8-dev 2.8.0-1build2
libdiet-client2.8-dev 2.8.0-1build2
libdiet-dagda2.8-dev 2.8.0-1build2
libdiet-sed2.8-dev 2.8.0-1build2
libdime-dev 0.20030921-4
libdirac-dev 1.0.2-6ubuntu1
libdirectfb-dev 1.2.10.0-5
libdisasm-dev 0.23-6
libdiscid0-dev 0.6.1-2
libdiscover-dev 2.1.2-5.2ubuntu1
libdispatch-dev 0~svn197-3.1ubuntu1
libdisplaymigration0-dev 0.28-10
libdistorm64-dev 1.7.30-1
libdivecomputer-dev 0.4.1-2
libdjconsole-dev 0.1.3-1ubuntu2
libdjvulibre-dev 3.5.25.4-3
libdkim-dev 1:1.0.21-3build1
libdlm-dev 4.0.1-0ubuntu1
libdlmcontrol-dev 4.0.1-0ubuntu1
libdlrestrictions-dev 0.15.12ubuntu1
libdm0-dev 2.2.10-1
libdmalloc-dev 5.5.2-5
libdmapsharing-3.0-dev 2.9.24-0ubuntu1
libdmraid-dev 1.0.0.rc16-4.2ubuntu3
libdmtcpaware-dev 1.2.5-1ubuntu2
libdmtx-dev 0.7.4-2
libdmx-dev 1:1.1.3-1
libdnet-dev 2.62
libdockapp-dev 1:0.5.0-3
libdolfin1.0-dev 1:0.5.0-3
libdoodle-dev 0.7.0-8
libdotconf-dev 1.3-0ubuntu2
libdpkg-dev 1.17.5ubuntu5.4
libdpm-dev 1.8.7-3
libdrawtk-dev 2.0-2ubuntu1
libdrizzle-dev 1:7.2.3-2ubuntu2
libdrizzledmessage-dev 1:7.2.3-2ubuntu2
libdrm-dev 2.4.56-1~ubuntu2
libdrumstick-dev 0.5.0-3
libdsdp-dev 5.8-9.1
libdshconfig1-dev 0.20.13-1ubuntu1
libdspam7-dev 3.10.2+dfsg-13
libdssialsacompat-dev 1.0.8a-1
libdumb1-dev 1:0.9.3-6
libdumbnet-dev 1.12-4build1
libdune-common-dev 2.2.1-2
libdune-geometry-dev 2.2.1-2ubuntu2
libdune-grid-dev 2.2.1-2
libdune-istl-dev 2.2.1-2
libdune-localfunctions-dev 2.2.1-2
libduo-dev 1.9.6-1
libdv4-dev 1.0.0-6
libdvb-dev 0.5.5.1-5.1
libdvbcsa-dev 1.1.0-2
libdvbpsi-dev 1.0.0-3
libdvdnav-dev 4.2.1-3
libdvdread-dev 4.2.1-2ubuntu1
libdw-dev 0.158-0ubuntu5.2
libdwarf-dev 20120410-2
libdx4-dev 1:4.4.4-7
libdxflib-dev 2.5.0.0-2
libdynamite-dev 0.1.1-2
libeb16-dev 4.4.3-7
libebackend1.2-dev 3.10.4-0ubuntu1.5
libebml-dev 1.3.0-2
libebook1.2-dev 3.10.4-0ubuntu1.5
libecal1.2-dev 3.10.4-0ubuntu1.5
libecasoundc-dev 2.9.1-3
libechonest-dev 2.1.0-2
libecm-dev 6.4.4-2
libecore-dev 1.7.7-2ubuntu1
libecpg-dev 9.3.6-0ubuntu0.14.04
libecryptfs-dev 104-0ubuntu1.14.04.3
libedac-dev 0.18-1
libedata-book1.2-dev 3.10.4-0ubuntu1.5
libedata-cal1.2-dev 3.10.4-0ubuntu1.5
libedataserver1.2-dev 3.10.4-0ubuntu1.5
libedataserverui-3.0-dev 3.10.4-0ubuntu1.5
libedbus-dev 1.7.7-1ubuntu1
libedit-dev 3.1-20130712-2
libeditline-dev 1.12-6
libedje-dev 1.7.7-3ubuntu1
libee-dev 0.4.1-1ubuntu1
libeegdev-dev 0.2-3.1
libeet-dev 1.7.9-1
libefreet-dev 1.7.7-2ubuntu1
libegl1-mesa-dev 10.1.3-0ubuntu0.4
libeigen2-dev 2.0.17-1ubuntu1
libeigen3-dev 3.2.0-8
libeina-dev 1.7.10-1
libelektra-cpp-dev 0.7.1-1
libelektra-dev 0.7.1-1
libelektratools-dev 0.7.1-1
libelemental-dev 1.2.0-9ubuntu1
libelementary-dev 1.7.7-3ubuntu1
libelf-dev 0.158-0ubuntu5.2
libelfg0-dev 0.8.13-5
libelk0-dev 3.99.8-2.1ubuntu2
libelmer-dev 6.1.0.svn.5396.dfsg2-4ubuntu1
libembryo-dev 1.7.7-2
libemos-dev 000392+dfsg.1-2
libenca-dev 1.15-2
libenchant-dev 1.6.0-10ubuntu1
libenet-dev 1.3.11+ds-1
libepc-dev 0.4.4-1ubuntu1
libepc-ui-dev 0.4.4-1ubuntu1
libepr-api2-dev 2.2-2
libepsilon-dev 0.9.2-2
libept-dev 1.0.12
libepub-dev 0.2.2-2ubuntu1
liberis-1.3-dev 1.3.19-5ubuntu2
libescpr-dev 1.3.19-5ubuntu2
libesd0-dev 0.2.41-11
libesmtp-dev 1.0.6-1ubuntu2
libespeak-dev 1.47.11-1ubuntu1
libestools2.1-dev 1:2.1~release-6
libestr-dev 0.1.9-0ubuntu2
libethos-dev 0.1.9-0ubuntu2
libethos-ui-dev 0.1.9-0ubuntu2
libetpan-dev 1.0-5ubuntu3
libetsf-io-dev 1.0.3-4build1
libeurodec1-dev 20061220+dfsg3-3
libev-dev 1:4.15-3
libev-libevent-dev 1:4.15-3
libeval0-dev 0.29.6-2ubuntu1
libevas-dev 1.7.9-2
libevd-0.1-dev 0.1.28-1
libevent-dev 2.0.21-stable-1ubuntu1.14.04.1
libeventdb-dev 2.0.21-stable-1ubuntu1.14.04.1
libevince-dev 3.10.3-0ubuntu10.2
libevocosm-dev 4.0.2-3
libevs-dev 4.0.2-3
libevtlog-dev 0.2.12-6
libewf-dev 20130416-3
libexchangemapi-1.0-dev 3.10.2-0ubuntu3
libexempi-dev 2.2.1-1ubuntu1
libexif-dev 0.6.21-1ubuntu1
libexif-gtk-dev 0.3.5-5
libexiv2-dev 0.23-1ubuntu2
libexo-1-dev 0.10.2-3ubuntu1.14.04.2
libexodusii-dev 6.02.dfsg.1-2
libexosip2-dev 4.0.0-4ubuntu1
libexpat1-dev 2.1.0-4ubuntu1
libexplain-dev 0.52.D002-1
libextractor-dev 1:1.3-1
libextractor-java-dev 0.6.0-6
libexttextcat-dev 3.4.3-1ubuntu1
libeztrace-dev 0.9.1-5
libf2c2-dev 20090411-2
libfaad-dev 2.7-8
libfaifa-dev 0.2~svn82-1build1
libfakekey-dev 0.1-8.1
libfam-dev 2.7.0-17.1
libfam-dev 2.7.0-17.1
libfann-dev 2.1.0~beta~dfsg-8ubuntu1
libfarstream-0.1-dev 0.1.2-1ubuntu3
libfastjet-dev 3.0.6+dfsg-1
libfastjet-fortran-dev 3.0.6+dfsg-1
libfastjetplugins-dev 3.0.6+dfsg-1
libfastjettools-dev 3.0.6+dfsg-1
libfauhdli-dev 20130704-1
libfcgi-dev 2.4.0-8.1ubuntu5
libfdt-dev 1.4.0+dfsg-1
libfence-dev 1.4.0+dfsg-1
libffado-dev 2.1.0+svn2240-1ubuntu3
libffcall1-dev 1.10+cvs20100619-3
libffi-dev 3.1~rc1+r3.0.13-12
libffindex0-dev 0.9.9.3-1
libffmpegthumbnailer-dev 2.0.8-2
libffms2-dev 2.19-2
libfftw3-dev 3.3.3-7ubuntu3
libfftw3-mpi-dev 3.3.3-2ubuntu2
libfiredns-dev 0.9.12+dfsg-3
libfirestring-dev 0.9.12-8ubuntu1
libfishsound1-dev 1.0.0-1.1ubuntu2
libfiu-dev 0.92-1build2
libfixposix-dev 20110706.gitcf6e954-0ubuntu1
libfko0-dev 20110706.gitcf6e954-0ubuntu1
libflac++-dev 1.3.0-2ubuntu0.14.04.1
libflac-dev 1.3.0-2ubuntu0.14.04.1
libflann-dev 1.8.4-3
libflatzebra-dev 0.1.6-2
libflorist2011-dev 2011-1
libflowcanvas-dev 0.7.1+dfsg0-0.2ubuntu2
libfltk1.1-dev 1.1.10-17
libfltk1.3-compat-headers 1.3.2-4
libfltk1.3-dev 1.3.2-4
libfluidsynth-dev 1.1.6-2
libfm-dev 1.2.0-1ubuntu2
libfolia1-dev 1.2.0-1ubuntu2
libfolks-dev 0.9.5-1ubuntu5
libfolks-eds-dev 0.9.5-1ubuntu5
libfolks-telepathy-dev 0.9.5-1ubuntu5
libfontconfig1-dev 2.11.0-0ubuntu4.1
libfontenc-dev 1:1.1.2-1
libfontforge-dev 20120731.b-5
libforms-dev 1.0.93sp1-2ubuntu3
libformsgl-dev 1.0.93sp1-2ubuntu3
libfox-1.6-dev 1.6.49-2ubuntu1
libfprint-dev 1:0.5.1-1
libfreecell-solver-dev 3.20.0-1ubuntu1
libfreefem++-dev 3.26-2-3
libfreefem-dev 3.5.8-5ubuntu1
libfreehdl0-dev 0.0.7-1.2ubuntu1
libfreeimage-dev 3.15.4-3
libfreeipmi-dev 1.1.5-3ubuntu3.2
libfreenect-demos 1:0.2.0+dfsg-2
libfreenect-dev 1:0.2.0+dfsg-2
libfreeradius-dev 2.1.12+dfsg-1.2ubuntu8
libfreerdp-dev 1.0.2-2ubuntu1
libfreetype6-dev 2.5.2-1ubuntu2.4
libfreexl-dev 1.0.0g-1ubuntu0.14.04.1
libfribidi-dev 0.19.6-1
libfs-dev 2:1.0.5-1
libfso-glib-dev 2012.07.27.2-2
libfsobasics-dev 2012.07.27.2-2
libfsoframework-dev 0.12.0-4
libfsoresource-dev 0.12.0-4
libfsosystem-dev 0.12.0-4
libfsotransport-dev 0.12.0-4
libfsplib-dev 0.11-2
libfstrcmp-dev 0.6.D001-1ubuntu2
libftdi-dev 0.20-1ubuntu1
libftdipp-dev 0.20-1ubuntu1
libftgl-dev 2.1.3~rc5-4+nmu1
libfuntools-dev 1.4.4-6
libfuse-dev 2.9.2-4ubuntu4
libfxt-dev 0.2.14-3ubuntu1
libg15-dev 1.2.7-2ubuntu1
libg15daemon-client-dev 1.9.5.3-8.2ubuntu3
libg15render-dev 1.3.0~svn316-2.3
libg2-dev 0.72-5
libg3d-dev 0.0.8-17ubuntu1
libga-dev 2.4.7-3
libgadap-dev 2.0-2
libgadu-dev 1:1.11.3-1
libgail-3-dev 3.10.8-0ubuntu1.4
libgail-dev 2.24.23-0ubuntu1.2
libgambc4-dev 4.2.8-1.1
libgamin-dev 0.1.10-4.1ubuntu1
libgammu-dev 1.33.0-3
libganglia1-dev 3.6.0-1ubuntu2
libganv-dev 0~svn5021~dfsg0-2ubuntu2
libgarcon-1-0-dev 0.3.0-1ubuntu2
libgarmin-dev 0~svn320-4
libgatos-dev 0.0.5-19ubuntu1
libgavl-dev 1.4.0-1
libgbm-dev 10.1.3-0ubuntu0.4
libgc-dev 1:7.2d-5ubuntu2
libgcal-dev 0.9.6-3.1
libgccxml-dev 0.9.0+git20130511-1ubuntu2
libgcgi-dev 0.9.0+git20130511-1ubuntu2
libgcj12-dev 0.9.0+git20130511-1ubuntu2
libgcj13-dev 0.9.0+git20130511-1ubuntu2
libgck-1-dev 3.10.1-1
libgconf-bridge-dev 0.1-2.2ubuntu1
libgconf2-dev 3.2.6-0ubuntu2
libgconfmm-2.6-dev 2.28.3-0ubuntu2
libgcr-3-dev 3.10.1-1
libgcroots-dev 0.8.5-4ubuntu2
libgcrypt11-dbg 1.5.3-2ubuntu4.2
libgcrypt11-dev 1.5.3-2ubuntu4.2
libgctp-dev 1.0-1
libgd2-noxpm-dev 2.1.0-3
libgd2-xpm-dev 2.1.0-3
libgda-5.0-dev 5.2.2-1
libgdal-dev 1.10.1+dfsg-5ubuntu1
libgdal1-dev 1.10.1+dfsg-5ubuntu1
libgdata-dev 0.14.1-1
libgdb-dev 0.14.1-1
libgdbm-dev 1.8.3-12build1
libgdchart-gd2-noxpm-dev 0.11.5-7.1ubuntu1
libgdchart-gd2-xpm-dev 0.11.5-7.1ubuntu1
libgdcm2-dev 2.2.4-1.1ubuntu4
libgdf-dev 0.1.2-2build3
libgdict-1.0-dev 3.10.0-1ubuntu1
libgdk-pixbuf2.0-dev 2.30.7-0ubuntu1
libgdkcutter-pixbuf-dev 1.1.7-1.2ubuntu3
libgdl-3-dev 3.8.1-2ubuntu1
libgdome2-cpp-smart-dev 0.2.6-6ubuntu1
libgdome2-dev 0.8.1+debian-6
libgdu-dev 0.8.1+debian-6
libgdu-gtk-dev 0.8.1+debian-6
libgeant321-2-dev 1:3.21.14.dfsg-11
libgearman-dev 1.0.6-3
libgecode-dev 4.2.1-1
libgeda-dev 1:1.8.2-4
libgee-dev 0.6.8-1ubuntu1
libgegl-dev 0.2.0-4ubuntu1
libgeier-dev 0.2.0-4ubuntu1
libgenders0-dev 1.20-1build1
libgenome-1.3-0-dev 1.20-1build1
libgensec-dev 1.20-1build1
libgeoclue-dev 0.12.99-3ubuntu1
libgeocode-glib-dev 3.10.0-1ubuntu1
libgeographiclib-dev 1.21-1ubuntu1
libgeoip-dev 1.6.0-1
libgeom-dev 1.6.0-1
libgeomview-dev 1.9.4-4.1
libgeos++-dev 3.4.2-4ubuntu1
libgeos-dev 3.4.2-4ubuntu1
libgeotiff-dev 1.4.0-1ubuntu2
libgeotranz3-dev 3.3-1
libges-0.10-dev 0.10.1-2
libgetdata-dev 0.7.3-6ubuntu1
libgetfem++-dev 4.2.1~beta1~svn4482~dfsg-2build1
libgetopt++-dev 0.0.2-p22-3ubuntu1
libgexiv2-dev 0.10.0-1ubuntu2
libgfarm-dev 2.4.1-1.1ubuntu1
libgflags-dev 2.0-1.1ubuntu1
libgfshare-dev 1.0.5-3
libghc6-ifelse-dev 1.0.5-3
libghc6-ifelse-prof 1.0.5-3
libghemical-dev 3.0.0-2ubuntu1
libgif-dev 4.1.6-11
libgiftiio-dev 1.0.9-1
libgig-dev 3.3.0-2
libgii1-dev 3.3.0-2
libgimp2.0-dev 2.8.10-0ubuntu1
libginac-dev 1.6.2-1ubuntu1
libgirara-dev 0.1.9-1
libgirepository1.0-dev 1.40.0-1ubuntu0.2
libgjs-dev 1.40.1-0ubuntu0.3
libgksu2-dev 2.0.13~pre1-6ubuntu4
libgl1-mesa-dev 10.1.3-0ubuntu0.4
libgl1-mesa-swx11-dev 10.1.3-0ubuntu0.4
libgl2ps-dev 1.3.8-1
libglade2-dev 1:2.6.4-2
libglademm-2.4-dev 2.6.7-2ubuntu1
libgladeui-1-dev 3.8.0-0ubuntu6.1
libgladeui-dev 3.16.1-0ubuntu2
libglbsp-dev 2.24-2
libglc-dev 0.7.2-5ubuntu3
libgle3-dev 3.1.0-7ubuntu2
libgles1-mesa-dev 10.1.3-0ubuntu0.4
libgles2-mesa-dev 10.1.3-0ubuntu0.4
libglew-dev 1.10.0-3
libglewmx-dev 1.10.0-3
libglfw-dev 2.7.2-1
libglib2.0-dev 2.40.2-0ubuntu1
libglibmm-2.4-dev 2.39.93-0ubuntu1
libglide2-dev 2002.04.10ds1-9
libglide3-dev 2002.04.10ds1-9
libglm-dev 0.9.5.1-1
libglobus-authz-callout-error-dev 2.2-3
libglobus-authz-dev 2.2-3
libglobus-callout-dev 2.4-2
libglobus-common-dev 14.10-2
libglobus-ftp-client-dev 7.6-1
libglobus-ftp-control-dev 4.7-1
libglobus-gass-cache-dev 8.1-4
libglobus-gass-copy-dev 8.6-3
libglobus-gass-server-ez-dev 4.3-3
libglobus-gass-transfer-dev 7.2-4
libglobus-gfork-dev 3.2-3
libglobus-gram-client-dev 12.4-3
libglobus-gram-job-manager-callout-error-dev 2.1-4
libglobus-gram-protocol-dev 11.3-5
libglobus-gridftp-server-control-dev 2.10-1
libglobus-gridftp-server-dev 6.38-1
libglobus-gridmap-callout-error-dev 1.2-4
libglobus-gsi-callback-dev 4.6-1
libglobus-gsi-cert-utils-dev 8.6-2
libglobus-gsi-credential-dev 6.0-2
libglobus-gsi-openssl-error-dev 2.1-5
libglobus-gsi-proxy-core-dev 6.2-4
libglobus-gsi-proxy-ssl-dev 4.1-5
libglobus-gsi-sysconfig-dev 5.3-3
libglobus-gss-assist-dev 9.0-1
libglobus-gssapi-error-dev 4.1-5
libglobus-gssapi-gsi-dev 10.10-1
libglobus-io-dev 9.5-1
libglobus-openssl-module-dev 3.3-2
libglobus-rls-client-dev 5.2-11
libglobus-rsl-dev 9.1-4
libglobus-scheduler-event-generator-dev 4.7-4
libglobus-usage-dev 3.1-4
libglobus-xio-dev 3.6-2
libglobus-xio-gsi-driver-dev 2.4-1
libglobus-xio-pipe-driver-dev 2.2-3
libglobus-xio-popen-driver-dev 2.3-3
libgloox-dev 1.0.9-2
libglrr-glib-dev 1.0.9-2
libglrr-gobject-dev 1.0.9-2
libglrr-gtk-dev 1.0.9-2
libglrr-widgets-dev 1.0.9-2
libglu1-mesa-dev 9.0.0-2
libglui-dev 9.0.0-2
libglw1-mesa-dev 8.0.0-1.1
libgme-dev 0.5.5-2
libgmerlin-avdec-dev 1.2.0~dfsg-4
libgmerlin-dev 1.2.0~dfsg+1-1ubuntu1
libgmime-2.6-dev 2.6.20-0ubuntu1
libgmlib-dev 1.0.8-3
libgmm++-dev 4.2.1~beta1~svn4482~dfsg-2build1
libgmp-dev 2:5.1.3+dfsg-1ubuntu1
libgmp3-dev 2:5.1.3+dfsg-1ubuntu1
libgmpada3-dev 2:5.1.3+dfsg-1ubuntu1
libgmt-dev 4.5.11-1build1
libgmtk-dev 1.0.8-3
libgnadecommon2-dev 1.6.2-9
libgnadeodbc2-dev 1.6.2-9
libgnadesqlite3-2-dev 1.6.2-9
libgnatprj4.6-dev 4.6.4-0ubuntu5
libgnatvsn4.6-dev 4.6.4-0ubuntu5
libgnelib-dev 4.6.4-0ubuntu5
libgnet-dev 2.0.8-2.2ubuntu1
libgnokii-dev 0.6.31+dfsg-2ubuntu1
libgnome-bluetooth-dev 3.8.2.1-0ubuntu4.2
libgnome-desktop-3-dev 3.8.4-0ubuntu3.1
libgnome-desktop-dev 1:2.32.1-2ubuntu1
libgnome-keyring-dev 3.8.0-2
libgnome-mag-dev 3.8.0-2
libgnome-media-profiles-dev 3.0.0-1ubuntu2
libgnome-menu-3-dev 3.10.1-0ubuntu2
libgnome-menu-dev 3.0.1-0ubuntu9
libgnome-vfsmm-2.6-dev 3.0.1-0ubuntu9
libgnome2-dev 2.32.1-4ubuntu1
libgnomeada2.24.1-dev 2.24.1-14
libgnomecanvas2-dev 2.30.3-2
libgnomecanvasmm-2.6-dev 2.26.0-1ubuntu1
libgnomecups1.0-dev 2.26.0-1ubuntu1
libgnomekbd-dev 3.6.0-0ubuntu2
libgnomemm-2.6-dev 3.6.0-0ubuntu2
libgnomeprint2.2-dev 3.6.0-0ubuntu2
libgnomeprintui2.2-dev 3.6.0-0ubuntu2
libgnomeui-dev 2.24.5-3
libgnomeuimm-2.6-dev 2.24.5-3
libgnomevfs2-dev 1:2.24.4-1ubuntu6
libgnuift0-dev 0.1.14-12.1
libgnustep-base-dev 1.24.0-1ubuntu3
libgnustep-dl2-dev 0.12.0-10
libgnustep-gui-dev 0.22.0-1ubuntu2
libgnutls-dev 2.12.23-12ubuntu2.2
libgoa-1.0-dev 3.10.3-0ubuntu1
libgoffice-0.8-dev 0.8.17-3
libgofigure-dev 0.9.0-3
libgoocanvas-dev 0.15-1.1ubuntu1
libgoocanvasmm-dev 0.15.4-1build1
libgoogle-perftools-dev 2.1-2ubuntu1
libgooglepinyin0-dev 0.1.2-1
libgpac-dev 0.5.0+svn4288~dfsg1-4ubuntu1
libgpds-dev 1.5.1-6ubuntu2
libgpelaunch-dev 1.5.1-6ubuntu2
libgpepimc-dev 1.5.1-6ubuntu2
libgpeschedule-dev 1.5.1-6ubuntu2
libgpevtype-dev 1.5.1-6ubuntu2
libgpewidget-dev 1.5.1-6ubuntu2
libgpg-error-dev 1.12-0.2ubuntu1
libgpgme11-dev 1.4.3-0.1ubuntu5.1
libgphoto2-2-dev 2.5.3.1-1ubuntu2.2
libgpiv3-dev 0.6.1-4ubuntu1
libgpm-dev 1.20.4-6.1
libgpod-dev 0.8.3-4ubuntu3
libgpod-nogtk-dev 0.8.3-4ubuntu3
libgportugol-dev 1.1-2ubuntu1
libgps-dev 3.9-3
libgraflib1-dev 20061220+dfsg3-4
libgrafx11-1-dev 20061220+dfsg3-4
libgrantlee-dev 0.4.0-0ubuntu1
libgraphicsmagick++1-dev 1.3.18-1ubuntu3
libgraphicsmagick1-dev 1.3.18-1ubuntu3
libgraphite-dev 1:2.3.1-0.2build1
libgraphite2-dev 1.2.4-1ubuntu1
libgraphviz-dev 2.36.0-0ubuntu3.1
libgretl1-dev 1.9.14-2
libgrib-api-dev 1.10.4-3ubuntu1
libgrib2c-dev 1.4.0-2
libgridsite-dev 2.0.4-2
libgrilo-0.1-dev 2.0.4-2
libgringotts-dev 1:1.2.1-15
libgrits-dev 0.8.1-1
libgrok-dev 1.20110708.1-1ubuntu1
libgrok-dev 1.20110708.1-1ubuntu1
libgrss-dev 0.5.0-2ubuntu1
libgs-dev 9.10~dfsg-0ubuntu10.2
libgsasl7-dev 1.8.0-2ubuntu2
libgsecuredelete-dev 0.2.1-1
libgsf-1-dev 1.14.27-2ubuntu2
libgsf-gnome-1-dev 1.14.27-2ubuntu2
libgsl0-dev 1.16+dfsg-1ubuntu1
libgsm0710-dev 1.2.2-2ubuntu1
libgsm0710mux-dev 1.2.2-2ubuntu1
libgsm1-dev 1.0.13-4
libgsmme-dev 1.10+20120414.gita5e5ae9a-0.1
libgsql-dev 0.2.2-1.2ubuntu1
libgss-dev 1.0.2-3ubuntu1
libgssdp-1.0-dev 0.14.7-1ubuntu1
libgssglue-dev 0.4-2ubuntu1
libgst-dev 3.2.4-2
libgstbuzztard-dev 0.6.0-1ubuntu1
libgstreamer-plugins-bad0.10-dev 0.10.23-7.2ubuntu1.1
libgstreamer-plugins-base0.10-dev 0.10.36-1.1ubuntu2
libgstreamer0.10-dev 0.10.36-1.2ubuntu3
libgstrtspserver-0.10-dev 0.10.8-3
libgtest-dev 1.6.0-1ubuntu6
libgtextutils-dev 0.7-1
libgtg-dev 0.2+dfsg-1build1
libgtk-3-dev 3.10.8-0ubuntu1.4
libgtk-vnc-1.0-dev 0.5.3-0ubuntu2
libgtk-vnc-2.0-dev 0.5.3-0ubuntu2
libgtk2.0-dev 2.24.23-0ubuntu1.2
libgtkada2.24.1-dev 2.24.1-14
libgtkdatabox-0.9.1-1-dev 2.24.1-14
libgtkgl2.0-dev 2.0.1-2ubuntu3
libgtkglada2.24.1-dev 2.24.1-14
libgtkglext1-dev 1.2.0-3.1fakesync3
libgtkglextmm-x11-1.2-dev 1.2.0-6ubuntu1
libgtkhex-3-dev 3.8.1-1ubuntu2
libgtkhotkey-dev 0.2.1-5ubuntu1
libgtkhtml-4.0-dev 4.6.6-2ubuntu1
libgtkhtml-editor-3.14-dev 4.6.6-2ubuntu1
libgtkhtml-editor-4.0-dev 4.6.6-2ubuntu1
libgtkhtml3.14-dev 1:3.32.2-0ubuntu4
libgtkimageview-dev 1.6.4+dfsg-0.1ubuntu2
libgtkmathview-dev 0.8.0-9ubuntu1
libgtkmm-2.4-dev 1:2.24.4-1ubuntu1
libgtkmm-3.0-dev 3.10.1-0ubuntu2
libgtkpod-dev 2.1.4-1ubuntu2
libgtksourceview-3.0-dev 3.10.2-0ubuntu1
libgtksourceview2.0-dev 2.10.5-1ubuntu2
libgtksourceviewmm-3.0-dev 3.2.0-1ubuntu1
libgtkspell-3-dev 3.2.0-1ubuntu1
libgtkspell-dev 2.0.16-1ubuntu7
libgtop2-dev 2.28.5-2
libgts-dev 0.7.6+darcs110121-1.1build1
libguac-dev 0.8.3-1
libgucharmap-2-90-dev 1:3.10.1-0ubuntu2
libgudev-1.0-dev 1:204-5ubuntu20.11
libguess-dev 1.1-4
libguestfs-dev 1:1.24.5-1
libguestfs-gobject-dev 1:1.24.5-1
libguichan-dev 0.8.2-13
libgupnp-1.0-dev 0.20.10-1ubuntu1
libgupnp-av-1.0-dev 0.12.5-1ubuntu1
libgupnp-dlna-1.0-dev 0.12.5-1ubuntu1
libgupnp-igd-1.0-dev 0.2.2-1
libgusb-dev 0.1.6-5
libgutenprint-dev 5.2.10~pre2-0ubuntu2
libgutenprintui2-dev 5.2.10~pre2-0ubuntu2
libguytools2-dev 2.0.1-1.1
libgvnc-1.0-dev 0.5.3-0ubuntu2
libgweather-3-dev 3.10.2-0ubuntu2
libgwenhywfar60-dev 4.10.0beta-1
libgwrap-runtime-dev 1.9.14-2ubuntu1
libgwyddion20-dev 2.34-3ubuntu1
libgxps-dev 0.2.2-2ubuntu2
libgyoto0-dev 0.2.2-2ubuntu2
libh323plus-dev 1.24.0~dfsg2-1ubuntu1
libhaildb-dev 2.3.2-1.3
libhal-dev 2.3.2-1.3
libhal-storage-dev 2.3.2-1.3
libhamlib++-dev 1.2.15.3-1ubuntu4
libhamlib-dev 1.2.15.3-1ubuntu4
libhandoff-dev 1.2.15.3-1ubuntu4
libhangul-dev 0.1.0-3
libharminv-dev 1.3.1-10
libhashkit-dev 1.0.8-1ubuntu2
libhawknl-dev 1.6.8+dfsg2-1
libhbaapi-dev 2.2.9-1
libhbalinux-dev 1.0.16-1
libhd-dev 1.0.16-1
libhdate-dev 1.6-2ubuntu3
libhdf4-alt-dev 4.2r10-0ubuntu1
libhdf4-dev 4.2r10-0ubuntu1
libhdf4g-dev 4.2r10-0ubuntu1
libhdf5-dev 1.8.11-5ubuntu7
libhdf5-dev 1.8.11-5ubuntu7
libhdf5-mpi-dev 1.8.11-5ubuntu7
libhdf5-mpich2-dev 1.8.11-5ubuntu7
libhdf5-openmpi-dev 1.8.11-5ubuntu7
libhdf5-serial-dev 1.8.11-5ubuntu7
libhdf5-serial-dev 1.8.11-5ubuntu7
libhdfeos-dev 2.17v1.00.dfsg.1-5
libhdhomerun-dev 20140121-1
libhe5-hdfeos-dev 5.1.14+dfsg.1-1ubuntu1
libheartbeat2-dev 1:3.0.5-3.2
libhepmc-dev 2.06.09-1
libhepmcfio-dev 2.06.09-1
libhepmcinterface8-dev 8.1.80-1
libherwig59-2-dev 20061220+dfsg3-3
libhesiod-dev 3.2.1-2
libhfsp-dev 1.0.4-12.1
libhighgui-dev 2.4.8+dfsg1-2ubuntu1
libhippocanvas-dev 0.3.1-1.1ubuntu1
libhiredis-dev 0.11.0-3
libhivex-dev 1.3.9-2build1
libhkl-dev 4.0.3-4ubuntu1
libhmsbeagle-dev 2.1-2
libhocr-dev 0.10.17-2
libhpdf-dev 2.2.1-1ubuntu2
libhpmud-dev 3.14.3-0ubuntu3.2
libhsclient-dev 1.1.0-7-g1044a28-1.1build1
libhtmlcxx-dev 0.85-3
