atfs-dev 1.4pl6-11
libaal-dev 1.0.5-6
libabiword-2.9-dev 1.0.5-6
libaccountsservice-dev 0.6.35-0ubuntu7.1
libace-dev 6.0.3+dfsg-0.2
libace-flreactor-dev 6.0.3+dfsg-0.2
libace-foxreactor-dev 6.0.3+dfsg-0.2
libace-htbp-dev 6.0.3+dfsg-0.2
libace-inet-dev 6.0.3+dfsg-0.2
libace-inet-ssl-dev 6.0.3+dfsg-0.2
libace-qtreactor-dev 6.0.3+dfsg-0.2
libace-rmcast-dev 6.0.3+dfsg-0.2
libace-ssl-dev 6.0.3+dfsg-0.2
libace-tkreactor-dev 6.0.3+dfsg-0.2
libace-tmcast-dev 6.0.3+dfsg-0.2
libace-xtreactor-dev 6.0.3+dfsg-0.2
libacexml-dev 6.0.3+dfsg-0.2
libacl1-dev 2.2.52-1
libacpi-dev 0.2-4ubuntu1
libacr38ucontrol-dev 1.7.11-1
libadasockets4-dev 1.8.10-2
libaddresses-dev 0.4.7-1ubuntu4
libaddressview-dev 0.4.7-1ubuntu4
libadios-dev 1.5.0-1ubuntu7
libadminutil-dev 1.1.20-0ubuntu1
libadns1-dev 1.4-2ubuntu1
libadolc-dev 2.4.1-1
libadplug-dev 2.2.1+dfsg3-0.1ubuntu1
libafflib-dev 3.6.6-1.1
libafrodite-0.12-dev 3.6.6-1.1
libafterimage-dev 2.2.12-2
libagg-dev 2.5+dfsg1-9
libahven3-dev 2.1-4
libaiksaurus-1.2-dev 1.2.1+dev-0.12-6.1ubuntu2
libaiksaurusgtk-1.2-dev 1.2.1+dev-0.12-6.1ubuntu2
libaio-dev 0.3.109-4
libakonadi-dev 1.12.1-0ubuntu1.1
libalberta2-dev 2.0.1-6
libaldmb1-dev 1:0.9.3-6
libalglib-dev 3.8.2-1
libalias-dev 3.8.2-1
libalkimia-dev 4.3.2-1.1
liballeggl4-dev 2:4.4.2-4
liballegro4.2-dev 2:4.4.2-4
libalog0.4.1-base-dev 0.4.1-2
libalog0.4.1-full-dev 0.4.1-2
libalsaplayer-dev 0.99.80-5.1ubuntu1
libalure-dev 1.2-6
libalut-dev 1.1.0-3ubuntu1
libamu-dev 6.2+rc20110530-3.2ubuntu1
libanalitza-dev 4:4.13.0-0ubuntu1
libanet0.1-dev 0.1-3
libanjuta-dev 2:3.10.2-0ubuntu2
libann-dev 1.1.2+doc-4.1
libanthy-dev 9100h-23ubuntu2
libantlr-dev 2.7.7+dfsg-5
libantlr3c-dev 3.2-2ubuntu1
libao-dev 1.1.0-2ubuntu2
libaosd-dev 0.2.7-1
libapache2-mod-perl2-dev 2.0.8+httpd24-r1449661-6ubuntu2
libapertium3-3.1-0-dev 3.1.0-2
libapm-dev 3.2.2-14build1
libapol-dev 3.3.8-3ubuntu1
libapparmor-dev 2.8.95~2430-0ubuntu5.1
libappindicator-dev 12.10.1+13.10.20130920-0ubuntu4.1
libappindicator3-dev 12.10.1+13.10.20130920-0ubuntu4.1
libapq-postgresql3.2.0-dev 3.2.0-2
libapq3.2.0-dev 3.2.0-1
libapr-memcache-dev 0.7.0-3
libapr1-dev 1.5.0-1
libapreq2-dev 2.13-3ubuntu2
libapron-dev 0.9.10-6
libaprutil1-dev 1.5.3-1
libapt-pkg-dev 1.0.1ubuntu2.6
libaqbanking34-dev 5.3.5beta-2
libaqsis-dev 1.8.1-4build1
libarchive-dev 3.1.2-7ubuntu2.1
libargtable2-dev 12-1ubuntu1
libarmadillo-dev 1:4.200.0+dfsg-1
libarpack++2-dev 2.3-2ubuntu1
libarpack2-dev 3.1.5-2
libart-2.0-dev 2.3.21-2
libasio-dev 1.10.1-1
libasis2010-dev 2010-6
libasm-dev 0.158-0ubuntu5.2
libasound2-dev 1.0.27.2-3ubuntu7
libasound2-dev 1.0.27.2-3ubuntu7
libaspell-dev 0.60.7~20110707-1ubuntu1
libass-dev 0.10.1-3ubuntu1
libassa3.5-5-dev 3.5.1-3ubuntu1
libassimp-dev 3.0~dfsg-2
libassuan-dev 2.1.1-1ubuntu1
libast2-dev 0.7-6ubuntu1
libasyncns-dev 0.8-4ubuntu2
libatasmart-dev 0.19-3
libatk-bridge2.0-dev 2.10.2-2ubuntu1
libatk1.0-dev 2.10.0-2ubuntu2
libatkmm-1.6-dev 2.22.7-2ubuntu1
libatlas-base-dev 3.10.1-4
libatlas-cpp-0.6-dev 0.6.2-3
libatlas-dev 3.10.1-4
libatm1-dev 1:2.5.1-1.5
libatomic-ops-dev 7.4-0ubuntu3
libatomicparsley-dev 2.1.4-1ubuntu2
libatspi-dev 2.1.4-1ubuntu2
libatspi2.0-dev 2.10.2.is.2.10.1-0ubuntu1
libattica-dev 0.4.2-1
libattr1-dev 1:2.4.47-1ubuntu1
libaubio-dev 0.4.0-1
libaudio-dev 1.9.4-1
libaudiofile-dev 0.3.6-2
libaudiomask-dev 1.0-2ubuntu1
libaudit-dev 1:2.3.2-2ubuntu1
libaugeas-dev 1.2.0-0ubuntu1.1
libaunit2-dev 1.03-8
libautotrace-dev 0.31.1-16build2
libautounit-dev 0.20.1-4
libavahi-client-dev 0.6.31-4ubuntu1
libavahi-common-dev 0.6.31-4ubuntu1
libavahi-compat-libdnssd-dev 0.6.31-4ubuntu1
libavahi-core-dev 0.6.31-4ubuntu1
libavahi-glib-dev 0.6.31-4ubuntu1
libavahi-gobject-dev 0.6.31-4ubuntu1
libavahi-qt4-dev 0.6.31-4ubuntu1
libavahi-ui-dev 0.6.31-4ubuntu1
libavahi-ui-gtk3-dev 0.6.31-4ubuntu1
libavbin-dev 7-1.4build1
libavc1394-dev 0.5.4-2
libavcodec-dev 6:9.18-0ubuntu0.14.04.1
libavdevice-dev 6:9.18-0ubuntu0.14.04.1
libavfilter-dev 6:9.18-0ubuntu0.14.04.1
libavformat-dev 6:9.18-0ubuntu0.14.04.1
libavifile-0.7-dev 1:0.7.48~20090503.ds-14build1
libavl-dev 0.3.5-3
libavogadro-dev 1.1.1-0ubuntu2
libavutil-dev 6:9.18-0ubuntu0.14.04.1
libaws2.10.2-dev 2.10.2-4
libax25-dev 0.0.12-rc2+cvs20120204-2ubuntu2
libbabl-dev 0.1.10-1ubuntu2
libball1.4-dev 0.1.10-1ubuntu2
libballview1.4-dev 0.1.10-1ubuntu2
libbam-dev 0.1.19-1
libbamf-dev 0.1.19-1
libbamf3-dev 0.5.1+14.04.20140409-0ubuntu1
libbarry-dev 0.18.5-1
libbdd-dev 2.4-9ubuntu1
libbeecrypt-dev 4.2.1-4
libbfb0-dev 0.23-1.2ubuntu3
libbg1-dev 1.106-1
libbibutils-dev 4.12-5
libbind-dev 1:9.9.5.dfsg-3ubuntu0.2
libbind4-dev 6.0-1ubuntu3
libbinio-dev 1.4+dfsg1-3ubuntu1
libbio2jack0-dev 0.9-2.1
libbiococoa-dev 2.2.2-2
libbiosig-dev 1.3.0-2build2
libbisho-common-dev 0.27.2+git20111122.9e68ef3d-2
libbison-dev 2:3.0.2.dfsg-2
libbitmask-dev 2.0-2
libbitstream-dev 1.0-1
libblacs-mpi-dev 1.1-31.1ubuntu1
libblas-dev 1.2.20110419-7
libblimps3-dev 3.9-1
libbliss-dev 0.72-5
libblitz0-dev 1:0.10-1ubuntu1
libblkid-dev 2.20.1-5.1ubuntu20.4
libblocksruntime-dev 0.1-1
libbluedevil-dev 2.0~rc1really1.9.4-0ubuntu1
libbluetooth-dev 4.101-0ubuntu13.1
libbluray-dev 1:0.5.0-1
libbml-dev 0.6.1-1ubuntu1
libbobcat-dev 3.19.01-1ubuntu1
libbogl-dev 0.1.18-9ubuntu1
libbognor-regis-dev 0.6.12+git20101007.02c25268-8
libbonobo2-dev 2.32.1-0ubuntu5
libbonoboui2-dev 2.24.5-0ubuntu3
libboost-all-dev 1.54.0.1ubuntu1
libboost-chrono-dev 1.54.0.1ubuntu1
libboost-chrono1.49-dev 1.54.0.1ubuntu1
libboost-date-time-dev 1.54.0.1ubuntu1
libboost-date-time1.49-dev 1.54.0.1ubuntu1
libboost-dev 1.54.0.1ubuntu1
libboost-filesystem-dev 1.54.0.1ubuntu1
libboost-filesystem1.49-dev 1.54.0.1ubuntu1
