aglfn 1.7-3
fonts-play 1.002+20111215.1+ds2-1
fonts-prociono 2.3-3
fonts-quattrocento 1.1-2
fonts-rufscript 010-5
fonts-sahadeva 1.0-3
fonts-samyak 1.2.2-4
fonts-samyak-deva 1.2.2-4
fonts-samyak-gujr 1.2.2-4
fonts-samyak-mlym 1.2.2-4
fonts-samyak-orya 1.2.2-4
fonts-samyak-taml 1.2.2-4
fonts-sawarabi-gothic 20131115-1
fonts-sawarabi-mincho 20140115-1
fonts-senamirmir-washra 4.1-6
fonts-sil-abyssinica 1.200-6
fonts-sil-andika 1.002-4
fonts-sil-charis 4.114-1
fonts-sil-dai-banna 2.1-6
fonts-sil-doulos 4.106-5
fonts-sil-ezra 2.51-8
fonts-sil-galatia 2.1-5
fonts-sil-gentium 20081126:1.02-13
fonts-sil-gentium-basic 1.1-7
fonts-sil-nuosusil 2.1.1-7
fonts-sil-padauk 2.80-2
fonts-sil-scheherazade 1.001-8
fonts-sil-sophia-nubian 1.000-5
fonts-sil-zaghawa-beria 1.000-2
fonts-sipa-arundina 0.2.0-7
fonts-smc 6.0-1
fonts-stix 1.1.0-1
fonts-takao 003.02.01-9ubuntu2
fonts-takao-gothic 003.02.01-9ubuntu2
fonts-takao-mincho 003.02.01-9ubuntu2
fonts-taml 003.02.01-9ubuntu2
fonts-taml-tamu 1.0-2
fonts-taml-tscu 1.0-2
fonts-telu 1.0-2
fonts-telu-extra 2.0-3
fonts-thai-tlwg 1:0.5.1-3
fonts-tibetan-machine 1.901b-5
fonts-tlwg-garuda 1:0.5.1-3
fonts-tlwg-kinnari 1:0.5.1-3
fonts-tlwg-loma 1:0.5.1-3
fonts-tlwg-mono 1:0.5.1-3
fonts-tlwg-norasi 1:0.5.1-3
fonts-tlwg-purisa 1:0.5.1-3
fonts-tlwg-sawasdee 1:0.5.1-3
fonts-tlwg-typewriter 1:0.5.1-3
fonts-tlwg-typist 1:0.5.1-3
fonts-tlwg-typo 1:0.5.1-3
fonts-tlwg-umpush 1:0.5.1-3
fonts-tlwg-waree 1:0.5.1-3
fonts-tomsontalks 1.1-4
fonts-tuffy 20120614-1
fonts-ubuntu-title 1:0.3-2
fonts-ukij-uyghur 20110217-3
fonts-umeplus 20131109-1
fonts-unfonts-core 1.0.3.is.1.0.2-080608-10ubuntu1
fonts-unfonts-extra 1.0.3.is.1.0.2-080608-4ubuntu2
fonts-unikurdweb 1.0-4
fonts-uralic 0.0.20040829-4
fonts-vlgothic 20130607-1ubuntu1
fonts-vollkorn 2.1-1
fonts-yanone-kaffeesatz 0.20100525-5
fonts-yozvox-yozfont 13.09-dfsg-5
