3depict 0.0.15-3
gff2ps 0.98d-4
ghkl 4.0.3-4ubuntu1
ginkgocadx 3.6.0.1228.33+dfsg-1
glam2 1064-3
gliese 3.0.95-2
gmap 2012-06-12-1ubuntu1
gmt 4.5.11-1build1
gofigure2 0.9.0-3
gperiodic 2.0.10-7
gpiv 0.6.1-2.1
gpiv-mpi 0.6.1-2.1
gpivtools 0.6.0-3build1
gpivtools-mpi 0.6.0-3build1
gpx2shp 0.71.0-1
grass 6.4.3-3
grass-core 6.4.3-3
grass-gui 6.4.3-3
gri 2.12.23-7
grinder 0.5.3-3
gromacs 4.6.5-1build1
gromacs-data 4.6.5-1build1
gromacs-mpich 4.6.5-1build1
gromacs-openmpi 4.6.5-1build1
gvb 1.2.1-1.1
gwyddion 2.34-3ubuntu1
gwyddion-common 2.34-3ubuntu1
gwyddion-plugins 2.34-3ubuntu1
gyoto 0.1.0-2
h5utils 1.12.1-2
harminv 1.3.1-10
hdf5-helpers 1.8.11-5ubuntu7
hdf5-tools 1.8.11-5ubuntu7
hhsuite 1.8.11-5ubuntu7
hhsuite-data 1.8.11-5ubuntu7
hmmer 3.1b1-3
hodie 1.5-1
horae 071~svn536-1
hpcc 1.4.1-2build1
ifeffit 2:1.2.11d-9.1
ifrit 3.4.2-1
igv 2.3.14+dfsg-2
imagej 1.48k+dfsg-1
imagevis3d 3.0.0-3build1
indigo-utils 1.1.11-2
infernal 1.1~rc4-2
itksnap 2.2.0-1.1
jalview 2.7.dfsg-3
jblas 1.2.3-3
jellyfish 1.2.3-3
jemboss 6.6.0-1
jmol 12.2.32+dfsg2-1
kalign 1:2.03+20110620-2
kalzium 4:4.13.1-0ubuntu0.1
kalzium-data 4:4.13.1-0ubuntu0.1
klustakwik 2.0.1-1
kst 2.0.3-1.3
kst-data 2.0.3-1.3
kstars 4:4.13.3-0ubuntu0.1
kstars-data 4:4.13.3-0ubuntu0.1
kstars-data-extra-tycho2 1.1r1-9
kxterm 20061220+dfsg3-4
lammps 0~20131119.git7162cf0-1build1
last-align 393-1
lbt 1.2.2-5
lhapdf-pdfsets-minimal 5.9.1-3build1
libball1.4-data 5.9.1-3build1
libclassad3 5.9.1-3build1
libgeotiff-epsg 1.4.0-1
libghemical-data 3.0.0-2ubuntu1
liblas-bin 1.7.0+dfsg-4
liblinear-tools 1.8+dfsg-1ubuntu1
libocas-tools 0.93-1
libsilo-bin 4.8-13build1
libxy-bin 1.3-1
liggghts 2.3.8-1build1
logcentral 2.7-1
logcentral-tools 2.7-1
loki 2.4.7.4-5
looptools 2.8-1
lutefisk 1.0.7+dfsg-1
mafft 7.123-1
maq 0.7.1-5
maqview 0.2.5-6
massxpert 3.4.1-1
massxpert-data 3.4.1-1
matlab-gdf 0.1.2-2build3
maude 2.6-4
mayavi2 4.1.0-1
mbt 3.2.10-4
mbtserver 0.7-3
meep 1.1.1-9ubuntu1
meep-lam4 1.1.1-10
meep-mpi-default 1.1.1-10ubuntu1
meep-mpich2 1.1.1-10build1
meep-openmpi 1.1.1-10
melting 4.3.1+dfsg-1
melting-gui 4.3.1+dfsg-1
merkaartor 0.18.1-3build2
mgltools-bhtree 1.5.7~rc1~cvs.20130519-1
mgltools-cadd 1.5.7~rc1~cvs.20130519-2
mgltools-dejavu 1.5.7~rc1~cvs.20130519-1
mgltools-geomutils 1.5.7~rc1~cvs.20130519-1
mgltools-mglutil 1.5.7~rc1~cvs.20130519-1
mgltools-molkit 1.5.7~rc1~cvs.20130519-1
mgltools-networkeditor 1.5.7~rc1~cvs.20130519-1
mgltools-opengltk 1.5.7~rc1~cvs.20130519-1
mgltools-pmv 1.5.7~rc1~cvs.20130519-2
mgltools-pmv-test 1.5.7~rc1~cvs.20130519-2
mgltools-pyautodock 1.5.7~rc1~cvs.20130519-1
mgltools-pybabel 1.5.7~rc1~cvs.20130519-1
mgltools-pyglf 1.5.7~rc1~cvs.20130519-1
mgltools-scenario2 1.5.7~rc1~cvs.20130519-1
mgltools-sff 1.5.7~rc1~cvs.20130519-2
mgltools-support 1.5.7~rc1~cvs.20130519-1
mgltools-symserv 1.5.7~rc1~cvs.20130519-1
mgltools-utpackages 1.5.7~rc1~cvs.20130519-1
mgltools-viewerframework 1.5.7~rc1~cvs.20130519-1
mgltools-vision 1.5.7~rc1~cvs.20130519-1
mgltools-visionlibraries 1.5.7~rc1~cvs.20130519-1
mgltools-volume 1.5.7~rc1~cvs.20130519-1
mgltools-webservices 1.5.7~rc1~cvs.20130519-1
minc-tools 2.2.00-3
minisat 1:2.2.1-4
minisat+ 1.0-2
minisat2 1:2.2.1-4
minisat2 1:2.2.1-4
mipe 1.1-4
mira-assembler 4.0-1
mira-examples 4.0-1
mitools 1.8.5-2ubuntu1
mlv-smile 1.47-3
mmass 5.5.0-2
mmass-modules 5.5.0-2
mobyle 1.5.1+dfsg-1
mobyle-programs 5.1.1-1
mobyle-utils 1.5.1+dfsg-1
mona 1.4-13-3ubuntu1
montecarlo-base 20061220+dfsg3-3
montecarlo-data 20061220+dfsg3-3
mopac7-bin 1.15-6ubuntu1
morse-simulator 1.2-1ubuntu1
morse-simulator-data 1.2-1ubuntu1
mothur 1.31.2+dfsg-2build1
mozilla-biofox 1.31.2+dfsg-2build1
mpb 1.4.2-18build1
mpb-mpi 1.4.2-18build1
mpqc 2.3.1-16build1
mpqc-openmpi 2.3.1-16build1
mpqc-support 2.3.1-16build1
mrbayes 3.2.2+dfsg-1
mrbayes-mpi 3.2.2+dfsg-1
mriconvert 1:2.0.7-1
mricron 0.20120505.1~dfsg.1-1
mricron-data 0.20120505.1~dfsg.1-1
mrtrix 0.2.11-1
mssstest 3.0-3
mummer 3.23~dfsg-2
muscle 1:3.8.31-1
music-bin 1.0.7-1.2build1
mustang 3.2.1-3
mustang-testdata 3.2.1-3
ncbi-blast+ 2.2.28-2
ncbi-blast+-legacy 2.2.28-2
ncbi-epcr 2.3.12-1-1
ncbi-rrna-data 6.1.20120620-7
ncbi-tools-bin 6.1.20120620-7
ncbi-tools-x11 6.1.20120620-7
nco 4.4.2-1
ncoils 2002-4
ncview 1.93g-1build2
necpp 1.5.0+cvs20101003-2.2ubuntu1
neobio 0.0.20030929-1.1
netcdf-bin 1:4.1.3-7ubuntu2
nexus-tools 4.3.2-svn1919-1
njplot 2.4-2build1
numdiff 5.8.1-1
nwchem 6.3+r1-1build1
nwchem-data 6.3+r1-1build1
oar-admin 2.5.2-4.1
oar-api 2.5.2-4.1
oar-common 2.5.2-4.1
oar-node 2.5.2-4.1
