afnix 2.2.0-2ubuntu1
liblua5.1-lpeg2 1.3-1
liblua5.1-markdown0 1.3-1
liblua5.1-markdown0 1.3-1
liblua5.1-md5-0 1.3-1
liblua5.1-md5-0 1.3-1
liblua5.1-oocairo0 1.3-1
liblua5.1-oopango0 1.3-1
liblua5.1-posix-dev 1.3-1
liblua5.1-posix-dev 1.3-1
liblua5.1-posix1 1.3-1
liblua5.1-posix1 1.3-1
liblua5.1-rex-onig0 1.3-1
liblua5.1-rex-onig0 1.3-1
liblua5.1-rex-pcre0 1.3-1
liblua5.1-rex-pcre0 1.3-1
liblua5.1-rex-posix0 1.3-1
liblua5.1-rex-posix0 1.3-1
liblua5.1-rings-dev 1.3-1
liblua5.1-rings-dev 1.3-1
liblua5.1-rings0 1.3-1
liblua5.1-rings0 1.3-1
liblua5.1-rrd0 1.3-1
liblua5.1-sec1 1.3-1
liblua5.1-sec1 1.3-1
liblua5.1-soap-dev 1.3-1
liblua5.1-soap-dev 1.3-1
liblua5.1-soap0 1.3-1
liblua5.1-soap0 1.3-1
liblua5.1-sql-mysql-2 1.3-1
liblua5.1-sql-mysql-2 1.3-1
liblua5.1-sql-postgres-2 1.3-1
liblua5.1-sql-postgres-2 1.3-1
liblua5.1-sql-sqlite3-2 1.3-1
liblua5.1-sql-sqlite3-2 1.3-1
liblua5.1-sql-sqlite3-dev 1.3-1
liblua5.1-sql-sqlite3-dev 1.3-1
liblua5.1-svn-dev 1.3-1
liblua5.1-svn-dev 1.3-1
liblua5.1-svn1 1.3-1
liblua5.1-svn1 1.3-1
liblua5.1-wsapi-fcgi-1 1.3-1
liblua5.1-wsapi-fcgi-1 1.3-1
liblua5.1-wsapi1 1.3-1
liblua5.1-wsapi1 1.3-1
liblua5.1-xmlrpc-dev 1.3-1
liblua5.1-xmlrpc-dev 1.3-1
liblua5.1-xmlrpc0 1.3-1
liblua5.1-xmlrpc0 1.3-1
liblua5.1-zip-dev 1.3-1
liblua5.1-zip-dev 1.3-1
liblua5.1-zip0 1.3-1
liblua5.1-zip0 1.3-1
libncurses-gst 3.2.4-2
libow-tcl 2.8p15-1ubuntu4
libpostgresql-gst 3.2.4-2
libredcloth-ruby 3.2.4-2
libredcloth-ruby 3.2.4-2
libredcloth-ruby1.8 3.2.4-2
libredcloth-ruby1.8 3.2.4-2
libsdl-gst 3.2.4-2
libsdl-image-gst 3.2.4-2
libsdl-mixer-gst 3.2.4-2
libsdl-sound-gst 3.2.4-2
libsdl-ttf-gst 3.2.4-2
libsqlite-tcl 2.8.17-10ubuntu2
libsqlite3-gst 3.2.4-2
libsqlite3-tcl 3.8.2-1ubuntu2
libtcl-chiark-1 1.1.1+nmu1
libtcltk-ruby1.8 1.1.1+nmu1
lua-apr 0.23.2.dfsg-2
lua-bitop 1.0.2-2
lua-cgi 5.2~alpha2-1
