python-carquinyol-0.88 0.88.0-4
python-carquinyol-0.96 0.96.0-1
python-carrot 0.10.7-1ubuntu1
python-catwalk 2.0.2-5
python-cclib 1.1-1
python-cddb 1.4-5.1ubuntu2
python-celery 3.1.6-1ubuntu1
python-central 3.1.6-1ubuntu1
python-cerealizer 0.8.1-1
python-cfflib 2.0.5-1build1
python-chaco 4.1.0-1ubuntu3
python-chameleon 2.6.1-2
python-chardet 2.0.1-2build2
python-chemfp 1.1p1-2
python-cherrypy 2.3.0-3build1
python-cherrypy3 3.2.2-4ubuntu5
python-chm 0.8.4-1build2
python-cinfony 1.2-1
python-circuits 2.1.0-2
python-cjson 1.0.5-4build1
python-ckanclient 0.9-1
python-cl 0.0.3-1
python-clearsilver 0.10.5-1.3build1
python-cliapp 1.20130808-1
python-clientform 1:0.2.5-3
python-clientform 1:0.2.5-3
python-clint 0.3.2-1
python-cloudfiles 1.7.11-2build1
python-cloudservers 1.7.11-2build1
python-cluster 1.1.1b3-1
python-cmd2 0.6.7-2fakesync1build1
python-cmor 2.8.0-4ubuntu1
python-cobe 2.1.0-1
python-cogent 1.5.3-2
python-coherence 0.6.6.2-8
python-colorama 0.2.5-0.1ubuntu2
python-comedilib 0.10.1-1ubuntu2
python-commando 0.3.4-1.1
python-concurrent.futures 2.1.6-3
python-configglue 1.1.2-0ubuntu2
python-configobj 4.7.2+ds-5build1
python-configshell 1.2-1ubuntu1
python-constraint 1.2-1ubuntu1
python-constraint 1.2-1ubuntu1
python-contract 1.4-3
python-couchdb 0.8-0ubuntu2
python-couchdbkit 0.6.5-1
python-coverage 3.7.1+dfsg.1-1ubuntu2
python-coverage-test-runner 1.8-1
python-cpl 0.6.2-2
python-cqmf2 0.16-7ubuntu5
python-cqpid 0.16-7ubuntu5
python-cracklib 2.9.1-1build1
python-creoleparser 0.7.4-1
python-crypto 2.6.1-4build1
python-csa 0.1.0-1.1
python-csound 1:6.02~dfsg-1
python-csoundac 1:6.02~dfsg-1
python-cssselect 0.9.1-1
python-cssutils 0.9.10-1
python-ctypeslib 0.0.0+svn20100125-4
python-cubictemp 2.0-1
python-cups 1.9.66-0ubuntu2
python-cupshelpers 1.4.3+20140219-0ubuntu2.6
python-cvxopt 1.1.4-1.2
python-cwiid 0.6.00+svn201-3.1
python-cxx-dev 6.2.5-1ubuntu2
python-d2to1 0.2.11-1build1
python-daap 0.7.1-3build2
python-daemon 1.5.5-1ubuntu1
python-dap 2.2.6.7-2
python-dateutil 1.5+dfsg-1ubuntu1
python-dballe 5.18-1
python-dbf 0.88.16-1build1
python-dbus 1.2.0-2build2
python-dbus-dev 1.2.0-2build2
python-deap 0.7.1-1
python-debianbts 1.11
python-debtagshw 1.12ubuntu2
python-decorator 3.4.0-2build1
python-decoratortools 1.8-2
python-defer 1.0.6-2build1
python-deliciousapi 1.0.6-2build1
python-demgengeo 0.99~bzr124-1
python-demjson 1.6-2build1
python-desktop-agnostic 0.3.92+dfsg-1
