bundler 1.3.5-2ubuntu1
ruby-activerecord-3.2 3.2.16-1
ruby-activeresource 2:3.2.13+1
ruby-activeresource-2.3 2:3.2.13+1
ruby-activeresource-3.2 3.2.16-1
ruby-activesupport 2:3.2.13+1
ruby-activesupport-2.3 2:3.2.13+1
ruby-activesupport-3.2 3.2.16-2
ruby-addressable 2.3.4-1
ruby-aggregate 0.2.2-1
ruby-akonadi 4:4.13.0-0ubuntu1
ruby-albino 1.3.3-2
ruby-algorithm-diff 0.4-14build1
ruby-amazon-ec2 0.9.17-3
ruby-amq-client 0.9.3-1
ruby-amq-protocol 0.9.2-1
ruby-amqp 0.9.5-2
ruby-amrita 0.9.5-2
ruby-amrita2 2.0.2+dfsg.1-3build1
ruby-archive-tar-minitar 0.5.2-2
ruby-arel 4.0.0-2
ruby-ascii85 1.0.2-2
ruby-atk 2.1.0-1
ruby-bacon 1.2.0-3
ruby-barby 0.5.1-3
ruby-bcrypt 3.1.2-2
ruby-bdb 3.1.2-2
ruby-bio 1.4.3.0001-2
ruby-blankslate 2.1.2.4-4
ruby-bluecloth 2.2.0-4
ruby-bsearch 1.5-9
ruby-build 20120524-1
ruby-builder 3.2.2-1
ruby-bunny 0.7.8-1
ruby-cairo 1.12.8-1
ruby-capistrano-colors 0.5.5-1
ruby-cassiopee 0.1.12-1
ruby-childprocess 0.3.9-2
ruby-chronic 0.10.2-1
ruby-chunky-png 1.2.8-1
ruby-classifier 1.3.3-1
ruby-cmdparse 2.0.5-2
ruby-coderay 1.1.0-1
ruby-color-tools 1.4.2-2
ruby-commandline 1.4.2-2
ruby-contest 0.1.3-2
ruby-daemons 1.1.9-1
ruby-dataobjects 0.10.13-1
ruby-dataobjects-mysql 0.10.13-1build1
ruby-dataobjects-postgres 0.10.13-1ubuntu1
ruby-dataobjects-sqlite3 0.10.13-1build1
ruby-dbd-mysql 0.4.4+gem2deb-1
ruby-dbd-odbc 0.2.5+gem2deb-1
ruby-dbd-pg 0.3.9+gem2deb-1
ruby-dbd-sqlite3 1.2.5+gem2deb-2
ruby-dbi 0.4.5-2
ruby-dbus 0.7.2-1
ruby-debian 0.3.8build2
ruby-dep-selector 0.0.8-2
ruby-deprecated 3.0.1-2
ruby-diff-lcs 1.2.4-1
ruby-directory-watcher 1.5.1-1
ruby-dnsruby 1.54-1
ruby-domain-name 0.5.12-1
ruby-dust 0.1.7-2
ruby-eb 2.6-3
ruby-ecasound 2.9.1-3
ruby-echoe 4.6.5-1
ruby-eim-xml 0.0.4-3
ruby-em-http-request 0.3.0-1
ruby-erubis 2.7.0-2
ruby-escape-utils 0.2.4-3
ruby-event-loop 0.3-5
ruby-eventmachine 1.0.3-4
ruby-excon 0.31.0-1
ruby-exif 0.1.2-21
ruby-extlib 0.9.15-3
ruby-facets 2.9.3-1
ruby-fakefs 0.4.2-2
ruby-fast-gettext 0.7.1-1
ruby-fast-stemmer 1.0.2-1
ruby-fast-xs 0.8.0-3build1
ruby-fastercsv 0.8.0-3build1
ruby-feedparser 0.9.2-2
ruby-feedtools 0.9.2-2
ruby-ferret 0.11.8.5-1
ruby-ffi 1.9.3debian-1ubuntu2
ruby-fftw3 0.4-6
ruby-file-tail 1.0.12-1
ruby-flexmock 0.9.0-1
ruby-fog 1.19.0-1
ruby-formatador 0.2.1-1
ruby-fssm 0.2.10-1
ruby-full 1:1.9.3.4
ruby-full 1:1.9.3.4
ruby-fusefs 0.7.0-4
ruby-gd 0.8.0-6
ruby-gdk-pixbuf2 2.1.0-1
ruby-gelf 1.4.0-2
ruby-gettext 3.0.3-2ubuntu2
ruby-gettext-activerecord 2.1.0-5
ruby-gettext-rails 2.1.0-3
ruby-gherkin 2.12.2-2
ruby-gio2 2.1.0-1
ruby-gir-ffi 0.6.7-1
ruby-git 1.2.6-1
ruby-glib2 2.1.0-1
ruby-globalhotkeys 0.3.2-4
ruby-gnome2 2.1.0-1
ruby-gnuplot 2.6.2-1
ruby-god 0.13.3-1
ruby-goocanvas 0.13.3-1
ruby-googlecharts 1.6.8-2
ruby-gpgme 2.0.2-1
ruby-graffiti 2.2-2
ruby-grib 0.2.2-3build1
ruby-gruff 0.3.7-1ubuntu1
ruby-gsl 1.15.3+dfsg-1
ruby-gstreamer 2.1.0-1
ruby-gtk2 2.1.0-1
ruby-gtksourceview2 2.1.0-1
ruby-guestfs 1:1.24.5-1
ruby-haml 4.0.5-1
ruby-heckle 2.0.0~b1-1
ruby-hiera 1.3.0-1
ruby-hiera-puppet 1.3.0-1
ruby-highline 1.6.20-1
ruby-hike 1.2.1-2
ruby-hikidoc 0.0.6-1
ruby-hivex 1.3.9-2build1
ruby-hmac 0.4.0-4
ruby-hoe 3.8.0-2
ruby-hpricot 0.8.6-5ubuntu1
ruby-htmlentities 4.3.1-2
ruby-httpclient 2.3.3-2
