9menu 1.8-6
xserver-xorg-video-ark 1:7.7+1ubuntu8.1
xserver-xorg-video-ati 1:7.3.0-1ubuntu3.1
xserver-xorg-video-chips 1:7.3.0-1ubuntu3.1
xserver-xorg-video-cirrus 1:1.5.2-1build1
xserver-xorg-video-dummy 1:0.3.7-1build1
xserver-xorg-video-fbdev 1:0.4.4-1build1
xserver-xorg-video-geode 2.11.15-2
xserver-xorg-video-glamo 2.11.15-2
xserver-xorg-video-glide 2.11.15-2
xserver-xorg-video-glint 2.11.15-2
xserver-xorg-video-i128 2.11.15-2
xserver-xorg-video-i740 2.11.15-2
xserver-xorg-video-intel 2:2.99.910-0ubuntu1.4
xserver-xorg-video-ivtv 2:2.99.910-0ubuntu1.4
xserver-xorg-video-mach64 6.9.4-1build1
xserver-xorg-video-mga 1:1.6.3-1build1
xserver-xorg-video-modesetting 0.8.1-1build1
xserver-xorg-video-msm 0.8.1-1build1
xserver-xorg-video-neomagic 1:1.2.8-1build1
xserver-xorg-video-newport 1:1.2.8-1build1
xserver-xorg-video-nouveau 1:1.0.10-1ubuntu2
xserver-xorg-video-nvidia 1:1.0.10-1ubuntu2
xserver-xorg-video-nvidia-legacy-173xx 1:1.0.10-1ubuntu2
xserver-xorg-video-nvidia-legacy-96xx 1:1.0.10-1ubuntu2
xserver-xorg-video-omap3 1:1.0.10-1ubuntu2
xserver-xorg-video-omapfb 1:1.0.10-1ubuntu2
xserver-xorg-video-openchrome 1:0.3.3-1build1
xserver-xorg-video-qxl 0.1.1-0ubuntu3
xserver-xorg-video-r128 6.9.2-1build1
xserver-xorg-video-radeon 1:7.3.0-1ubuntu3.1
xserver-xorg-video-rendition 1:7.3.0-1ubuntu3.1
xserver-xorg-video-s3 1:0.6.5-0ubuntu4
xserver-xorg-video-s3virge 1:0.6.5-0ubuntu4
xserver-xorg-video-savage 1:2.3.7-2ubuntu2
xserver-xorg-video-siliconmotion 1:1.7.7-2build1
xserver-xorg-video-sis 1:0.10.7-0ubuntu6
xserver-xorg-video-sisusb 1:0.9.6-2build1
xserver-xorg-video-suncg14 1:0.9.6-2build1
xserver-xorg-video-suncg3 1:0.9.6-2build1
xserver-xorg-video-suncg6 1:0.9.6-2build1
xserver-xorg-video-sunffb 1:0.9.6-2build1
xserver-xorg-video-sunleo 1:0.9.6-2build1
xserver-xorg-video-suntcx 1:0.9.6-2build1
xserver-xorg-video-tdfx 1:1.4.5-1build1
xserver-xorg-video-tga 1:1.4.5-1build1
xserver-xorg-video-trident 1:1.3.6-0ubuntu5
xserver-xorg-video-tseng 1:1.3.6-0ubuntu5
xserver-xorg-video-vesa 1:2.3.3-1build1
xserver-xorg-video-vmware 1:13.0.2-2ubuntu1
xserver-xorg-video-voodoo 1:13.0.2-2ubuntu1
xserver-xspice 1:13.0.2-2ubuntu1
xterm 297-1ubuntu1
xtermcontrol 3.1-1
xtermset 0.5.2-5
xtightvncviewer 1.3.9-6.4ubuntu1
xtrace 1.3.1-1
xtrans-dev 1.3.4-1~ubuntu2
xtrlock 2.6
xttitle 1.0-5
xtv 1.1-14
xutils 1:7.7+1ubuntu8.1
xutils-dev 1:7.7~1ubuntu6
xvfb 2:1.15.1-0ubuntu2.7
xview-clients 3.2p1.4-28.1
xview-examples 3.2p1.4-28.1
xviewg 3.2p1.4-28.1
xvkbd 3.3-1
xvt 2.1-20.1ubuntu1
xwit 3.4-15
xwrits 2.21-6.1
xxkb 1.11-2.1ubuntu1
xzoom 0.3-23
yeahconsole 0.3.4-2.1ubuntu1
zekr 1.1.0+repack-1
zim 0.60-1
