9menu 1.8-6
comixcursors-righthanded-opaque 0.7.2-3
compiz-fusion-bcop 0.8.4-1.1
convertall 0.6.0-1
crystalcursors 1.1.1-13
ctwm 3.7-3.3
dasher 4.11+git20130508.adc653-1
dasher-data 4.11+git20130508.adc653-1
dbus-x11 1.6.18-0ubuntu4.3
dclock 2.2.2-7
desklaunch 1.1.8
deskmenu 1.4.5
desktop-base 7.0.3ubuntu1
desktop-profiles 1.4.18
docker 1.5-1
docky 2.2.0-2
douf00 3.0.0-1
drawterm 20110822-1
driconf 0.9.1-4
dunst 1.0.0-2
dwm 6.0-6
dxpc 3.9.2-3
dzen2 0.9.5~svn271-4
education-desktop-lxde 0.9.5~svn271-4
education-desktop-sugar 0.9.5~svn271-4
electricsheep 0.9.5~svn271-4
emelfm2-svg-icons 20100219-3
epdfview 20100219-3
eterm 0.9.6-1
evilvte 0.5.1-1
evilwm 1.1.0-3
ewipe 1.2.0-8
fact++ 1.6.2~dfsg-2
fbdesk 1.4.1-11ubuntu1
fbpager 0.1.5~git20090221.1.8e0927e6-1ubuntu1
fbpanel 6.1-6
fbxkb 6.1-6
fdpowermon 1.11
fdpowermon-icons 1.11
fglrx-atieventsd 1.11
fglrx-control 1.11
fglrx-driver 1.11
floatbg 1.0-28
fluxbox 1.3.5-2
flwm 1.02+cvs20080422-10
fookb-plainx 3.0-3ubuntu2
fookb-wmaker 3.0-3ubuntu2
fprint-demo 20080303git-5ubuntu1
fqterm 0.9.6.10-1.1
freerdp-x11 1.0.2-2ubuntu1
fspanel 0.7-13
fsviewer-icons 1.0-6
fvwm 1:2.6.5.ds-3
fvwm-crystal 3.2.7+dfsg-1
fvwm-icons 20070101-2
fvwm1 1.24r-56
gcstar 1.7.0-0ubuntu2
gdeskcal 0.57.1-2.2ubuntu1
gentoo 0.19.13-2
gexec 0.4-1
gjiten 2.6-2.2ubuntu1
gkrellkam 2.0.0-1.1
gkrellm 2.3.5-5
gkrellm-bfm 0.6.4-5.1
gkrellm-hdplop 0.9.9-2.1
gkrellm-ibam 1:0.5.2-2.1ubuntu1
gkrellm-leds 0.8.0-1.2
gkrellm-mldonkey 0.9.7-2.1
gkrellm-reminder 2.0.0-3
gkrellm-thinkbat 0.2.2-1
gkrellm-x86info 0.0.2-9
gkrellm-xkb 1.05-5
gkrellmd 2.3.5-5
gkrellmitime 1.0.1-5
gkrellmoon 0.6-5
gkrellmwireless 2.0.3-1
gkrellshoot 0.4.4-1
gkrelltop 2.2.13-1
gkrelltopd 2.2.13-1
gkrelluim 0.3.1-4
gkrellweather 2.0.8-2
globs 0.2.0~svn50-4
glurp 0.12.3-1
gmrun 0.9.2-2.1
gnee 3.13-1
gngb 20060309-3
gnome-mag 20060309-3
gnome-panel-control 3.5.2-6
goban-original-games 1.1-2
goban-ss 1.1-2
gpe-appmgr 1.1-2
gpe-clock 1.1-2
gpe-confd 1.1-2
gpe-contacts 1.1-2
gpe-edit 1.1-2
gpe-gallery 1.1-2
gpe-icons 1.1-2
gpe-question 1.1-2
gpe-screenshot 1.1-2
gpe-soundbite 1.1-2
gpe-soundserver 1.1-2
gpe-su 1.1-2
gpe-tetris 1.1-2
gpe-timesheet 1.1-2
gpe-what 1.1-2
gpodder 3.5.2-1
grabc 1.1-2
grafx2 2.3-1.1
grdesktop 0.23+d040330-3
gregorio 2.3-1
gregoriotex 2.3-1
grisbi 0.8.9-1ubuntu1
grisbi-common 0.8.9-1ubuntu1
gromit 20041213-9
grsync 1.2.4-1
grun 0.9.3-1
gsetroot 1.1-3
gtk-3-examples 3.10.8-0ubuntu1.4
gtk-chtheme 0.3.1-5ubuntu1
gtk-redshift 1.8-0ubuntu6
gtk-smooth-themes 1.8-0ubuntu6
gtk-theme-switch 2.1.0-3
gtk2-engines-aurora 1.5.1-4
gtk2-engines-moblin 1.1.1-1.1
gtk2-engines-murrine 0.98.2-0ubuntu2
gtk2-engines-wonderland 1.0-8
gtk2.0-examples 2.24.23-0ubuntu1.2
gtkcookie 0.4-5
gtkguitune 0.8-6ubuntu1
gtklp 1.2.7-2.3ubuntu3
gtktrain 0.9b-13
guake 0.4.4-1ubuntu1
gvidm 0.8-11
gvncviewer 0.5.3-0ubuntu2
gwaterfall 0.1-5.1
gworkspace-apps-wrappers 0.8.8-1.2
gxneur 0.15.0-2.1
hardinfo 0.5.1-1.2ubuntu4
herbstluftwm 0.5.3-1
hotkeys 0.5.7.4-0.3ubuntu2
hpanel 0.3.2-4
hsetroot 1.0.2-5
human-icon-theme 0.36
i3 4.7.2-1
i3-wm 4.7.2-1
i3lock 2.5-1
icewm 1.3.7-5
icewm-common 1.3.7-5
icewm-experimental 1.3.7-5
icewm-lite 1.3.7-5
icon-naming-utils 0.8.90-2
idesk 0.7.5-5
im-config 0.24-1ubuntu4.1
im-switch 1.23ubuntu1
im-switch 1.23ubuntu1
impressive 0.10.3+svn61-1
imwheel 1.0.0pre12-9
intel-gpu-tools 1.3-0ubuntu2.1
isdnutils-xtools 1:3.25+dfsg1-3.3ubuntu2
italc-client 1:2.0.1-4ubuntu0.14.04.1
italc-master 1:2.0.1-4ubuntu0.14.04.1
ivtv-utils 1.4.1-2ubuntu1
joy2key 1.6.3-1
jumpapplet 1.6.3-1
jwm 2.1.0+svn579-2ubuntu1
kanjipad 2.0.0-8
kasumi 2.5-5
kbdd 0.6-4
kde-config-touchpad 0.6-4
kde-window-manager 4:4.11.11-0ubuntu0.2
kdepim-runtime 4:4.13.3-0ubuntu0.1
kdocker 4.6-2
keyjnote 4.6-2
keyjnote 4.6-2
keylaunch 1.3.9
kic 2.4a-1.1ubuntu1
kinput2-canna 3.1-12
kinput2-canna-wnn 3.1-12
kinput2-common 3.1-12
kinput2-wnn 3.1-12
klavaro 1.9.9-1
kterm 6.2.0-46.1
larswm 7.5.3-6
launchy 2.5-3
launchy-plugins 2.5-3
launchy-skins 2.5-3
lesstif-bin 2.5-3
libfreerdp-plugins-standard 1.0.2-2ubuntu1
libgnomecanvas2-common 2.30.3-2
libitalc 2.30.3-2
libixp 0.6~20121202+hg148-2
libnxcl-bin 0.9-3.1ubuntu1
libx11-data 2:1.6.2-1ubuntu2
libxfont-dev 1:1.4.7-1ubuntu0.2
libxfont1 1:1.4.7-1ubuntu0.2
libxfont1-dbg 1:1.4.7-1ubuntu0.2
lightdm 1.10.5-0ubuntu1
lightdm-gtk-greeter 1.8.5-1ubuntu2~ubuntu14.04.1
lightdm-vala 1.8.5-1ubuntu2~ubuntu14.04.1
lingot 0.9.1-2
ltpanel 0.2-5
lwm 1.2.2-5
lxappearance-obconf 0.2.1-1
lxde-common 0.5.0-4ubuntu4
lxde-icon-theme 0.5.0-1
lxinput 0.3.2-1
lxlauncher 0.2.2-4ubuntu1
lxmenu-data 0.1.2-2
lxpanel 0.6.1-0ubuntu3
lxpolkit 0.4.9.2+git20140410-0ubuntu1.2
lxrandr 0.1.2-3
lxsession 0.4.9.2+git20140410-0ubuntu1.2
lxtask 0.1.4-3.1ubuntu1
lxterminal 0.1.11-4ubuntu3
mcomix 1.00-1
mesa-utils 8.1.0-2
metacity 1:2.34.13-0ubuntu4
metacity-themes 1.0.11
mgp 1.13a+upstream20090219-6
miwm 1.1-3
mlterm 3.3.2-1
mlterm-common 3.3.2-1
mlterm-im-ibus 3.3.2-1
mlterm-im-m17nlib 3.3.2-1
mlterm-im-scim 3.3.2-1
mlterm-im-uim 3.3.2-1
mlterm-tiny 3.3.2-1
mlterm-tools 3.3.2-1
