adacgi1 1.6-17
gosa-schema 2.7.4+reloaded1-1
gtml 3.5.4-11
hiki 1.0.0-0.2
htcheck 1:2.0.0~rc1-2build1
htcheck-php 1:2.0.0~rc1-2
htdig 1:3.2.0b6-12
html2text 1.3.2a-17
html2wml 0.4.11-1
htmldoc 1.8.27-8ubuntu1
htmldoc-common 1.8.27-8ubuntu1
httperf 0.9.0-2build1
httpfs2 0.1.4-1ubuntu2
httpie 0.8.0-1
httrack 3.48.1-4ubuntu1
hv3 3.0~fossil20110109-2
hyde 0.8.5a1-4ubuntu1
icedtea-6-plugin 1.5-1ubuntu1
icedtea-7-plugin 1.5-1ubuntu1
icedtea-plugin 1.5-1ubuntu1
iceowl-extension 1.5-1ubuntu1
iceweasel 1.5-1ubuntu1
iceweasel-downthemall 1.5-1ubuntu1
iceweasel-downthemall 1.5-1ubuntu1
iceweasel-l10n-af 1.5-1ubuntu1
iceweasel-l10n-all 1.5-1ubuntu1
iceweasel-l10n-ar 1.5-1ubuntu1
iceweasel-l10n-be 1.5-1ubuntu1
iceweasel-l10n-bg 1.5-1ubuntu1
iceweasel-l10n-bn-in 1.5-1ubuntu1
iceweasel-l10n-ca 1.5-1ubuntu1
iceweasel-l10n-cs 1.5-1ubuntu1
iceweasel-l10n-csb 1.5-1ubuntu1
iceweasel-l10n-cy 1.5-1ubuntu1
iceweasel-l10n-da 1.5-1ubuntu1
iceweasel-l10n-de 1.5-1ubuntu1
iceweasel-l10n-el 1.5-1ubuntu1
iceweasel-l10n-en-gb 1.5-1ubuntu1
iceweasel-l10n-eo 1.5-1ubuntu1
iceweasel-l10n-es-ar 1.5-1ubuntu1
iceweasel-l10n-es-es 1.5-1ubuntu1
iceweasel-l10n-et 1.5-1ubuntu1
iceweasel-l10n-eu 1.5-1ubuntu1
iceweasel-l10n-fi 1.5-1ubuntu1
iceweasel-l10n-fr 1.5-1ubuntu1
iceweasel-l10n-fy-nl 1.5-1ubuntu1
iceweasel-l10n-ga-ie 1.5-1ubuntu1
iceweasel-l10n-gl 1.5-1ubuntu1
iceweasel-l10n-gu-in 1.5-1ubuntu1
iceweasel-l10n-he 1.5-1ubuntu1
iceweasel-l10n-hi-in 1.5-1ubuntu1
iceweasel-l10n-hu 1.5-1ubuntu1
iceweasel-l10n-id 1.5-1ubuntu1
iceweasel-l10n-is 1.5-1ubuntu1
iceweasel-l10n-it 1.5-1ubuntu1
iceweasel-l10n-ja 1.5-1ubuntu1
iceweasel-l10n-kn 1.5-1ubuntu1
iceweasel-l10n-ko 1.5-1ubuntu1
iceweasel-l10n-ku 1.5-1ubuntu1
iceweasel-l10n-lt 1.5-1ubuntu1
iceweasel-l10n-lv 1.5-1ubuntu1
iceweasel-l10n-mk 1.5-1ubuntu1
iceweasel-l10n-mr 1.5-1ubuntu1
iceweasel-l10n-nb-no 1.5-1ubuntu1
iceweasel-l10n-nl 1.5-1ubuntu1
iceweasel-l10n-nn-no 1.5-1ubuntu1
iceweasel-l10n-pa-in 1.5-1ubuntu1
iceweasel-l10n-pl 1.5-1ubuntu1
iceweasel-l10n-pt-br 1.5-1ubuntu1
iceweasel-l10n-pt-pt 1.5-1ubuntu1
iceweasel-l10n-ro 1.5-1ubuntu1
iceweasel-l10n-ru 1.5-1ubuntu1
iceweasel-l10n-si 1.5-1ubuntu1
iceweasel-l10n-sk 1.5-1ubuntu1
iceweasel-l10n-sl 1.5-1ubuntu1
iceweasel-l10n-sq 1.5-1ubuntu1
iceweasel-l10n-sr 1.5-1ubuntu1
iceweasel-l10n-sv-se 1.5-1ubuntu1
iceweasel-l10n-te 1.5-1ubuntu1
iceweasel-l10n-th 1.5-1ubuntu1
iceweasel-l10n-tr 1.5-1ubuntu1
iceweasel-l10n-uk 1.5-1ubuntu1
iceweasel-l10n-zh-cn 1.5-1ubuntu1
iceweasel-l10n-zh-tw 1.5-1ubuntu1
iceweasel-scrapbook 1.5-1ubuntu1
iceweasel-scrapbook 1.5-1ubuntu1
iceweasel-vimperator 1.5-1ubuntu1
ifetch-tools 0.15.24c-1
igal2 2.1-2
iipimage-server 0.9.9-2ubuntu2
ikiwiki 3.20130904.1ubuntu1
ilohamail 0.8.14-0rc3ubuntu6
imageindex 1.1-2.1
imaptool 0.9-14
imgsizer 2.7-3
imposm 2.5.0-3build1
interchange 5.7.7-2
interchange-cat-standard 5.7.7-2
interchange-ui 5.7.7-2
ip2host 1.13-2
javascript-common 11
jesred 1.2pl1-19
jffnms 0.9.3-3
jigl 2.0.1+20060126-4
jpoker 1.0.16-2.2
jquery-jplayer-bluemonday 2.3.0-1
jquery-jplayer-pinkflag 2.3.0-1
jsmath 3.6c-1.1
jsmath-fonts-sprite 1.0-2
jwchat 1.0+dfsg-1.3
klinkstatus 4:4.13.0-0ubuntu1
klone 2.1.0~rc1-1
klone-package 0.3
knowledgeroot 0.9.9.5-6
konqueror 4:4.13.3-0ubuntu0.1
konqueror-nsplugins 4:4.13.3-0ubuntu0.1
kpart-webkit 1.3~git20120518.9a111005-3ubuntu1
ldap-account-manager 4.4-1
ldap-account-manager-lamdaemon 4.4-1
ledgersmb 1.3.25-1
letodms 3.3.11+dfsg.1-1
libapache2-mod-gnutls 0.5.10-4
libapache2-mod-php5filter 5.5.9+dfsg-1ubuntu4.7
libapache2-mod-shib2 2.5.2+dfsg-2
libjs-asciimathml 2.0.2-1
libjs-backbone 0.9.2-4
libjs-codemirror 2.23-1
