adacgi1 1.6-17
xapian-omega 1.2.16-1
xul-ext-adblock-plus 1.2.16-1
xul-ext-adblock-plus-element-hiding-helper 1.2.16-1
xul-ext-all-in-one-sidebar 1.2.16-1
xul-ext-autofill-forms 1.2.16-1
xul-ext-automatic-save-folder 1.2.16-1
xul-ext-certificatepatrol 1.2.16-1
xul-ext-cookie-monster 1.2.16-1
xul-ext-custom-tab-width 1.2.16-1
xul-ext-debianbuttons 1.2.16-1
xul-ext-dom-inspector 1.2.16-1
xul-ext-downthemall 1.2.16-1
xul-ext-firebug 1.2.16-1
xul-ext-firegestures 1.2.16-1
xul-ext-firetray 1.2.16-1
xul-ext-firexpath 1.2.16-1
xul-ext-flashblock 1.2.16-1
xul-ext-flashgot 1.2.16-1
xul-ext-foxyproxy-standard 1.2.16-1
xul-ext-googlebookmarks 1.2.16-1
xul-ext-greasemonkey 1.2.16-1
xul-ext-itsalltext 1.2.16-1
xul-ext-livehttpheaders 1.2.16-1
xul-ext-monkeysphere 1.2.16-1
xul-ext-mozvoikko 2.0.1-0ubuntu1
xul-ext-noscript 2.0.1-0ubuntu1
xul-ext-nosquint 2.0.1-0ubuntu1
xul-ext-openinbrowser 2.0.1-0ubuntu1
xul-ext-personasplus 2.0.1-0ubuntu1
xul-ext-perspectives 2.0.1-0ubuntu1
xul-ext-pwdhash 2.0.1-0ubuntu1
xul-ext-refcontrol 2.0.1-0ubuntu1
xul-ext-requestpolicy 2.0.1-0ubuntu1
xul-ext-sage 2.0.1-0ubuntu1
xul-ext-scrapbook 2.0.1-0ubuntu1
xul-ext-searchload-options 2.0.1-0ubuntu1
xul-ext-sieve 2.0.1-0ubuntu1
xul-ext-status4evar 2.0.1-0ubuntu1
xul-ext-syncplaces 2.0.1-0ubuntu1
xul-ext-tabmixplus 2.0.1-0ubuntu1
xul-ext-toggle-proxy 2.0.1-0ubuntu1
xul-ext-treestyletab 2.0.1-0ubuntu1
xul-ext-ubiquity 2.0.1-0ubuntu1
xul-ext-uppity 2.0.1-0ubuntu1
xul-ext-useragentswitcher 2.0.1-0ubuntu1
xul-ext-wot 2.0.1-0ubuntu1
xul-ext-zarafa-drag-n-drop 2.0.1-0ubuntu1
xul-ext-zotero 2.0.1-0ubuntu1
xxxterm 1:1.11.3-1.2
yaws-chat 1.98-2
yaws-mail 1.98-2
yaws-wiki 1.98-2
yaws-yapp 1.98-2
yocto-reader 0.9.4
yui-builder 1.0.0b1+dfsg-1
zendframework 1.0.0b1+dfsg-1
zendframework-bin 1.0.0b1+dfsg-1
zendframework-resources 1.0.0b1+dfsg-1
zine 1.0.0b1+dfsg-1
